sample numberAdapter numFastqFiles
H005-001N 49809 3
H005-0M1Z 905839 9
H005-0TRN 26241 12
H005-0UBS 1291495 9
H005-0XXE 32955 9
H005-0Z63 142765 3
H005-15W9 30957 12
H005-19N0 63073 5
H005-1A5K 51246 9
H005-1GC23P 9709815 8
H005-1NTHJK 12384199 5
H005-1QS15C 1439381 9
H005-1RLWLR 18424597 8
H005-1SP7 69966 8
H005-2492E6 16041730 5
H005-2DGLF7 19070573 8
H005-2KF8 2083923 9
H005-2LSW 359391 3
H005-33WM 40950 5
H005-3AFE69 912539 9
H005-3DMC 92747 5
H005-3IBZ 136454 5
H005-3JVV 86381 3
H005-3NS8ER 18235033 5
H005-3U3F4R 11964693 5
H005-3XBK 164208 3
H005-3XLHSB 12762644 5
H005-424M 54702 3
H005-46LY 143065 3
H005-4RBL4B 11771077 5
H005-58FDGU 17707134 8
H005-5FFX 169806 3
H005-5HOD 26932 5
H005-5S0Z 75099 8
H005-63VLKE 537869 9
H005-6445 721747 9
H005-6GS8 14668150 5
H005-6RZW 47578 9
H005-72RM 922736 9
H005-7CMF 22285151 8
H005-7EQBF5 922295 9
H005-7FHD 17909585 5
H005-7RHI 106185 3
H005-7YNU 35713 12
H005-800G 37618 9
H005-8E7F 79284 8
H005-993S 16893110 8
H005-99Z2 497564 9
H005-9EBD 121747 3
H005-9ELC 145396 3
H005-9F34 74500 3
H005-9P4M 30797 9
H005-9QDV47 29850453 3
H005-9R6P 1020522 12
H005-9S37 131264 5
H005-9VRO 30959 9
H005-A72M 91281 3
H005-A7KR 105256 3
H005-AJYE 63420 8
H005-APD8 13581392 5
H005-BL6W 1218273 12
H005-BNNH8F 11718102 5
H005-BO0I 121971 3
H005-CF04 46765 5
H005-CI7B 82453 3
H005-CRU4 130564 3
H005-CY4B 49846 9
H005-CYHM28 24147260 5
H005-D550 608968 12
H005-DELN 1293491 12
H005-ECD1 58229 5
H005-EMYM 14168083 5
H005-ENFC 25419276 5
H005-ES0J 45935 9
H005-F57X8B 8507097 5
H005-FBE8 57108 5
H005-FG42YJ 11623302 5
H005-FHFW 195238 3
H005-FK5H 37529 9
H005-FSHB 129501 3
H005-GN55 138622 3
H005-GPLO 98236 3
H005-GTPS 247875 3
H005-GU50 795421 12
H005-HCH291 8653778 5
H005-HEFU 111517 3
H005-HLA2NB 12008777 5
H005-HMPU 990511 12
H005-HNZA 124106 3
H005-HP01 15834583 8
H005-HUHKMD 13676806 8
H005-JL1RQJ 10477886 8
H005-JLK0 578155 12
H005-JQ6C 54320 3
H005-K49C 136534 3
H005-KATI 206275 3
H005-KGAR 46968 9
H005-L4CM 811909 12
H005-L9K1TD 27036070 8
H005-LAGT 146612 3
H005-LBKM 76680 5
H005-LSLK 36207 12
H005-LUWK 157829 3
H005-M76U 40056 5
H005-M7OV 55018 8
H005-MA8Z 151261 3
H005-MB8Z 919739 12
H005-MHH2 143790 3
H005-MOWV 74657 8
H005-MT4S 16320765 5
H005-MTGWKA 15084727 8
H005-MZFG 50148 5
H005-N4RV 34980 9
H005-N5CW 22146980 5
H005-N95U 37232 9
H005-N95Z 8941147 8
H005-NCP7 91994 5
H005-NIA5 143456 5
H005-NUTC97 4619029 5
H005-NVTX 33025 5
H005-NYTS 141772 3
H005-O1OE 83254 8
H005-ON0V 143772 3
H005-OQGM 11078267 5
H005-OT1C 99 12
H005-OUGO 17973776 5
H005-OVF5 90088 8
H005-P1WSWP 5646705 5
H005-P3S9 102799 3
H005-PFDT 97441 3
H005-PFR1 1189628 9
H005-PK0F 146624 3
H005-PQR8 59229 5
H005-PQW6 8617549 8
H005-PURLLS 16398366 5
H005-PWD6 34827 12
H005-Q0K9 37436 9
H005-Q145 50962 5
H005-Q9PA 111418 3
H005-Q9ZM 86407 5
H005-QAG4 193815 3
H005-QGBA 130507 3
H005-QOI5 63399 8
H005-QVG4 234278 3
H005-QXLUZ6 13268891 5
H005-R6KKL1 9397445 5
H005-RJ7R3L 13245751 5
H005-RMU2 34680 12
H005-RSO5 16754262 5
H005-RXC4 127537 3
H005-SCQR 102753 5
H005-SM9W 1477721 9
H005-SS98 141101 3
H005-SUEK 111491 3
H005-SW9CY9 13809159 5
H005-TA678D 1827314 9
H005-TCZE 124332 5
H005-TELGN3 12880339 5
H005-TIW9 107638 3
H005-TL7FWV 1314131 9
H005-TMVO 69473 5
H005-TPBA 869484 9
H005-TUQ6 71862 5
H005-TV7J 153739 3
H005-U1QP 43848 9
H005-U1TH 153048 3
H005-U2VJ 61690 5
H005-U64J 146988 3
H005-U8HQ 51999 5
H005-UAYJ 58157 9
H005-UCF9 64316 8
H005-UG9T9J 6762889 5
H005-UJI6 114136 3
H005-VFKZ 32402 9
H005-VHNMZP 1150538 9
H005-VJQU 62756 5
H005-VQZN 114049 3
H005-VZB0 98682 3
H005-WARE 32118 9
H005-WFBP9P 9733084 8
H005-WHTN 136682 3
H005-X5Z3 21132 12
H005-XMEH 94548 3
H005-XY05 55167 5
H005-XZ83 1283238 9
H005-Y0AO 15412237 5
H005-Y67L 36149 12
H005-YB12 29096 12
H005-YCP26L 6846683 5
H005-YNIY 79675 5
H005-YQWY 129353 3
H005-YTYV 95249 3
H005-YV7I 252942 3
H005-Z0HX 97768 5
H005-Z25CJJ 1393657 9
H005-ZCLY 54335 8
H005-ZF32 31132 5
H005-ZGBD 1421098 9
H005-ZRWN 56580 8
