sample inputreads readlength uniqreads unipercent multiloci multipercent toomany unmappedMismapped unmappedshort unmappedother
H005-0M1Z 66750382 252 60444278 90.55 2432591 3.64 0.06 0.00 5.66 0.08
H005-0UBS 90508134 252 82626162 91.29 3061696 3.38 0.05 0.00 5.21 0.07
H005-1A5K 121882975 202 114801933 94.19 4602100 3.78 0.05 0.00 1.93 0.05
H005-1QS15C 76740768 252 68833928 89.70 2886344 3.76 0.04 0.00 6.44 0.06
H005-2KF8 76956936 252 68930233 89.57 2473078 3.21 0.05 0.00 7.11 0.06
H005-3AFE69 72778030 252 66717411 91.67 2347494 3.23 0.05 0.00 4.97 0.08
H005-3JVV 61934121 202 58406239 94.30 2400947 3.88 0.07 0.00 1.71 0.04
H005-424M 66245216 202 62080903 93.71 2309191 3.49 0.06 0.00 2.69 0.05
H005-46LY 82827984 202 77634963 93.73 3143821 3.80 0.05 0.00 2.38 0.04
H005-63VLKE 73021430 252 66477124 91.04 2614751 3.58 0.04 0.00 5.27 0.07
H005-6445 83824345 252 77626122 92.61 2422908 2.89 0.04 0.00 4.40 0.06
H005-72RM 75855675 252 68988404 90.95 2454681 3.24 0.05 0.00 5.67 0.09
H005-7EQBF5 76826162 252 70153409 91.31 2346333 3.05 0.05 0.00 5.49 0.09
H005-99Z2 72306839 252 66603061 92.11 2308961 3.19 0.05 0.00 4.58 0.07
H005-9R6P 85808186 250 78341134 91.30 2724961 3.18 0.04 0.00 5.42 0.07
H005-A7KR 103479739 202 97636554 94.35 3940340 3.81 0.06 0.00 1.73 0.05
H005-BL6W 95897871 250 88243397 92.02 2753070 2.87 0.04 0.00 4.99 0.08
H005-D550 77451145 250 71460680 92.27 2406411 3.11 0.05 0.00 4.52 0.06
H005-DELN 95037926 250 87076881 91.62 2675642 2.82 0.04 0.00 5.46 0.06
H005-GN55 76967496 202 72779365 94.56 2573474 3.34 0.04 0.00 2.00 0.05
H005-GU50 78859090 250 71651273 90.86 2516995 3.19 0.04 0.00 5.84 0.07
H005-HMPU 89099163 250 81248557 91.19 2955681 3.32 0.04 0.00 5.40 0.05
H005-JLK0 79652253 250 73526321 92.31 2371146 2.98 0.05 0.00 4.59 0.07
H005-JQ6C 53407605 202 49367313 92.43 3048420 5.71 0.07 0.00 1.73 0.06
H005-KATI 85046929 202 80347062 94.47 2895200 3.40 0.05 0.00 2.03 0.05
H005-L4CM 78552678 250 71454975 90.96 3780510 4.81 0.05 0.00 4.10 0.07
H005-MA8Z 84991704 202 80111943 94.26 2601005 3.06 0.06 0.00 2.57 0.05
H005-MB8Z 89631610 250 81514360 90.94 3626578 4.05 0.04 0.00 4.91 0.06
H005-ON0V 100351779 202 94872021 94.54 3515903 3.50 0.06 0.00 1.85 0.05
H005-OT1C 83398273 250 75761200 90.84 2929036 3.51 0.05 0.00 5.52 0.07
H005-PFR1 111989837 250 102611543 91.63 3658334 3.27 0.05 0.00 4.99 0.07
H005-Q9PA 70169152 202 66252008 94.42 2198092 3.13 0.04 0.00 2.35 0.05
H005-SM9W 115568152 250 104971877 90.83 4385580 3.79 0.06 0.00 5.24 0.08
H005-TA678D 112998861 250 103118105 91.26 3835674 3.39 0.05 0.00 5.24 0.06
H005-TIW9 91909470 202 87272665 94.96 2969527 3.23 0.05 0.00 1.72 0.04
H005-TL7FWV 94905657 250 85484920 90.07 4192525 4.42 0.04 0.00 5.43 0.05
H005-TPBA 94102265 250 85950875 91.34 3757985 3.99 0.06 0.00 4.53 0.08
H005-VHNMZP 132929211 250 122956601 92.50 4541665 3.42 0.04 0.00 3.98 0.06
H005-XZ83 124008702 250 113020396 91.14 4148937 3.35 0.05 0.00 5.40 0.06
H005-Z25CJJ 124931366 250 114620176 91.75 4091821 3.28 0.06 0.00 4.84 0.08
H005-ZGBD 107606290 250 95981501 89.20 4608926 4.28 0.04 0.00 6.43 0.05
