sample inputreads readlength mappedlength uniqreads unipercent multiloci multipercent toomany unmappedMismapped unmappedshort unmappedother
H005-001N 47688538 200 199.48 45157894 94.69 1638335 3.44 0.05 0.00 1.78 0.04
H005-0M1Z 66750382 247 246.29 62004584 92.89 2482972 3.72 0.06 0.00 3.24 0.09
H005-0TRN 94162171 200 199.57 87850966 93.30 3904646 4.15 0.06 0.00 2.43 0.06
H005-0UBS 90508134 247 246.17 84834131 93.73 3139974 3.47 0.05 0.00 2.67 0.08
H005-0XXE 95860562 200 199.36 90783745 94.70 3235714 3.38 0.05 0.00 1.82 0.06
H005-0Z63 81960998 200 199.51 77629678 94.72 2793346 3.41 0.06 0.00 1.77 0.05
H005-15W9 105487768 200 199.76 99008729 93.86 4335510 4.11 0.07 0.00 1.92 0.04
H005-19N0 97157104 200 199.52 91449331 94.13 3748351 3.86 0.07 0.00 1.89 0.06
H005-1A5K 121882975 200 199.34 115001554 94.35 4596729 3.77 0.05 0.00 1.77 0.05
H005-1GC23P 146659983 290 288.34 138429136 94.39 4430527 3.02 0.04 0.00 2.43 0.12
H005-1NTHJK 152245729 291 289.11 143813315 94.46 4471034 2.94 0.04 0.00 2.50 0.06
H005-1QS15C 76740768 246 245.33 71083154 92.63 2974465 3.88 0.04 0.00 3.38 0.07
H005-1RLWLR 190215734 289 287.40 178145952 93.65 6201195 3.26 0.04 0.00 2.98 0.06
H005-1SP7 90617256 200 199.46 85782362 94.66 2894312 3.19 0.05 0.00 2.05 0.05
H005-2492E6 186432007 290 288.47 175061112 93.90 5833398 3.13 0.05 0.00 2.84 0.09
H005-2DGLF7 214833084 291 289.21 201725387 93.90 6835490 3.18 0.05 0.00 2.80 0.07
H005-2KF8 76956936 245 243.68 71952440 93.50 2575544 3.35 0.05 0.00 3.03 0.08
H005-2LSW 70597681 200 199.07 66267630 93.87 2812505 3.98 0.07 0.00 2.03 0.05
H005-33WM 92788445 200 199.78 87099032 93.87 3945510 4.25 0.03 0.00 1.82 0.02
H005-3AFE69 72778030 248 246.54 68336226 93.90 2400541 3.30 0.06 0.00 2.66 0.09
H005-3DMC 99454851 200 199.63 94231239 94.75 3257345 3.28 0.05 0.00 1.87 0.05
H005-3IBZ 96934057 200 199.64 91757953 94.66 3636027 3.75 0.04 0.00 1.51 0.04
H005-3JVV 61934121 200 199.60 58464577 94.40 2397169 3.87 0.07 0.00 1.62 0.05
H005-3NS8ER 195621735 290 287.80 183434507 93.77 5379413 2.75 0.04 0.00 3.35 0.09
H005-3U3F4R 142402513 291 288.97 134068987 94.15 4410995 3.10 0.04 0.00 2.63 0.09
H005-3XBK 88295545 200 199.44 83086629 94.10 3621603 4.10 0.06 0.00 1.70 0.04
H005-3XLHSB 145777330 290 288.72 136874386 93.89 4690839 3.22 0.06 0.00 2.75 0.08
H005-424M 66245216 200 199.43 62089460 93.73 2312064 3.49 0.06 0.00 2.67 0.05
H005-46LY 82827984 200 199.02 77732689 93.85 3150615 3.80 0.06 0.00 2.25 0.05
H005-4RBL4B 138135800 291 288.83 128803801 93.24 4222909 3.06 0.04 0.00 3.59 0.07
H005-58FDGU 188645068 290 287.58 177486256 94.08 5412327 2.87 0.04 0.00 2.89 0.11
H005-5FFX 112745886 200 199.23 105160114 93.27 5247825 4.65 0.05 0.00 1.98 0.04
H005-5HOD 70438885 200 199.54 66357951 94.21 2583935 3.67 0.06 0.00 2.02 0.04
H005-5S0ZH005-6CP6 0 0 0.00 0 0.00 0 0.00 0.00 0.00 0.00 0.00
H005-5S0Z 121357432 200 199.73 114977220 94.74 4244083 3.50 0.04 0.00 1.69 0.03
H005-63VLKE 73021430 249 247.62 67513946 92.46 2653473 3.63 0.05 0.00 3.79 0.07
H005-6445 83824345 248 247.27 79068606 94.33 2463899 2.94 0.04 0.00 2.62 0.07
H005-6CP6 0 0 0.00 0 0.00 0 0.00 0.00 0.00 0.00 0.00
H005-6GS8 124835949 287 284.77 117459540 94.09 4055962 3.25 0.03 0.00 2.57 0.05
H005-6RZW 110833711 200 199.28 104522750 94.31 3949268 3.56 0.05 0.00 2.04 0.05
H005-72RM 75855675 248 246.58 70598610 93.07 2497568 3.29 0.06 0.00 3.48 0.10
H005-7CMF 206395179 288 286.66 189083356 91.61 11557152 5.60 0.04 0.00 2.68 0.07
H005-7EQBF5 76826162 248 246.61 71772125 93.42 2398981 3.12 0.06 0.00 3.30 0.10
H005-7FHD 196739226 290 288.14 183435582 93.24 7893289 4.01 0.04 0.00 2.63 0.08
H005-7RHI 74713109 200 199.19 70337668 94.14 2621015 3.51 0.06 0.00 2.25 0.04
H005-7YNU 100086795 200 199.80 94295545 94.21 4003005 4.00 0.04 0.00 1.71 0.03
H005-800G 102724969 200 199.29 97071610 94.50 3669880 3.57 0.06 0.00 1.82 0.05
H005-8E7F 80760197 200 199.63 76102718 94.23 3258614 4.03 0.04 0.00 1.66 0.03
H005-993S 175135101 289 286.64 162559907 92.82 7179408 4.10 0.05 0.00 2.93 0.10
H005-99Z2 72306839 249 247.54 67605447 93.50 2339063 3.23 0.05 0.00 3.14 0.07
H005-9EBD 99444147 200 199.05 93769198 94.29 3372716 3.39 0.08 0.00 2.17 0.07
