"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000211640",381.092036082921,7.60100487757358,0.665064974957667,11.4289658360935,2.99656296388681e-30,7.7994540824046e-26,"ENSG00000211640","IGLV6-57"
"ENSG00000154864",25.4688534768523,-21.5306686847237,2.02529222131054,-10.6308948694779,2.14048664566699e-26,2.78562932067102e-22,"ENSG00000154864","PIEZO2"
"ENSG00000101542",9.93202509213615,-19.2135759502924,1.83495151803663,-10.4708902450189,1.17532422136812e-25,1.01971129445898e-21,"ENSG00000101542","CDH20"
"ENSG00000211644",51.7180056403415,4.11802138613699,0.490369962837292,8.39778473034936,4.54980304302124e-17,2.96055684009392e-13,"ENSG00000211644","IGLV1-51"
"ENSG00000218819",134.460541793694,-24.184683983959,2.9546133702092,-8.185397192001,2.71406999528662e-16,1.4128362767464e-12,"ENSG00000218819","TDRD15"
"ENSG00000168398",81.7530195766055,-22.2835976122575,2.76171341090795,-8.06875815725263,7.10167765184137e-16,3.08070776536879e-12,"ENSG00000168398","BDKRB2"
"ENSG00000266903",6.49965882911019,6.19522040872639,0.852525903679807,7.26689990531151,3.67831149698384e-13,1.36770130919279e-09,"ENSG00000266903",""
"ENSG00000211966",1478.53431548876,10.4690192652931,1.59864692342055,6.54867507760438,5.80497756475797e-11,1.88864945069401e-07,"ENSG00000211966","IGHV5-51"
"ENSG00000095777",458.409282141374,-8.08736772906187,1.45601963875185,-5.55443588384195,2.78509715170261e-08,7.24905086645154e-05,"ENSG00000095777","MYO3A"
"ENSG00000198722",19.9559035346847,3.83881489518949,0.703115942724559,5.4597181800688,4.76890961878806e-08,0.000112841072325287,"ENSG00000198722","UNC13B"
"ENSG00000117707",248.059332031649,-10.450675662876,1.9378513337596,-5.39291919912184,6.93221302507998e-08,0.000150359700513985,"ENSG00000117707","PROX1"
"ENSG00000131042",1442.41916601352,-2.84151889271854,0.552320419736761,-5.14469281087384,2.67958916790465e-07,0.000536494975863247,"ENSG00000131042","LILRB2"
"ENSG00000129422",12.4936715866552,4.12595327467335,0.818340619901794,5.04185320187148,4.61044923461851e-07,0.000857148376276076,"ENSG00000129422","MTUS1"
"ENSG00000165259",131.847607905069,-7.05981625969374,1.40520976327461,-5.02403017983737,5.05982807275197e-07,0.000877981367183921,"ENSG00000165259","HDX"
"ENSG00000144642",466.424326664505,-9.01792560984124,1.8321227046428,-4.92211880077072,8.56122138981941e-07,0.00123795261296789,"ENSG00000144642","RBMS3"
