"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000239951",16594.378690974,-8.97588607804152,1.08729905427003,-8.25521372688732,1.51630651240158e-16,4.38864593884389e-12,"ENSG00000239951","IGKV3-20"
"ENSG00000129538",16.1791424535305,5.3835450770865,0.723374006376412,7.44227056768908,9.89692518817753e-14,1.43223352860711e-09,"ENSG00000129538","RNASE1"
"ENSG00000211945",1121.9324557031,5.95731527576351,0.826262440219525,7.20995531901552,5.59702393787510e-13,5.3998221277973e-09,"ENSG00000211945","IGHV1-18"
"ENSG00000211956",4154.2401224319,-8.45970960255051,1.24273839253768,-6.80731331175481,9.94382198601196e-12,7.19510099352861e-08,"ENSG00000211956","IGHV4-34"
"ENSG00000172164",313.908377412854,2.7747572843256,0.463636234998815,5.98477227374752,2.16692822073487e-09,1.25434806985459e-05,"ENSG00000172164","SNTB1"
"ENSG00000063438",58.7691671205786,1.86832080493572,0.319893601064987,5.84044444376419,5.20617448833959e-09,2.2204124356593e-05,"ENSG00000063438","AHRR"
"ENSG00000211658",1890.56026131622,8.39519537699895,1.4386973116569,5.83527564066307,5.37017138845838e-09,2.2204124356593e-05,"ENSG00000211658","IGLV3-27"
"ENSG00000175175",6.93438063463218,2.19267983116872,0.387842103229787,5.65353738779002,1.57178901866385e-08,5.68653619589846e-05,"ENSG00000175175","PPM1E"
"ENSG00000257429",5.12725342427877,3.56503177592185,0.644826992261369,5.52866399624418,3.22678694364334e-08,0.000103769882788744,"ENSG00000257429",""
"ENSG00000100320",9.98181444922174,3.02663356176969,0.56947623165605,5.31476713781043,1.06793806122206e-07,0.000305818551993957,"ENSG00000100320","RBFOX2"
"ENSG00000136404",33.2703433603945,3.23275725974077,0.610031351973281,5.29932969720934,1.16228589708514e-07,0.000305818551993957,"ENSG00000136404","TM6SF1"
"ENSG00000182621",59.5192260442671,3.41567084078272,0.675400598936535,5.05725172018048,4.25341646089045e-07,0.000995109132766697,"ENSG00000182621","PLCB1"
"ENSG00000188659",335.210315677318,1.66471624733044,0.329791438099829,5.04778491801391,4.46961915695231e-07,0.000995109132766697,"ENSG00000188659","SAXO2"
"ENSG00000085276",5.55865427620222,5.11741840570549,1.06619337509179,4.79970943851056,1.58895991188883e-06,0.00306595111531989,"ENSG00000085276","MECOM"
"ENSG00000163600",679.064257498694,-2.63424183355878,0.559740781502567,-4.70618171948707,2.52399550123453e-06,0.00456575011201445,"ENSG00000163600","ICOS"
"ENSG00000250290",3.2281567155373,3.4844139872609,0.742881301090316,4.69040475530462,2.72665130647924e-06,0.00464220404490757,"ENSG00000250290","NCAPGP1"
"ENSG00000007038",36.8492813041943,3.30480936611294,0.707594398421408,4.67048548361283,3.0048871860635e-06,0.0048316916570131,"ENSG00000007038","PRSS21"
"ENSG00000230061",55.5996915985608,-7.63383688849429,1.64156585333823,-4.65033850026206,3.31390662746297e-06,0.00504812629045583,"ENSG00000230061","TRPM2-AS"
"ENSG00000072682",13.1330393508878,2.45519125033895,0.529545499943489,4.63641226410376,3.54508565751401e-06,0.00505445866632693,"ENSG00000072682","P4HA2"
"ENSG00000188693",8.89475222818228,1.64782004823894,0.356857888756451,4.61758055561311,3.88239989010557e-06,0.00505445866632693,"ENSG00000188693","CYP51A1-AS1"
"ENSG00000165238",5.44946806689838,2.70776660931147,0.589464833084177,4.59360161511924,4.35660725818879e-06,0.00505445866632693,"ENSG00000165238","WNK2"
