"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000169507",39.7279544241347,5.14794128473849,0.486876156991893,10.573410118385,3.95834047020085e-26,1.17618128731548e-21,"ENSG00000169507","SLC38A11"
"ENSG00000160183",50.9334221447614,6.85824190370487,0.654655780902069,10.4761037842738,1.11232337527204e-25,1.65257883864167e-21,"ENSG00000160183","TMPRSS3"
"ENSG00000091656",5.63873028175713,2.8706614911625,0.391001701860683,7.34181329007448,2.10719222307468e-13,2.0871036572147e-09,"ENSG00000091656","ZFHX4"
"ENSG00000183111",12.6718771269903,2.3037916146614,0.316698277149426,7.27440526483954,3.47949953927217e-13,2.58474623274833e-09,"ENSG00000183111","ARHGEF37"
"ENSG00000096696",28.9123776930416,4.97750975157823,0.689864728365509,7.21519675802443,5.38560476074334e-13,3.20055719721455e-09,"ENSG00000096696","DSP"
"ENSG00000133742",31.2800201275936,4.03658103534485,0.568000209552869,7.10665413050192,1.18889874165799e-12,5.88782286827094e-09,"ENSG00000133742","CA1"
"ENSG00000170409",7.0480341973372,4.22194305912958,0.607868806935359,6.94548397772703,3.77165033148944e-12,1.60101168499825e-08,"ENSG00000170409",""
"ENSG00000118193",15.7139652515025,2.22703741078776,0.325535746697909,6.84114550668502,7.8562407148842e-12,2.59378151780077e-08,"ENSG00000118193","KIF14"
"ENSG00000141576",94.0954387248294,2.96645032427138,0.448490167942304,6.61430402784884,3.73303826214753e-11,1.00839544474047e-07,"ENSG00000141576","RNF157"
"ENSG00000223551",104.729749352537,1.90105384358017,0.289600274813947,6.56440621405313,5.22406112935489e-11,1.29356460331376e-07,"ENSG00000223551","TMSB4XP4"
"ENSG00000196917",24.3287054017332,2.31757127682883,0.361815770441044,6.40539043945974,1.49985057277516e-10,3.42819691688009e-07,"ENSG00000196917","HCAR1"
"ENSG00000226051",1.3904116170534,5.57880119685569,0.881075106718701,6.33181116378632,2.42299925867871e-10,4.9258719353811e-07,"ENSG00000226051","ZNF503-AS1"
"ENSG00000154447",29.0344257640456,4.72762999497952,0.747119397628271,6.32781053468478,2.48664195432175e-10,4.9258719353811e-07,"ENSG00000154447","SH3RF1"
"ENSG00000224566",7.71700231441169,2.50947042218684,0.39726973841131,6.31679229387636,2.67048111893394e-10,4.95941724800019e-07,"ENSG00000224566","FAM96AP2"
"ENSG00000226995",5.54717482093456,2.23436567533721,0.355427858886864,6.28641120686162,3.24888696481595e-10,5.67867219250242e-07,"ENSG00000226995","LINC00658"
"ENSG00000165698",61.7868642677048,1.8473473097595,0.297199200002789,6.21585559362934,5.10457328022454e-10,8.42651613603288e-07,"ENSG00000165698","SPACA9"
"ENSG00000111879",14.101720726952,2.90411955808119,0.469103619498899,6.19078480183844,5.98653946725906e-10,9.36231756474398e-07,"ENSG00000111879","FAM184A"
"ENSG00000187678",4.51987344842277,4.375489210509,0.709775634322637,6.16460892558629,7.06575454109718e-10,1.04975915217081e-06,"ENSG00000187678","SPRY4"
"ENSG00000115616",8.18677793518285,1.96697729498255,0.323398119880012,6.0822162346285,1.18532558945192e-09,1.60094384386248e-06,"ENSG00000115616","SLC9A2"
"ENSG00000037280",38.6017875857981,3.96118730317138,0.665015364766942,5.95653501112655,2.57641937840905e-09,3.3285098004368e-06,"ENSG00000037280","FLT4"
"ENSG00000211941",97.2170196563099,-8.0725700118595,1.36157244911832,-5.92885822350976,3.05048320903764e-09,3.7297498395181e-06,"ENSG00000211941","IGHV3-11"
"ENSG00000217555",203.553169051516,1.11251603131049,0.187791488225255,5.92420903537454,3.13804085575663e-09,3.7297498395181e-06,"ENSG00000217555","CKLF"
"ENSG00000214456",359.624385121984,-5.41702394694535,0.919392845718926,-5.89195790697008,3.81646405661037e-09,4.36163126838925e-06,"ENSG00000214456","PLIN5"
"ENSG00000238269",62.7272981458672,1.83029437503009,0.312702592809919,5.85314742223025,4.82356198204745e-09,5.3084192864651e-06,"ENSG00000238269","PAGE2B"
"ENSG00000124657",3.91510417688409,3.63574481205404,0.622195705468966,5.84341032909199,5.11428336695809e-09,5.42735057020688e-06,"ENSG00000124657","OR2B6"
"ENSG00000177570",558.842448007499,-5.09744260826294,0.875304814273288,-5.82361998373678,5.75864370661452e-09,5.90042548614979e-06,"ENSG00000177570","SAMD12"
"ENSG00000127564",13.2269220657159,2.088056164983,0.360065446237385,5.79910176553399,6.6671065761553e-09,6.60354682679595e-06,"ENSG00000127564","PKMYT1"
"ENSG00000198729",4.01602911806564,3.45300173827404,0.597002787719766,5.78389550149786,7.29902936969308e-09,6.99623737713097e-06,"ENSG00000198729","PPP1R14C"
"ENSG00000178999",46.5803347201666,1.58709203616444,0.275265283197279,5.76568180967082,8.13283737696164e-09,7.55184780684495e-06,"ENSG00000178999","AURKB"
