"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000234068",60.2157213838235,6.48887153261345,0.561491816037357,11.5564846134494,6.84541473863721e-31,1.73811925628737e-26,"ENSG00000234068","PAGE2"
"ENSG00000101542",9.84490206501215,-20.881585958869,1.83334607634338,-11.3898768095752,4.69653234156961e-30,5.9624826342397e-26,"ENSG00000101542","CDH20"
"ENSG00000242076",12.1078218994809,-21.0299807619273,2.15773231870599,-9.74633441767196,1.91249466493918e-22,1.61867173458236e-18,"ENSG00000242076","IGKV1-33"
"ENSG00000230061",53.4347462431136,-21.0089127896466,2.3053191934716,-9.1132337982269,7.99622503993736e-20,5.07580374972624e-16,"ENSG00000230061","TRPM2-AS"
"ENSG00000102854",26.2212966257844,7.00122577670645,0.806461261576353,8.68141609557472,3.90871352967927e-18,1.98492290464172e-14,"ENSG00000102854","MSLN"
"ENSG00000069011",6.50150672465787,6.08284224715004,0.71221054520373,8.5407921689927,1.33304783944085e-17,5.64123628187376e-14,"ENSG00000069011","PITX1"
"ENSG00000196739",10.5388200932473,5.28927070719128,0.655687327015051,8.06675756762014,7.2189693891954e-16,2.61852645372943e-12,"ENSG00000196739","COL27A1"
"ENSG00000175175",6.75772363337555,3.75664518084762,0.467279436024749,8.03939760928973,9.02811880836434e-16,2.86541205828974e-12,"ENSG00000175175","PPM1E"
"ENSG00000140534",10.1297162543077,3.14802052234095,0.407663012874861,7.72211464596935,1.14415409330838e-14,3.22791295368812e-11,"ENSG00000140534","TICRR"
"ENSG00000119888",35.8879030466722,9.31767639495982,1.21924312790603,7.64218077731744,2.1357302046097e-14,5.42283256252448e-11,"ENSG00000119888","EPCAM"
"ENSG00000130768",3.93566621464059,3.74071651373685,0.566319799334157,6.6053076691561,3.96692614197485e-11,9.15674742462577e-08,"ENSG00000130768","SMPDL3B"
"ENSG00000166813",18.2187581625682,3.79763979437371,0.618849560245055,6.13661225333973,8.42998040110718e-10,1.52889737403223e-06,"ENSG00000166813","KIF7"
"ENSG00000170500",14.0183504277674,4.09608233066632,0.668939917167631,6.12324399478148,9.16891221181098e-10,1.55205233313395e-06,"ENSG00000170500","LONRF2"
"ENSG00000118193",17.2823909399306,2.44260388025629,0.402050946033726,6.07535911643247,1.23710550699541e-09,1.96320912050752e-06,"ENSG00000118193","KIF14"
"ENSG00000239951",16330.6963692018,-10.040524092939,1.65652640626346,-6.06119169303609,1.35116681269393e-09,2.01808685535951e-06,"ENSG00000239951","IGKV3-20"
"ENSG00000103966",2136.88837364424,1.45945819153494,0.241157685504114,6.05188339108541,1.43162088437314e-09,2.01946032639547e-06,"ENSG00000103966","EHD4"
"ENSG00000159556",6.5597391695265,4.1146810243546,0.693932738044848,5.92950987720754,3.03840236161921e-09,4.06042496651965e-06,"ENSG00000159556","ISL2"
"ENSG00000125462",24.4777186836001,3.20335560149289,0.548775369679483,5.83728020330767,5.30598212678259e-09,6.73620960905684e-06,"ENSG00000125462","C1orf61"
"ENSG00000103034",150.207346803618,2.10480091724944,0.36243249177079,5.8074288730729,6.3439487358388e-09,7.67043820722299e-06,"ENSG00000103034","NDRG4"
"ENSG00000138180",15.8982739669155,2.09254937719748,0.36307775634135,5.76336429497529,8.24535547116063e-09,9.51626458037452e-06,"ENSG00000138180","CEP55"
"ENSG00000184661",23.9288952148392,1.94011177038566,0.34138324439473,5.68309019918499,1.32282455815908e-08,1.4603407980964e-05,"ENSG00000184661","CDCA2"
"ENSG00000197044",2018.16500956787,-1.70382534697132,0.302600225351961,-5.6306149309359,1.79568234198732e-08,1.899757097725e-05,"ENSG00000197044","ZNF441"
"ENSG00000256771",755.839629635085,-1.33784224587253,0.238537268485302,-5.6085250508977,2.04058166047835e-08,2.04620836519884e-05,"ENSG00000256771","ZNF253"
"ENSG00000253755",790.821942645257,2.731480217051,0.487421056168211,5.6039438232811,2.09528642019495e-08,2.04620836519884e-05,"ENSG00000253755","IGHGP"
