"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000211663",363.708457212032,6.01914330821808,0.449996701268629,13.375972071015,8.35541557382093e-41,2.53194158133496e-36,"ENSG00000211663","IGLV3-19"
"ENSG00000075651",194.341155176207,3.80117959831247,0.296683593301184,12.8122339223984,1.40043905215078e-37,2.12187522986626e-33,"ENSG00000075651","PLD1"
"ENSG00000166342",223.821752364336,5.92475027057074,0.467086287860185,12.6844876943684,7.20836240463872e-37,7.28116686492558e-33,"ENSG00000166342","NETO1"
"ENSG00000114541",271.551995829649,3.64302557153436,0.291835609789815,12.4831427328493,9.22713996380051e-36,6.99025055807617e-32,"ENSG00000114541","FRMD4B"
"ENSG00000171246",387.464026032352,4.23785755080372,0.343753373172442,12.328191900179,6.38636800579232e-35,3.87052219359049e-31,"ENSG00000171246","NPTX1"
"ENSG00000065534",1194.01320611297,3.7091764360521,0.303906533791642,12.2049907574383,2.92341700823193e-34,1.47647176000754e-30,"ENSG00000065534","MYLK"
"ENSG00000136378",67.1457162982188,3.68536970650399,0.309501883237986,11.9074225589451,1.08272505493173e-32,4.68711676279947e-29,"ENSG00000136378","ADAMTS7"
"ENSG00000273123",5.75432450975894,3.76362674735818,0.317264186318133,11.8627532184936,1.84796884755311e-32,6.99987499842526e-29,"ENSG00000273123",""
"ENSG00000197256",1553.22754530998,3.83028895046455,0.330030170107403,11.6058751514083,3.84731290394165e-31,1.29539025475715e-27,"ENSG00000197256","KANK2"
"ENSG00000176381",28.1395394442772,3.89763542949277,0.336650525903792,11.5776900066588,5.34674300475189e-31,1.62022353272997e-27,"ENSG00000176381","PRR18"
"ENSG00000165449",106.109380364124,5.50064214151409,0.476538515722406,11.5429119788469,8.01646089446449e-31,2.20838922259052e-27,"ENSG00000165449","SLC16A9"
"ENSG00000177990",59.4926520450499,4.43976352735134,0.385774130276748,11.5087124275708,1.19245438300986e-30,3.01124543069564e-27,"ENSG00000177990","DPY19L2"
"ENSG00000176871",5454.6731457125,0.953457710539545,0.0839481265444066,11.357700877758,6.79083229755701e-30,1.58294300856054e-26,"ENSG00000176871","WSB2"
"ENSG00000189233",891.137374406544,-2.25782251472908,0.199505037474165,-11.317120325954,1.0796020548351e-29,2.33679864769058e-26,"ENSG00000189233","NUGGC"
"ENSG00000176834",1603.08848535447,1.86003041066943,0.16755437061465,11.1010557578783,1.23970725857101e-28,2.20981465038102e-25,"ENSG00000176834","VSIG10"
"ENSG00000227765",41.5897444521634,2.95841730383169,0.267575014132949,11.0564034292146,2.04119139709358e-28,3.43634571700705e-25,"ENSG00000227765","MYL12BP2"
"ENSG00000102780",891.564700221348,2.82637462111569,0.258196630431166,10.9465976236634,6.8990577196308e-28,1.04531073038986e-24,"ENSG00000102780","DGKH"
"ENSG00000163362",11.148952606008,4.33780768631037,0.39670286613691,10.9346517421261,7.87075981640123e-28,1.13034776794714e-24,"ENSG00000163362","C1orf106"
