"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000090530",100.237094558705,-24.134658930114,2.04765108930544,-11.7865094576735,4.58138008293212e-32,1.33428113535315e-27,"ENSG00000090530","P3H2"
"ENSG00000157152",5.91078059813863,-20.0981924700244,1.81188680175453,-11.0924106575325,1.36557357347521e-28,1.98854823769459e-24,"ENSG00000157152","SYN2"
"ENSG00000175161",19.7326351227281,-23.1837253991613,2.40945154058478,-9.6219928098386,6.45679165655109e-22,6.2682533401798e-18,"ENSG00000175161","CADM2"
"ENSG00000240671",432.908849730911,12.1219236817666,1.31304285910914,9.23193298502907,2.65791330042477e-20,1.93522667403927e-16,"ENSG00000240671","IGKV1-8"
"ENSG00000211891",168.781563939556,7.28800810464226,0.816063480173017,8.93068772431417,4.23368594700643e-19,2.46603739041231e-15,"ENSG00000211891","IGHE"
"ENSG00000211945",1190.75835954823,10.669321552968,1.21097639779454,8.81051156108353,1.24576039923451e-18,6.0469209778843e-15,"ENSG00000211945","IGHV1-18"
"ENSG00000211964",304.438828100384,9.3760597298817,1.08905969480747,8.60931661926875,7.34973936030366e-18,3.05791155899262e-14,"ENSG00000211964","IGHV3-48"
"ENSG00000211658",2002.44012994391,13.9213969698128,1.73022163984421,8.0460194516272,8.55304039832265e-16,3.11373435700936e-12,"ENSG00000211658","IGLV3-27"
"ENSG00000211670",73.4760877562331,8.96643699968272,1.11809802015026,8.01936577839367,1.06292545077954e-15,3.43962675872259e-12,"ENSG00000211670","IGLV3-9"
"ENSG00000176887",40.8330500430271,-22.3252858717376,3.10865385955941,-7.18165703881286,6.88715139407836e-13,1.82346724728307e-09,"ENSG00000176887","SOX11"
"ENSG00000267251",14.2483822013517,6.53659035399563,0.925931822308368,7.0594726269368,1.67135695795117e-12,4.0563833369475e-09,"ENSG00000267251",""
"ENSG00000165949",56.8921621883253,4.08378700604854,0.596888638958335,6.84179047732487,7.82094230449082e-12,1.75213172058454e-08,"ENSG00000165949","IFI27"
"ENSG00000196433",89.606276140428,3.4549194388752,0.505775709231145,6.83093192460191,8.43647634437835e-12,1.75502812181197e-08,"ENSG00000196433","ASMT"
