"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000054598",243.108650960035,7.14207102795492,0.732517580536774,9.75003360700415,1.84407212984786e-22,4.60243522167429e-18,"ENSG00000054598","FOXC1"
"ENSG00000211918",25.930479190814,-21.6052879185673,2.38390071785549,-9.06299820153709,1.26913126587772e-19,1.5837489066888e-15,"ENSG00000211918","IGHD2-15"
"ENSG00000211920",20.2500526959463,-21.6709309660706,2.41681619160347,-8.96672698625571,3.05456041078108e-19,2.54119062440914e-15,"ENSG00000211920","IGHD6-13"
"ENSG00000211921",15.1071113790697,-21.200139357991,2.45849913233381,-8.62320392111188,6.51063662736479e-18,4.06231172364426e-14,"ENSG00000211921","IGHD5-12"
"ENSG00000232543",12.6383371857148,-21.0080624104169,2.63548595642106,-7.97122912350684,1.57103926831545e-15,7.84199961172342e-12,"ENSG00000232543","IGHD4-11"
"ENSG00000258168",57.268397120896,-22.5981174181566,2.86879162747161,-7.87722510124352,3.34731561506518e-15,1.39237171867995e-11,"ENSG00000258168",""
"ENSG00000171246",948.04679682861,7.9228351343179,1.01613512520627,7.79702909365481,6.33816318089196e-15,2.25982680955288e-11,"ENSG00000171246","NPTX1"
"ENSG00000112699",1396.19057147113,2.11740227982975,0.282497366639955,7.49529917752611,6.61473096012567e-14,2.06363069128521e-10,"ENSG00000112699","GMDS"
"ENSG00000211644",95.6576378288004,4.55528531321009,0.645897919517358,7.05263970599872,1.75555002717817e-12,4.86833528647921e-09,"ENSG00000211644","IGLV1-51"
"ENSG00000185269",4.0724439314775,4.14840644860924,0.677135675543687,6.12640361221315,8.98876174867953e-10,2.24341515723544e-06,"ENSG00000185269","NOTUM"
"ENSG00000132204",13.2537732453805,9.0084848744213,1.4965917487888,6.01933351678032,1.75136681997735e-09,3.97369209936315e-06,"ENSG00000132204","LINC00470"
"ENSG00000211909",9.92817334012072,-19.3692142112061,3.38706369316379,-5.71858576214541,1.07414298858351e-08,2.23403839242226e-05,"ENSG00000211909","IGHD5-24"
"ENSG00000211625",198.044448987148,8.92031329778863,1.71847856081217,5.19082024134929,2.09369685165231e-07,0.000401957584796449,"ENSG00000211625","IGKV3D-20"
"ENSG00000130147",141.691194433225,6.8900272842964,1.37413450110642,5.01408506863681,5.32864090970281e-07,0.000949944427316877,"ENSG00000130147","SH3BP4"
"ENSG00000130997",76.8158114750837,1.74122083774671,0.353960607102729,4.91925034257091,8.68762987416627e-07,0.00144520267543817,"ENSG00000130997","POLN"
"ENSG00000241458",18.1045744781354,4.95163603638149,1.00916989667225,4.90664263045257,9.26486209111735e-07,0.00144520267543817,"ENSG00000241458","RPL7P19"
"ENSG00000014914",133.270465979778,4.37899043864692,0.897917413269318,4.87682984418691,1.07804351773836e-06,0.00153484174695326,"ENSG00000014914","MTMR11"
"ENSG00000116771",404.840811181797,1.76237834296845,0.361765346003311,4.87160631176743,1.10694572662708e-06,0.00153484174695326,"ENSG00000116771","AGMAT"
