"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000155761",56.4019348216145,3.906117723369,0.364231274132496,10.7242787777418,7.8295479047101e-27,1.99974483034201e-22,"ENSG00000155761","SPAG17"
"ENSG00000211669",266.270962363952,6.998979346335,0.7693384597453,9.09739953550756,9.25204793879192e-20,1.18153278202342e-15,"ENSG00000211669","IGLV3-10"
"ENSG00000211660",595.169934105952,7.03216739821459,0.87068331616166,8.07660749629998,6.65934589583596e-16,5.66954511751821e-12,"ENSG00000211660","IGLV2-23"
"ENSG00000211973",13146.2197628833,-8.84037513767583,1.14358948972721,-7.73037459428258,1.07230577800924e-14,6.84694046903351e-11,"ENSG00000211973","IGHV1-69"
"ENSG00000128573",28.4491558764,9.03267300703509,1.30766671589374,6.90747336247801,4.93361556815197e-12,2.39513536447929e-08,"ENSG00000128573","FOXP2"
"ENSG00000204301",286.766174400484,2.8627494129707,0.415565865191912,6.88879826943597,5.62656598679603e-12,2.39513536447929e-08,"ENSG00000204301","NOTCH4"
"ENSG00000164411",38.9567921535065,2.01925543154759,0.300014508320618,6.73052594306428,1.6905090304925e-11,6.16818444968701e-08,"ENSG00000164411","GJB7"
"ENSG00000183914",3.57706220331456,3.08485452514999,0.466389584801348,6.61432979139949,3.7323882368323e-11,1.19161159946167e-07,"ENSG00000183914","DNAH2"
"ENSG00000211648",176.794434828718,4.09506266986488,0.624666189849747,6.55560159394872,5.54180048883461e-11,1.57270140317027e-07,"ENSG00000211648","IGLV1-47"
"ENSG00000106536",3.03661461045461,5.76129828075305,0.903363497961346,6.37760801023595,1.79875188583048e-10,4.59419219159964e-07,"ENSG00000106536","POU6F2"
"ENSG00000211654",57.6318549310527,8.73299768202024,1.40107492605605,6.23306970927181,4.57382512635598e-10,1.06200061411144e-06,"ENSG00000211654","IGLV5-37"
"ENSG00000118508",69.990562286357,-3.41381096598614,0.553048260153357,-6.17271802833176,6.71258657261474e-10,1.42871811375961e-06,"ENSG00000118508","RAB32"
"ENSG00000204389",3174.82676660674,-4.41769949893543,0.74539308422749,-5.92667089675756,3.09137646206184e-09,6.07360355519395e-06,"ENSG00000204389","HSPA1A"
"ENSG00000168398",263.39728143718,-9.94140196165354,1.68101920751886,-5.91391336707376,3.34073644721724e-09,6.09469639988397e-06,"ENSG00000168398","BDKRB2"
"ENSG00000188536",830.933153791266,-6.14100731419008,1.06597003125179,-5.76095681318412,8.36384403366119e-09,1.4241396030916e-05,"ENSG00000188536","HBA2"
"ENSG00000165698",62.3188148635554,1.46157196588049,0.2569702677741,5.68770845958466,1.28755385932206e-08,2.01181822520729e-05,"ENSG00000165698","SPACA9"
"ENSG00000183111",12.8328529733619,1.66149167165203,0.292464414924641,5.68100454915224,1.33905915306855e-08,2.01181822520729e-05,"ENSG00000183111","ARHGEF37"
"ENSG00000173110",589.730755062855,-4.49693733464957,0.808552470039171,-5.56171368127997,2.67138321328132e-08,3.79054436946767e-05,"ENSG00000173110","HSPA6"
"ENSG00000226434",13.4201324711494,4.16340585784692,0.761351733664548,5.46843945282368,4.54015100274648e-08,5.79799983805739e-05,"ENSG00000226434",""
"ENSG00000105427",13.2788581571239,2.38942057572876,0.437658512868843,5.45955466527123,4.77330354289498e-08,5.80547360900384e-05,"ENSG00000105427","CNFN"
"ENSG00000137968",571.942790646369,-4.87483443438848,0.898997418622775,-5.42252328361133,5.87635572715361e-08,6.82218189214683e-05,"ENSG00000137968","SLC44A5"
"ENSG00000211935",335.013903078232,5.29276235869695,0.995387240929948,5.31728973515086,1.05324285374213e-07,0.000116960329249685,"ENSG00000211935","IGHV1-3"
"ENSG00000129204",729.735806710835,-3.41190942312594,0.650293305940628,-5.24672388898533,1.54827668232873e-07,0.000164768894763992,"ENSG00000129204","USP6"
"ENSG00000137648",14.9026043830257,3.64847825201286,0.697305954499097,5.23224881197767,1.67460130405772e-07,0.000171083967627752,"ENSG00000137648","TMPRSS4"
