"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000048028",6630.45076656005,-0.942187680306337,0.0885805019780294,-10.6365132198057,2.01530376695509e-26,5.96348537679681e-22,"ENSG00000048028","USP28"
"ENSG00000166266",3782.38480783219,-0.750151665154619,0.0718037364191978,-10.4472511120474,1.50833743997971e-25,2.23166065932197e-21,"ENSG00000166266","CUL5"
"ENSG00000231160",208.168625070977,-4.2341503704584,0.415204916743646,-10.1977365867096,2.02946919796297e-24,2.00180076789741e-20,"ENSG00000231160","KLF3-AS1"
"ENSG00000211941",1955.64839199007,-8.16372614754144,0.849335119474009,-9.61190225196058,7.12208562690198e-22,5.26874089464141e-18,"ENSG00000211941","IGHV3-11"
"ENSG00000211956",1455.96139114246,-7.27619407852433,0.787721122838698,-9.23701785766925,2.53462776055185e-20,1.25003616770816e-16,"ENSG00000211956","IGHV4-34"
"ENSG00000149311",26215.2267099269,-0.833416674758437,0.0918473647236038,-9.07393126919251,1.14798536901516e-19,4.85286215064679e-16,"ENSG00000149311","ATM"
"ENSG00000166682",194.333541948437,-0.762432457656755,0.0873736631315424,-8.72611299939321,2.63575328203031e-18,9.74932192106985e-15,"ENSG00000166682","TMPRSS5"
"ENSG00000076043",861.523564156354,-0.658003919789855,0.0755434043167089,-8.71027624107636,3.0313514685029e-18,9.96674681160769e-15,"ENSG00000076043","REXO2"
"ENSG00000109787",5165.62223377419,-2.63692274070335,0.306436759547339,-8.60511233899794,7.62420517609288e-18,2.25607855365764e-14,"ENSG00000109787","KLF3"
"ENSG00000086848",696.041603178959,-0.666600998852471,0.0790839629694232,-8.42902876668186,3.48545903447994e-17,9.37620166266328e-14,"ENSG00000086848","ALG9"
"ENSG00000149308",2855.72482802825,-0.922045751948951,0.109880153321103,-8.39137664155286,4.80482322978265e-17,1.18482936827082e-13,"ENSG00000149308","NPAT"
"ENSG00000160224",134.559068184713,-3.80909141731768,0.467798011255174,-8.14259856962047,3.86883306466885e-16,8.8063568628166e-13,"ENSG00000160224","AIRE"
"ENSG00000261098",474.992525911665,-0.819929667965663,0.101462407665709,-8.08111779356848,6.41757831476155e-16,1.35644685651507e-12,"ENSG00000261098",""
"ENSG00000137760",1394.15685425648,-0.657445449884356,0.0820158999917305,-8.01607310229657,1.09179541502709e-15,2.15382120840444e-12,"ENSG00000137760","ALKBH8"
"ENSG00000135318",435.028598748548,-3.8308296714842,0.492413172600705,-7.77970591495649,7.26933340991274e-15,1.34441778082955e-11,"ENSG00000135318","NT5E"
"ENSG00000170145",1839.19752539597,-0.658590165383462,0.0859173985425564,-7.66538764621988,1.78291881396042e-14,3.10343238964134e-11,"ENSG00000170145","SIK2"
"ENSG00000075239",1122.22956237324,-0.612921163788788,0.0812282953370358,-7.54566079770147,4.4999990091978e-14,7.39774837117622e-11,"ENSG00000075239","ACAT1"
"ENSG00000076053",2195.02171787783,-0.613740647490095,0.0852868629504995,-7.19619207762759,6.19173903217372e-13,9.64314472110803e-10,"ENSG00000076053","RBM7"
"ENSG00000177990",75.3318062742473,3.83446098716576,0.548893323497197,6.98580365804966,2.83229945579689e-12,4.19052865982429e-09,"ENSG00000177990","DPY19L2"
"ENSG00000150776",1757.97426873882,-0.508058671944664,0.0743957626769861,-6.8291345321718,8.54284340223087e-12,1.20376799578768e-08,"ENSG00000150776","C11orf57"
"ENSG00000086827",493.934991321753,-0.684767195259494,0.101894293435778,-6.72036845410864,1.81265613125405e-11,2.43810488999721e-08,"ENSG00000086827","ZW10"
"ENSG00000152404",1232.11877999647,-0.689148408812129,0.105121876017789,-6.55570881074755,5.53781987997565e-11,7.12476643775476e-08,"ENSG00000152404","CWF19L2"
"ENSG00000137713",2209.70182203082,-0.683409034524437,0.105292750733583,-6.49056112375328,8.55172610635042e-11,1.0543921967209e-07,"ENSG00000137713","PPP2R1B"
"ENSG00000168447",1.99294993820965,2.86322815008663,0.454040000037218,6.30611432880789,2.8612771375039e-10,3.38672207103511e-07,"ENSG00000168447","SCNN1B"
"ENSG00000143344",66.5397602321419,1.30794452338673,0.208986440111566,6.25851381883191,3.88663463069343e-10,4.42343866757113e-07,"ENSG00000143344","RGL1"
"ENSG00000178105",1547.67491858672,-0.483832306727784,0.0778297861216458,-6.21654421575266,5.0822322011939e-10,5.56993826168625e-07,"ENSG00000178105","DDX10"
"ENSG00000211967",94.8857305948355,5.562237173092,0.899141339899372,6.1861655406863,6.16452727152377e-10,6.31199713145143e-07,"ENSG00000211967","IGHV3-53"
"ENSG00000091436",194.103614354333,-3.22479899497973,0.521338137733933,-6.18561881737015,6.18593210138527e-10,6.31199713145143e-07,"ENSG00000091436","MAP3K20"
"ENSG00000187079",17.8384892687733,-5.58086673519305,0.914815107939999,-6.10054063029214,1.0571030643158e-09,1.00905602503771e-06,"ENSG00000187079","TEAD1"
"ENSG00000204852",5635.88738837338,-1.30147089010886,0.214337622907673,-6.07205992328037,1.26279790202229e-09,1.16773289746068e-06,"ENSG00000204852","TCTN1"
"ENSG00000144407",79.1855618271701,-5.94241065106123,0.989150018204998,-6.00759292492849,1.8829788850588e-09,1.6884614602356e-06,"ENSG00000144407","PTH2R"
"ENSG00000187627",52.4704000030691,-2.78429776952812,0.465352019942977,-5.98320765829983,2.18785542917378e-09,1.90414205896122e-06,"ENSG00000187627","RGPD1"
"ENSG00000166323",223.467644239207,-0.764155449927021,0.128159507648086,-5.96253421966416,2.48355618438036e-09,2.08666432567215e-06,"ENSG00000166323","C11orf65"
"ENSG00000149292",1667.996826556,-0.689012561253637,0.115626466612248,-5.95895197216598,2.53860686439112e-09,2.08666432567215e-06,"ENSG00000149292","TTC12"
"ENSG00000105492",259.967826530791,-2.39079633871564,0.401730115662493,-5.95124996982859,2.66102300350544e-09,2.12817112693864e-06,"ENSG00000105492","SIGLEC6"
"ENSG00000211959",77.6775683072197,-4.13942828312111,0.69779502696596,-5.93215503572662,2.98984097849037e-09,2.27616657587469e-06,"ENSG00000211959","IGHV4-39"
"ENSG00000196954",4915.27222059183,-0.48566280605558,0.0818771616781128,-5.9316028560551,2.99991539519154e-09,2.27616657587469e-06,"ENSG00000196954","CASP4"
"ENSG00000128805",101.942006316952,-2.80297101852233,0.476408446253107,-5.88354602141785,4.01568366892788e-09,2.89824623042061e-06,"ENSG00000128805","ARHGAP22"
"ENSG00000197410",19.8115941032977,-3.11648134959412,0.531697107958619,-5.86138480526899,4.59022861540257e-09,3.23403464186613e-06,"ENSG00000197410","DCHS2"
"ENSG00000173662",39.4080535176771,2.08597577644153,0.36207514427702,5.7611681149965,8.353378509837e-09,5.74848426708341e-06,"ENSG00000173662","TAS1R1"
"ENSG00000145287",3439.37689615769,-1.38465388739633,0.241712577760876,-5.72851400710374,1.01314188811621e-08,6.81360945710156e-06,"ENSG00000145287","PLAC8"
"ENSG00000124225",34.5254059944234,-2.96485347990367,0.520127576208266,-5.70024281642106,1.19636896862324e-08,7.86705647789561e-06,"ENSG00000124225","PMEPA1"
"ENSG00000164330",561.656003753664,-3.97329842746552,0.699588911642555,-5.67947599131706,1.3510801200164e-08,8.69126344160987e-06,"ENSG00000164330","EBF1"
"ENSG00000099617",22.5658312453725,-3.47328070570998,0.615146130333583,-5.64626929186156,1.63966945879396e-08,1.0164707229892e-05,"ENSG00000099617","EFNA2"
"ENSG00000197580",105.005523698477,-0.75316423289082,0.133498042280564,-5.64176238111378,1.68318290785951e-08,1.0164707229892e-05,"ENSG00000197580","BCO2"
"ENSG00000211934",75.6945634339027,-3.50019076891927,0.628042349586968,-5.57317634904903,2.5013613422898e-08,1.47225630485916e-05,"ENSG00000211934","IGHV1-2"
"ENSG00000137714",992.677225011928,-0.55212288626292,0.0991122464538934,-5.57068279669925,2.53742933823856e-08,1.47225630485916e-05,"ENSG00000137714","FDX1"
"ENSG00000137710",1103.33483893457,-0.620460933901594,0.113001597961354,-5.49072707904352,4.00282482022559e-08,2.23486017462822e-05,"ENSG00000137710","RDX"
"ENSG00000116852",7255.66785986841,-0.567173845549211,0.103517345904953,-5.47902228936562,4.27682489766015e-08,2.34362084345669e-05,"ENSG00000116852","KIF21B"
"ENSG00000150768",1002.62100598007,-0.526099370951008,0.0972944522703616,-5.40729053583738,6.39853049528462e-08,3.40291355855543e-05,"ENSG00000150768","DLAT"
"ENSG00000182359",360.322360585927,-0.510270991591993,0.0948754485369232,-5.37832494560917,7.51820331184246e-08,3.90300270527597e-05,"ENSG00000182359","KBTBD3"
"ENSG00000158806",18.0512684956048,1.49999520052133,0.279216629960086,5.37215566542635,7.78008992106718e-08,3.96932139403964e-05,"ENSG00000158806","NPM2"
"ENSG00000051128",577.069571381765,-1.84252408888812,0.343261904597208,-5.36769173686835,7.97507078999618e-08,3.99983592791147e-05,"ENSG00000051128","HOMER3"
"ENSG00000196411",524.335863670413,0.772061455699034,0.14397402563657,5.36250516220146,8.20756221411598e-08,4.04783289129843e-05,"ENSG00000196411","EPHB4"
"ENSG00000164181",22.715082662666,1.22427180428098,0.228581163867145,5.35596102307252,8.51028547141875e-08,4.12832553089758e-05,"ENSG00000164181","ELOVL7"
"ENSG00000149313",1640.02404639223,-0.443448120101363,0.0831959511375303,-5.33016467794573,9.8123750132049e-08,4.68319337122171e-05,"ENSG00000149313","AASDHPPT"
"ENSG00000120645",18.6155696210034,-3.0885372011047,0.581552845223237,-5.31084531091774,1.09117920965085e-07,5.12525142742515e-05,"ENSG00000120645","IQSEC3"
"ENSG00000136457",274.545094024053,-1.60960763619846,0.304512720443407,-5.28584695527555,1.25124473605512e-07,5.78524734134486e-05,"ENSG00000136457","CHAD"
"ENSG00000162804",5618.17066096618,-1.33507800770275,0.253090877369086,-5.27509336401638,1.32688517469731e-07,6.04059372376433e-05,"ENSG00000162804","SNED1"
