"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000196565",94.1613390464132,2.39625214762515,0.165969996917403,14.437863421891,2.98966909673911e-47,9.06019219766788e-43,"ENSG00000196565","HBG2"
"ENSG00000211962",486.897533183183,4.09168237827902,0.304615033143971,13.4323061342319,3.91041329407097e-41,5.92525374384104e-37,"ENSG00000211962","IGHV1-46"
"ENSG00000211649",2577.3269356785,3.91838212042653,0.317277365469389,12.3500209812621,4.86987260388066e-35,4.91938297535345e-31,"ENSG00000211649","IGLV7-46"
"ENSG00000154646",21.5786550670219,3.2905174671782,0.275814657132273,11.9301762328032,8.23988675357241e-33,6.2427442016753e-29,"ENSG00000154646","TMPRSS15"
"ENSG00000133742",64.903836174346,1.82458445626222,0.154594429744667,11.8023945576549,3.79360253855322e-32,2.29930249861711e-28,"ENSG00000133742","CA1"
"ENSG00000185686",45.5923372822935,4.00973037754908,0.389174968781727,10.3031559046594,6.81868693537347e-25,3.44400512627488e-21,"ENSG00000185686","PRAME"
"ENSG00000211933",69.0074226146767,2.17506064399002,0.211537545221847,10.2821494014642,8.48146892500397e-25,3.67187022531779e-21,"ENSG00000211933","IGHV6-1"
"ENSG00000158578",223.537271691177,1.39916967680324,0.136589398679963,10.2436183944376,1.26418051556517e-24,4.78887381552533e-21,"ENSG00000158578","ALAS2"
"ENSG00000211632",17.246510203057,-3.60869406428536,0.363038905900026,-9.9402405792814,2.78154549357467e-23,9.36608179808672e-20,"ENSG00000211632","IGKV3D-11"
"ENSG00000160183",44.305560718995,2.10923332513855,0.21470288707569,9.82396349609857,8.87826156030544e-23,2.69055716585056e-19,"ENSG00000160183","TMPRSS3"
"ENSG00000213265",5.59249714378974,2.33847015276263,0.244262457599886,9.57359626911298,1.03250306313495e-21,2.84454593893678e-18,"ENSG00000213265","TSGA13"
"ENSG00000163817",9.93928792416308,1.36523337690946,0.144049745338657,9.47751329722822,2.60414804636208e-21,6.57655887875023e-18,"ENSG00000163817","SLC6A20"
"ENSG00000271201",23.7245842526282,-5.7746076149073,0.642542662373614,-8.98711938219845,2.53794891204816e-19,5.91634936766303e-16,"ENSG00000271201",""
"ENSG00000213934",37.2177874015066,4.35326431536843,0.490841643184474,8.86897918262476,7.38194746852805e-19,1.49139945355828e-15,"ENSG00000213934","HBG1"
"ENSG00000179241",31.5348167185736,1.43917514713265,0.165804305311708,8.67996246796509,3.95899446049478e-18,7.05748983089966e-15,"ENSG00000179241","LDLRAD3"
"ENSG00000004939",50.8964564753733,2.27846506737273,0.267676056170645,8.51202419808591,1.70922895800997e-17,2.87767686513846e-14,"ENSG00000004939","SLC4A1"
"ENSG00000211972",155.446188428841,3.81867612465553,0.463204756692906,8.24403478047014,1.66498725423201e-16,2.65565467050005e-13,"ENSG00000211972","IGHV3-66"
"ENSG00000211639",315.403008369402,1.35100195525023,0.166731234427315,8.10287262545992,5.36764286086348e-16,8.13332084492339e-13,"ENSG00000211639","IGLV4-60"
"ENSG00000145335",45.8683333983268,1.96395838713991,0.249924222696668,7.85821544606166,3.89644698749398e-15,5.51481751571118e-12,"ENSG00000145335","SNCA"
"ENSG00000211673",683.844523496456,-1.82281087167377,0.237284966553876,-7.68194841058293,1.56686940365145e-14,1.97849905323571e-11,"ENSG00000211673","IGLV3-1"
"ENSG00000181433",38.6351781907611,4.26814405070947,0.556699899474355,7.66686693268586,1.76248458752323e-14,2.13648381699566e-11,"ENSG00000181433","SAGE1"
"ENSG00000180263",200.250053216595,1.06332061350736,0.139137755464542,7.6422147961007,2.13516582941601e-14,2.4887000177097e-11,"ENSG00000180263","FGD6"
"ENSG00000161513",536.605602404705,0.436987188168382,0.057967888723673,7.53843546470108,4.75643262398021e-14,5.33865520998964e-11,"ENSG00000161513","FDXR"
"ENSG00000241755",424.372706010571,2.45319412606234,0.325774200751182,7.53035114630218,5.06040497654867e-14,5.47698474336812e-11,"ENSG00000241755","IGKV1-9"
"ENSG00000243063",26.850397379338,4.93894407825011,0.658357681879473,7.50191607721575,6.28916357432317e-14,6.57217593516771e-11,"ENSG00000243063","IGKV3-7"
"ENSG00000254098",89.9868066781064,-3.23669291678083,0.433322049812611,-7.46948584356723,8.05087692126155e-14,8.13272750329438e-11,"ENSG00000254098","IGKV2-26"
"ENSG00000211659",943.971557628144,-2.25271980960231,0.303983673951187,-7.4106605144987,1.25671911209482e-13,1.22854428038818e-10,"ENSG00000211659","IGLV3-25"
"ENSG00000253998",282.042571924122,-2.42558496691624,0.330740576071187,-7.33379918402925,2.2371824569111e-13,2.11868169864659e-10,"ENSG00000253998","IGKV2-29"
"ENSG00000211934",3153.5675272241,-2.30629362150913,0.320224242575636,-7.20212062322042,5.92832102980351e-13,5.44417481236956e-10,"ENSG00000211934","IGHV1-2"
"ENSG00000244734",21800.6892173412,2.03431394767559,0.286076800326658,7.11107627515654,1.15141479757327e-12,1.02628310118994e-09,"ENSG00000244734","HBB"
"ENSG00000223609",74.0451081707509,2.53094919364123,0.357371506025017,7.08212364716077,1.41961900000881e-12,1.22918725129334e-09,"ENSG00000223609","HBD"
"ENSG00000169877",21.5031869395828,1.72957016737668,0.24617573907883,7.02575393435843,2.12913400544412e-12,1.74387583878335e-09,"ENSG00000169877","AHSP"
"ENSG00000170365",12.7961728947478,1.63099227097585,0.236110544246445,6.90774855558112,4.92405733306769e-12,3.92693572312148e-09,"ENSG00000170365","SMAD1"
"ENSG00000181143",13.8939455297039,1.17610536075809,0.170623395669815,6.892990003751,5.46317151331659e-12,4.19590805924116e-09,"ENSG00000181143","MUC16"
"ENSG00000105278",11.2722912259263,1.24022165700198,0.180020513860312,6.88933516745953,5.60537315306624e-12,4.19590805924116e-09,"ENSG00000105278","ZFR2"
"ENSG00000135679",6460.19049638308,0.405526650951074,0.0588783334769735,6.88753616149258,5.67669461900306e-12,4.19590805924116e-09,"ENSG00000135679","MDM2"
"ENSG00000131746",64.8613683248168,0.659935146443263,0.0961225837375668,6.86555771581227,6.62319798114554e-12,4.7086259115036e-09,"ENSG00000131746","TNS4"
"ENSG00000211967",201.414833371599,2.43662264902893,0.355068770036277,6.86239639937913,6.77148459420978e-12,4.7086259115036e-09,"ENSG00000211967","IGHV3-53"
"ENSG00000143416",27.0971108410619,1.8716209227819,0.272789997096474,6.86103208586489,6.83648045227383e-12,4.7086259115036e-09,"ENSG00000143416","SELENBP1"
"ENSG00000211945",2111.10125242347,-2.40646054384681,0.354743839606776,-6.78365703690389,1.17171299485222e-11,7.89083606866589e-09,"ENSG00000211945","IGHV1-18"
"ENSG00000249346",5.61294220068462,1.43772863537986,0.212319024118744,6.77154881126331,1.27410959210664e-11,8.39388938886774e-09,"ENSG00000249346","LINC01016"
"ENSG00000164066",6.02232732690356,1.69858753284983,0.252950311269689,6.71510354869198,1.87932714785176e-11,1.21176615352442e-08,"ENSG00000164066","INTU"
"ENSG00000211654",44.9419687374946,-3.64748557360521,0.544118263408363,-6.70347940676962,2.03514388094042e-11,1.28489656899791e-08,"ENSG00000211654","IGLV5-37"
"ENSG00000211640",982.968166504779,-1.54059175205686,0.230414219691043,-6.68618349215862,2.29065784529115e-11,1.41670175513364e-08,"ENSG00000211640","IGLV6-57"
"ENSG00000223350",353.136171219535,-2.26795645901525,0.339661471959439,-6.67710837479406,2.43702739070174e-11,1.47708230150433e-08,"ENSG00000223350","IGLV9-49"
"ENSG00000211668",962.682633511219,-2.11437950188588,0.317370675552146,-6.66217664315516,2.69801464824459e-11,1.60320262578534e-08,"ENSG00000211668","IGLV2-11"
"ENSG00000066056",24.5576377217086,1.13595885010339,0.174496437938007,6.50992572413976,7.51879732189225e-11,4.29919156301782e-08,"ENSG00000066056","TIE1"
"ENSG00000136929",7.76130103235063,1.16277296486288,0.178899710957683,6.49957989668258,8.05446161094614e-11,4.52019368740227e-08,"ENSG00000136929","HEMGN"
"ENSG00000205517",147.109588871679,1.66707692209114,0.256723316466698,6.49367165022344,8.37692205111158e-11,4.61568405016248e-08,"ENSG00000205517","RGL3"
"ENSG00000211958",47.6539758127428,5.90234338954647,0.91164625192867,6.47437904456859,9.52026382088264e-11,5.10657947329474e-08,"ENSG00000211958","IGHV3-38"
"ENSG00000121753",34.2852459568267,0.834072265210128,0.128853191228457,6.47304313737417,9.60485167390861e-11,5.10657947329474e-08,"ENSG00000121753","ADGRB2"
"ENSG00000137648",58.5752234685948,1.54175871551719,0.239513110873147,6.43705352870536,1.21814983825135e-10,6.36483290486333e-08,"ENSG00000137648","TMPRSS4"
"ENSG00000105610",3.8129246839695,0.991247221236646,0.154571035570368,6.41289111882404,1.42785501944068e-10,7.33409260409316e-08,"ENSG00000105610","KLF1"
"ENSG00000204010",4.99366734713549,2.0728508988267,0.328836606502666,6.30358925325393,2.90830606087828e-10,1.46893691958194e-07,"ENSG00000204010","IFIT1B"
"ENSG00000077522",8.11201438667137,-2.27829261329961,0.363993193538443,-6.25916268145544,3.87049951707085e-10,1.92287685024315e-07,"ENSG00000077522","ACTN2"
"ENSG00000206172",287.938950721561,1.80047333760764,0.288083356563732,6.24983462801789,4.10887507884404e-10,2.00837837523175e-07,"ENSG00000206172","HBA1"
"ENSG00000173809",28.189253820108,-1.22165318709259,0.196286879519129,-6.2238148066006,4.85209778042363e-10,2.33401306723394e-07,"ENSG00000173809","TDRD12"
"ENSG00000074211",12.4033058832504,-1.71329363277893,0.275888094452996,-6.21010354280014,5.29497007969676e-10,2.50725106664391e-07,"ENSG00000074211","PPP2R2C"
"ENSG00000211891",264.023968021008,-1.47524801437712,0.238017065775964,-6.19807663609177,5.71573107534783e-10,2.66484969597563e-07,"ENSG00000211891","IGHE"
"ENSG00000060709",90.8931046545665,-2.57773662427046,0.417041046662785,-6.1810141828912,6.36910935664424e-10,2.92448271292581e-07,"ENSG00000060709","RIMBP2"
"ENSG00000172380",5.33070234496063,1.49750027346485,0.243164995256289,6.15837107592942,7.34969810718635e-10,3.32436718116839e-07,"ENSG00000172380","GNG12"
"ENSG00000087494",7.39046743906231,1.45571887549055,0.2367610315823,6.14847327603624,7.8232304956039e-10,3.48651470837171e-07,"ENSG00000087494","PTHLH"
"ENSG00000211979",16.4859939367124,1.57012655839977,0.257056351556252,6.10810255764551,1.00822562530893e-09,4.42815617028798e-07,"ENSG00000211979","IGHV7-81"
"ENSG00000188536",2404.62352733868,1.84517448238955,0.302807239568193,6.09356131980461,1.10426007722314e-09,4.78065737717818e-07,"ENSG00000188536","HBA2"
"ENSG00000243064",2.1225482731808,1.34847277566096,0.221410452908651,6.09037539983404,1.12646228204698e-09,4.80809006442729e-07,"ENSG00000243064","ABCC13"
"ENSG00000170180",2.08060141978267,1.44491889672154,0.241883855814126,5.97360618325796,2.32065619576547e-09,9.76770639064897e-07,"ENSG00000170180","GYPA"
"ENSG00000243264",1070.04376162187,-2.54876872755317,0.427002565553214,-5.96897754993824,2.38744956336145e-09,9.91118616680395e-07,"ENSG00000243264","IGKV2D-29"
"ENSG00000251039",42.3604611314638,3.03424154114205,0.510796029175205,5.94022147361153,2.84637272329913e-09,1.16566655918352e-06,"ENSG00000251039","IGKV2D-40"
"ENSG00000130707",132.23517922984,-2.2054832005491,0.371559503284227,-5.93574698279753,2.92510610877532e-09,1.18193787501915e-06,"ENSG00000130707","ASS1"
"ENSG00000211665",291.625529977229,2.13516195237697,0.361030601706586,5.91407471356748,3.33746376245885e-09,1.33081367528046e-06,"ENSG00000211665","IGLV3-16"
"ENSG00000152785",88.9286272863915,1.67759849104224,0.28421576733341,5.90255251065742,3.57920141038455e-09,1.40867141222992e-06,"ENSG00000152785","BMP3"
"ENSG00000162722",18.2343708416874,1.39686520755692,0.238317620364319,5.86135932971095,4.59093301986584e-09,1.78369519444916e-06,"ENSG00000162722","TRIM58"
"ENSG00000250361",2.0336602543779,1.10382992819558,0.190401973033668,5.79736601784266,6.73645606072134e-09,2.48961342585561e-06,"ENSG00000250361","GYPB"
"ENSG00000241294",1067.76104317388,-2.08403424708255,0.360039026730313,-5.78835651792715,7.10784257083176e-09,2.57979597948255e-06,"ENSG00000241294","IGKV2-24"
"ENSG00000169507",37.203518106846,0.934966404627301,0.161553576404096,5.78734575512371,7.15072965769787e-09,2.57979597948255e-06,"ENSG00000169507","SLC38A11"
"ENSG00000211642",343.874687987663,-2.41887489593691,0.418179686357932,-5.78429554291292,7.28168258799775e-09,2.59613400975614e-06,"ENSG00000211642","IGLV10-54"
"ENSG00000112619",18.1512284468616,0.701542445201671,0.121695399922461,5.76474086652957,8.17834010231827e-09,2.88191391628785e-06,"ENSG00000112619","PRPH2"
"ENSG00000189060",772.685361892461,-0.969659095987886,0.168769349650092,-5.74546917433923,9.16664563575568e-09,3.19304822978823e-06,"ENSG00000189060","H1F0"
"ENSG00000081803",2.96311758089278,1.90678641624983,0.335652741983766,5.68083074483583,1.34042074090259e-08,4.60808894737032e-06,"ENSG00000081803","CADPS2"
"ENSG00000154928",6.83633350078924,0.803750511389939,0.14152544985532,5.67919418176453,1.35330775883834e-08,4.60808894737032e-06,"ENSG00000154928","EPHB1"
"ENSG00000253913",26.2961003384432,8.20636091684734,1.4489160253778,5.6637933276413,1.48062725419925e-08,4.98560099316757e-06,"ENSG00000253913","IGLV3-26"
"ENSG00000204583",11.9975828544976,0.762250602013446,0.134783788906337,5.65535817176902,1.5552160829088e-08,5.1792113618188e-06,"ENSG00000204583","LRCOL1"
"ENSG00000211660",908.17153509877,-1.71418571304164,0.303358368741395,-5.65069531509428,1.59800118822084e-08,5.26385065315572e-06,"ENSG00000211660","IGLV2-23"
"ENSG00000168398",244.938370301582,-2.77454680020177,0.495003853984927,-5.60510141055641,2.08133066319314e-08,6.78222857506107e-06,"ENSG00000168398","BDKRB2"
