"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000075651",211.468289916894,4.82119637022235,0.285681082565173,16.8761484902399,6.74012514184591e-64,2.04252752298498e-59,"ENSG00000075651","PLD1"
"ENSG00000182195",352.085172717285,5.53772439802538,0.330735332093516,16.7436734472009,6.2978800098143e-63,8.73241639814909e-59,"ENSG00000182195","LDOC1"
"ENSG00000127329",740.776065252895,-8.3681883241434,0.500345725217449,-16.7248122695694,8.6448156000684e-63,8.73241639814909e-59,"ENSG00000127329","PTPRB"
"ENSG00000176381",27.3818064740619,5.13857214337153,0.318885059047732,16.1141828303795,2.02827442349607e-58,1.53662070324062e-54,"ENSG00000176381","PRR18"
"ENSG00000073282",148.941205449026,6.36166486002479,0.413325374393937,15.3914210308355,1.86882521471466e-53,1.13265758613426e-49,"ENSG00000073282","TP63"
"ENSG00000105967",3174.01346982487,-6.84171310560422,0.447465673503845,-15.2899172176286,8.92635393650459e-53,4.50840382819725e-49,"ENSG00000105967","TFEC"
"ENSG00000189233",896.977412284907,-2.75852326794603,0.185934645388827,-14.8359831605208,8.57384961163128e-50,3.71174198044106e-46,"ENSG00000189233","NUGGC"
"ENSG00000198794",267.48635339937,5.25686216161076,0.359526010626863,14.6216462960357,2.04397388691088e-48,7.74257308361841e-45,"ENSG00000198794","SCAMP5"
"ENSG00000166342",221.501454032662,6.69391098362578,0.469093521143761,14.2698858157419,3.37130160239999e-46,1.13515470843477e-42,"ENSG00000166342","NETO1"
"ENSG00000176871",5582.32996531745,1.15222120188097,0.0810039347590244,14.2242621337923,6.47840535383824e-46,1.78474178038831e-42,"ENSG00000176871","WSB2"
"ENSG00000026652",764.938886022957,2.73199814019051,0.192818582842025,14.1687491937892,1.43025324133957e-45,3.61186618546285e-42,"ENSG00000026652","AGPAT4"
"ENSG00000165449",102.233224364893,6.93758141231566,0.494275998157682,14.0358452325708,9.40681613961282e-45,2.1928012022679e-41,"ENSG00000165449","SLC16A9"
"ENSG00000256084",18.2740960445143,-4.5627251372979,0.330978913302894,-13.7855463109891,3.11400257554101e-43,6.47738914009428e-40,"ENSG00000256084",""
"ENSG00000114541",287.338915856822,4.07039347946805,0.295310411595079,13.7834404736439,3.20620502578584e-43,6.47738914009428e-40,"ENSG00000114541","FRMD4B"
"ENSG00000198046",604.05164750424,5.4465616694614,0.403495621474411,13.4984405767754,1.59721165729446e-41,2.84717070956773e-38,"ENSG00000198046","ZNF667"
"ENSG00000222037",1735.59485171923,6.63671013241517,0.495127550184868,13.4040413019578,5.72583954990972e-41,9.63976898447023e-38,"ENSG00000222037","IGLC6"
"ENSG00000148600",277.7515717991,3.63290620468075,0.274023202348729,13.2576591089444,4.07415658831612e-40,6.49806532907009e-37,"ENSG00000148600","CDHR1"
"ENSG00000185442",368.89948350228,2.99561804536555,0.228411317807758,13.1150158149642,2.70125879506119e-39,4.09294732627671e-36,"ENSG00000185442","FAM174B"
"ENSG00000176834",1610.41590943391,2.10455443623901,0.160665579128264,13.0989751984082,3.33733353451462e-39,4.81593121094909e-36,"ENSG00000176834","VSIG10"
"ENSG00000198142",410.765921647155,5.68426380027921,0.435003492928064,13.0671681783926,5.07186812747563e-39,6.98626780613734e-36,"ENSG00000198142","SOWAHC"
"ENSG00000130529",84.4439432796886,3.92142339083245,0.302785281481568,12.9511691309578,2.31402787581804e-38,3.04888264125173e-35,"ENSG00000130529","TRPM4"
"ENSG00000136378",63.3015111613033,4.05749438222644,0.315142885583838,12.8750943392216,6.21630787672583e-38,7.84912474567915e-35,"ENSG00000136378","ADAMTS7"
"ENSG00000186522",675.859978163903,5.63306728300589,0.437949302919079,12.8623729857762,7.32915921672411e-38,8.8841136361443e-35,"ENSG00000186522","SEPT10"
"ENSG00000177990",80.8774173742704,5.23985926164757,0.409752939269465,12.7878503348616,1.91703386870175e-37,2.23437670604377e-34,"ENSG00000177990","DPY19L2"
