"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000211973",13551.4219313338,11.5251262879175,0.757179737959751,15.221123479839,2.560951030798e-52,7.76070600373026e-48,"ENSG00000211973","IGHV1-69"
"ENSG00000189233",891.796934070409,-3.23153872633321,0.235325725288256,-13.7321949071859,6.51300952928797e-43,9.86851203877714e-39,"ENSG00000189233","NUGGC"
"ENSG00000186522",671.703820935931,6.48378903588375,0.556891616931336,11.6428203240186,2.49622241179899e-31,2.52151746557188e-27,"ENSG00000186522","SEPT10"
"ENSG00000166342",220.1438272319,6.88869159476995,0.599001758730212,11.5002860916016,1.31478904728869e-30,9.96084182225911e-27,"ENSG00000166342","NETO1"
"ENSG00000127329",736.611003940565,-6.74543094293662,0.630838116837956,-10.6928081276188,1.09989440973865e-26,6.66624003854402e-23,"ENSG00000127329","PTPRB"
"ENSG00000129538",38.5469461921268,-5.83284149339107,0.551768995586909,-10.5711657234143,4.05423456064459e-26,2.04765873542956e-22,"ENSG00000129538","RNASE1"
"ENSG00000173662",35.9659551396538,-3.0643640860622,0.291714840975563,-10.504656108048,8.22219265293839e-26,3.55950465935207e-22,"ENSG00000173662","TAS1R1"
"ENSG00000105967",3155.28449718967,-5.79956119081058,0.566598757967918,-10.2357463888739,1.37133634609499e-24,5.19462207900781e-21,"ENSG00000105967","TFEC"
"ENSG00000144290",247.64952508536,5.78839067631428,0.569079053599642,10.171505416867,2.65768899868379e-24,8.05386074161134e-21,"ENSG00000144290","SLC4A10"
"ENSG00000198142",408.221323559171,5.57191817024315,0.551800398046728,10.0977059639078,5.65495363312683e-24,1.55788831725705e-20,"ENSG00000198142","SOWAHC"
"ENSG00000092969",154.983898838988,3.74808852185205,0.371875009005052,10.0788932600769,6.84932386923159e-24,1.72968258777662e-20,"ENSG00000092969","TGFB2"
"ENSG00000177990",80.373941052957,5.24109048206933,0.522718385528994,10.0266044339828,1.16452648443539e-23,2.71460081417924e-20,"ENSG00000177990","DPY19L2"
"ENSG00000075651",210.171373626659,3.57643307663473,0.360297737435109,9.92632677100522,3.1982065035139e-23,6.92274642017752e-20,"ENSG00000075651","PLD1"
"ENSG00000211670",269.845520640869,7.27093603024439,0.737176252134446,9.86322607272259,6.00871311654201e-23,1.21392028189126e-19,"ENSG00000211670","IGLV3-9"
"ENSG00000237916",5.09393427723805,5.89401320498068,0.602882399891078,9.77638956792492,1.42192527133967e-22,2.69312646391733e-19,"ENSG00000237916",""
"ENSG00000139117",154.506768052124,3.61342647758089,0.392705480356022,9.20136503902365,3.53431011921344e-20,5.63703862382337e-17,"ENSG00000139117","CPNE8"
"ENSG00000176871",5549.77067748662,0.943860856219573,0.102666359281951,9.19347742357805,3.8034260894801e-20,5.76295121078025e-17,"ENSG00000176871","WSB2"
"ENSG00000114541",285.609991537929,3.41078893469308,0.373928164652698,9.12150850648277,7.40858175956372e-20,1.0690936268658e-16,"ENSG00000114541","FRMD4B"
