"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000211973",13551.4219313338,-10.5297028086186,0.790158720037099,-13.3260603744577,1.63295994545639e-40,4.85250377391821e-36,"ENSG00000211973","IGHV1-69"
"ENSG00000129538",38.5469461921268,6.11992359411991,0.505458587866774,12.1076656743499,9.61928653891366e-34,1.42923359395179e-29,"ENSG00000129538","RNASE1"
"ENSG00000239951",12131.6224645037,-8.66751484787469,0.718345096379617,-12.0659483743371,1.59810687525421e-33,1.58297813016847e-29,"ENSG00000239951","IGKV3-20"
"ENSG00000173662",35.9659551396538,2.94132523728172,0.266459587187281,11.0385415977336,2.4904243123304e-28,1.85013622163026e-24,"ENSG00000173662","TAS1R1"
"ENSG00000186522",670.155600157642,-6.40085705392748,0.616585207511418,-10.3811395018083,3.0214699887392e-25,1.79572004370748e-21,"ENSG00000186522","SEPT10"
"ENSG00000158528",1460.49016789394,-6.41745196082755,0.648094073705772,-9.90203771519289,4.07878338218514e-23,2.02008544975023e-19,"ENSG00000158528","PPP1R9A"
"ENSG00000198142",406.063358296283,-5.79678898415206,0.618601472242585,-9.37079726489697,7.19866859262222e-21,3.05593765569088e-17,"ENSG00000198142","SOWAHC"
"ENSG00000244437",416.498853381763,-6.91360536711619,0.744117374307962,-9.29101457084768,1.52824532026124e-20,5.67666724211038e-17,"ENSG00000244437","IGKV3-15"
"ENSG00000154217",1910.48429624425,-1.84783346002693,0.203533718956806,-9.0787583968781,1.09820412594489e-19,3.62602597850871e-16,"ENSG00000154217","PITPNC1"
"ENSG00000092969",154.983898838988,-3.19179213345289,0.358253672076918,-8.90930751651194,5.1352293514836e-19,1.52598475408687e-15,"ENSG00000092969","TGFB2"
"ENSG00000050555",155.21424475486,3.20025412385022,0.364894037987477,8.77036561490776,1.78087065666944e-18,4.81094113032628e-15,"ENSG00000050555","LAMC3"
"ENSG00000211956",1222.18911307069,-6.13567549880278,0.716651142007301,-8.56159313667886,1.11318437568335e-17,2.58693788099769e-14,"ENSG00000211956","IGHV4-34"
"ENSG00000222037",412.328574003204,-4.80541739049065,0.561400906842347,-8.55968939829324,1.13172003139622e-17,2.58693788099769e-14,"ENSG00000222037","IGLC6"
"ENSG00000163347",79.374663642636,-5.40748706933831,0.656467136149657,-8.23725480159536,1.76206954562274e-16,3.74011847269467e-13,"ENSG00000163347","CLDN1"
"ENSG00000166342",191.591788703937,-5.69238869668278,0.692414223979033,-8.221074177204,2.01688466340798e-16,3.99558297718876e-13,"ENSG00000166342","NETO1"
"ENSG00000234423",4.82776005690322,2.14353237841702,0.26848731145458,7.98373810219942,1.4196707032541e-15,2.63668341361867e-12,"ENSG00000234423","LINC01250"
"ENSG00000085276",4.56716173095208,4.51569085216433,0.575803542560882,7.84241589081031,4.41959754204696e-15,7.72545650349808e-12,"ENSG00000085276","MECOM"
"ENSG00000164458",210.586296251273,-3.44692983611262,0.469232404709121,-7.34589044047243,2.04393750483874e-13,3.19671825756779e-10,"ENSG00000164458","T"
"ENSG00000246859",24.4214563320922,2.38758014454108,0.326721388945635,7.30769464541656,2.71764495237621e-13,4.03787687024058e-10,"ENSG00000246859","STARD4-AS1"
"ENSG00000154269",78.7791767708506,-2.62471002347396,0.363998522601243,-7.21077108972036,5.56359153625239e-13,7.87274695672743e-10,"ENSG00000154269","ENPP3"
"ENSG00000243290",70.3429927716937,-4.48237868387066,0.630130534628679,-7.11341291612225,1.13207927672836e-12,1.52913035396636e-09,"ENSG00000243290","IGKV1-12"
"ENSG00000005421",17.3446100874244,-5.93874430435147,0.837069042607676,-7.09468873182889,1.29642942223024e-12,1.67498681352147e-09,"ENSG00000005421","PON1"
"ENSG00000180530",837.90753401819,-2.15962587143263,0.308610135934889,-6.99790972480655,2.59809396939484e-12,3.21687334977238e-09,"ENSG00000180530","NRIP1"
"ENSG00000211947",1046.21531614379,5.23965253583952,0.750206432771093,6.98428100181096,2.86318482365801e-12,3.40329600879286e-09,"ENSG00000211947","IGHV3-21"
"ENSG00000134986",32.1836523530881,2.85546466348995,0.410356623903133,6.95849536027959,3.43926066277852e-12,3.82149613220542e-09,"ENSG00000134986","NREP"
"ENSG00000141956",4742.09004286029,0.989370212539951,0.142209095565447,6.95715142977353,3.47221683838829e-12,3.82149613220542e-09,"ENSG00000141956","PRDM15"
"ENSG00000169218",55.1800736989535,-3.47745123056205,0.50230380468485,-6.9230039631968,4.42165393125624e-12,4.69263815075751e-09,"ENSG00000169218","RSPO1"
"ENSG00000186806",133.689040774839,-1.45746628964748,0.211989461196731,-6.87518276342481,6.19104341730272e-12,6.34389814443336e-09,"ENSG00000186806","VSIG10L"
"ENSG00000142611",105.865412421484,-4.23163188843841,0.619355849526736,-6.83231116921217,8.35573563763947e-12,8.27663467360315e-09,"ENSG00000142611","PRDM16"
"ENSG00000099617",21.2193141931294,-3.64715846825095,0.536220142123174,-6.80160661964311,1.03458786608084e-11,9.91735904143816e-09,"ENSG00000099617","EFNA2"
"ENSG00000139117",154.506768052124,-2.78829990157128,0.412481669902938,-6.75981529610128,1.38167767406232e-11,1.28306043007612e-08,"ENSG00000139117","CPNE8"
"ENSG00000187715",43.4429862647714,-3.67028076835944,0.544049078021907,-6.74623102331892,1.51734956506804e-11,1.36635029319885e-08,"ENSG00000187715","KBTBD12"
"ENSG00000243902",3.20163538677274,2.66195606071062,0.399034575330587,6.67099099997858,2.54081805236685e-11,2.22067497776863e-08,"ENSG00000243902",""
"ENSG00000167749",81.8787442021282,-3.6722955375139,0.551635091044246,-6.65711010255393,2.79263989955227e-11,2.3710310644313e-08,"ENSG00000167749","KLK4"
"ENSG00000106537",641.688094253375,-2.79474958359677,0.420520225321991,-6.64593381080979,3.01300644472047e-11,2.48706943086982e-08,"ENSG00000106537","TSPAN13"
"ENSG00000162512",482.572476517099,-2.5223893727943,0.3870803553394,-6.51644894399929,7.19912976104693e-11,5.6297194731387e-08,"ENSG00000162512","SDC3"
"ENSG00000176887",30.1270626730521,5.79638048515792,0.892972369964582,6.49110843752962,8.52071193937884e-11,6.49025751302571e-08,"ENSG00000176887","SOX11"
"ENSG00000104826",128.792898450126,-1.47547717332899,0.227439396140287,-6.48734211560647,8.73638109170239e-11,6.49025751302571e-08,"ENSG00000104826","LHB"
"ENSG00000263413",108.851834487688,-1.99347437223675,0.307623740814075,-6.48023578076697,9.15793938916787e-11,6.60423061692538e-08,"ENSG00000263413","MIR4538"
"ENSG00000165995",1691.7075501478,-1.6155226735294,0.249410763741723,-6.47735746963332,9.33428745157040e-11,6.60423061692538e-08,"ENSG00000165995","CACNB2"
"ENSG00000148482",23.9012312820393,-3.66220653244233,0.570743494177424,-6.41655414350439,1.39393389272099e-10,9.63305571072021e-08,"ENSG00000148482","SLC39A12"
"ENSG00000127124",2701.04596173441,-1.11512842643019,0.175639182341836,-6.34897299999885,2.16757068590541e-10,1.455954164916e-07,"ENSG00000127124","HIVEP3"
"ENSG00000179817",18.7522939104493,2.10929605256988,0.332363541588475,6.34635207727317,2.2048033860957e-10,1.455954164916e-07,"ENSG00000179817","MRGPRX4"
"ENSG00000153291",37.0336812538758,-3.10071446926162,0.496868374888023,-6.24051484452078,4.36133001493901e-10,2.708545201361e-07,"ENSG00000153291","SLC25A27"
"ENSG00000095397",9827.77246852826,-1.17506580972191,0.188422037046075,-6.23635020692706,4.47897788959842e-10,2.71627157076136e-07,"ENSG00000095397","WHRN"
"ENSG00000242371",28.5152929120869,-4.64523370979511,0.753892263894243,-6.16166783009562,7.19827243739208e-10,4.24743924298471e-07,"ENSG00000242371","IGKV1-39"
"ENSG00000259261",72.9059786567014,-4.38027295218292,0.711121333550322,-6.15967029186721,7.28965545134676e-10,4.24743924298471e-07,"ENSG00000259261","IGHV4OR15-8"
"ENSG00000211682",13.7886482430611,-4.52428015734213,0.73790255196075,-6.13127051169595,8.71800227542783e-10,4.98200299262718e-07,"ENSG00000211682","IGLJ6"
"ENSG00000078018",2194.39244635456,-1.26264131028038,0.206262635768198,-6.12152223100341,9.26855840169871e-10,5.19668832952602e-07,"ENSG00000078018","MAP2"
"ENSG00000142949",125.583806404706,-3.36486839544463,0.553658694472093,-6.07751387098326,1.22060125536389e-09,6.65814577152544e-07,"ENSG00000142949","PTPRF"
"ENSG00000019102",34.5998141193527,-2.86869521237846,0.472137023674683,-6.07598021026006,1.2323260783211e-09,6.65814577152544e-07,"ENSG00000019102","VSIG2"
"ENSG00000186417",97.5926008263152,-2.79298759138648,0.460299545519654,-6.06776091476116,1.29705796248714e-09,6.88274543094071e-07,"ENSG00000186417","GLDN"
"ENSG00000177133",22.9026679981839,-4.78186792397924,0.78998027217995,-6.05314853089139,1.42041784889614e-09,7.27743737893065e-07,"ENSG00000177133","LINC00982"
"ENSG00000081913",110.417565947352,-2.16131648864068,0.357536429271176,-6.0450245393076,1.49387263123291e-09,7.52405408639275e-07,"ENSG00000081913","PHLPP1"
"ENSG00000127129",16.5737510223083,-1.46082455721683,0.242197641138977,-6.03153916093916,1.6240535712614e-09,7.91153703665637e-07,"ENSG00000127129","EDN2"
"ENSG00000058866",3348.30531284982,-1.14067659515603,0.189636764199186,-6.01506042339928,1.79819614413576e-09,8.61858009986102e-07,"ENSG00000058866","DGKG"
"ENSG00000136295",2198.48842076873,-0.718554566008395,0.11953269427432,-6.01136425787708,1.83968517633293e-09,8.67747376189035e-07,"ENSG00000136295","TTYH3"
"ENSG00000065534",1239.36283009274,-2.63326442667657,0.439868170808038,-5.98648550050635,2.14423693999558e-09,9.955960142017e-07,"ENSG00000065534","MYLK"
"ENSG00000114631",153.054359555857,1.41306050461119,0.236551135131069,5.97359426674589,2.32082579694329e-09,1.06101014433795e-06,"ENSG00000114631","PODXL2"
"ENSG00000230368",30.4936861884966,-2.74868275725287,0.465246601027276,-5.90801254900886,3.46259648738872e-09,1.5590078366552e-06,"ENSG00000230368","FAM41C"
"ENSG00000241351",82.3020201473698,-3.02343310760015,0.512909808236598,-5.89466814447323,3.75435127014387e-09,1.66484397179419e-06,"ENSG00000241351","IGKV3-11"
"ENSG00000196155",166.869763630674,1.41039702705102,0.239364744862952,5.89225045592466,3.80971160593635e-09,1.66484397179419e-06,"ENSG00000196155","PLEKHG4"
"ENSG00000092345",156.022891076091,-2.30725699358864,0.39192816085365,-5.88693853629515,3.93414937044432e-09,1.69430699553802e-06,"ENSG00000092345","DAZL"
"ENSG00000171246",375.522277189012,-3.05483073907118,0.51956146785612,-5.87963297524045,4.11177167940065e-09,1.745505817501e-06,"ENSG00000171246","NPTX1"
"ENSG00000142549",15.2887191667676,-1.63124982335336,0.28247138694865,-5.77492057151228,7.69893945513746e-09,3.22227725139246e-06,"ENSG00000142549","IGLON5"
"ENSG00000197635",279.709430573994,-1.91689651867307,0.3337085402893,-5.74422373790992,9.23436229096425e-09,3.81122652553186e-06,"ENSG00000197635","DPP4"
"ENSG00000144407",73.4024539998937,-5.12889297151288,0.895953849585653,-5.7245057587339,1.03735289318695e-08,4.22273679095114e-06,"ENSG00000144407","PTH2R"
"ENSG00000141639",59.3893043103878,-3.81765506917633,0.668079451387314,-5.7143728358187,1.10109350680077e-08,4.42163441190426e-06,"ENSG00000141639","MAPK4"
"ENSG00000114541",285.609991537929,-2.48521702168356,0.436469599081736,-5.69390634974823,1.24165206975462e-08,4.9195910539771e-06,"ENSG00000114541","FRMD4B"
"ENSG00000204859",3685.619151075,0.523578936457559,0.0919985564748338,5.69116469344586,1.26175732272082e-08,4.93347113183842e-06,"ENSG00000204859","ZBTB48"
"ENSG00000241294",43.8947373011103,-4.10304559695443,0.726892178516031,-5.64464127999135,1.65526008215091e-08,6.34314700861561e-06,"ENSG00000241294","IGKV2-24"
"ENSG00000075651",210.171373626659,-2.61568330614712,0.465224155315592,-5.62241507939916,1.88306141162445e-08,7.08317125415598e-06,"ENSG00000075651","PLD1"
"ENSG00000164542",130.583484296548,-2.15098325365266,0.382838539564046,-5.61851284905139,1.9260807389201e-08,7.15442690471871e-06,"ENSG00000164542","KIAA0895"
"ENSG00000166897",240.239297037436,1.80258260271118,0.321441958824088,5.6078012008932,2.04913200988704e-08,7.51753170442015e-06,"ENSG00000166897","ELFN2"
"ENSG00000257599",21.3465967694036,-5.1089252216488,0.91706460698995,-5.5709545245865,2.53347455781542e-08,9.18106462927355e-06,"ENSG00000257599","OVCH1-AS1"
"ENSG00000169962",315.145280055433,1.46534073549202,0.263768066635866,5.55541371698695,2.76954996691249e-08,9.91565624298453e-06,"ENSG00000169962","TAS1R3"
