"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000169507",42.0022060839928,5.27535016444389,0.512169687164605,10.3000046598784,7.04578884438139e-25,2.12522128913076e-20,"ENSG00000169507","SLC38A11"
"ENSG00000160183",55.3073992084869,6.19419387568274,0.662518438857438,9.34946638823379,8.80910228082692e-21,1.32854476048291e-16,"ENSG00000160183","TMPRSS3"
"ENSG00000248874",9.38486631855423,-22.7682689866742,2.59872000044004,-8.76133980683525,1.9294321398312e-18,1.93991538779095e-14,"ENSG00000248874","C5orf17"
"ENSG00000211942",549.315176778118,11.0075529719652,1.27490260471824,8.63403442053362,5.92251659047859e-18,4.46602169796515e-14,"ENSG00000211942","IGHV3-13"
"ENSG00000144820",8.48356599262834,8.73545063419104,1.07922079696683,8.09422006946328,5.76324139631066e-16,3.47673300473837e-12,"ENSG00000144820","ADGRG7"
"ENSG00000239951",6717.60423855199,9.09700525262417,1.14172083437355,7.96780174167146,1.61521714696613e-15,8.11996580065657e-12,"ENSG00000239951","IGKV3-20"
"ENSG00000132698",17.9900809447576,2.76143080311685,0.35447019553479,7.79030462335678,6.68478322414649e-15,2.88047309128472e-11,"ENSG00000132698","RAB25"
"ENSG00000096696",31.3471947611623,5.15903532182502,0.692343734403872,7.45155197550404,9.22485357609282e-14,3.4781157301961e-10,"ENSG00000096696","DSP"
"ENSG00000122641",11.7599041193699,4.88208288493392,0.668587424681985,7.30208601703224,2.83340023202143e-13,9.49598346649581e-10,"ENSG00000122641","INHBA"
"ENSG00000211949",5639.17455956036,-9.80614828808839,1.39206658043977,-7.04430982388108,1.86383014469853e-12,5.62187086545417e-09,"ENSG00000211949","IGHV3-23"
"ENSG00000037280",39.9203350412521,4.72721992278813,0.672429922830393,7.03005586498934,2.06450861694049e-12,5.66107031025237e-09,"ENSG00000037280","FLT4"
"ENSG00000141576",95.8612429067989,3.1855881205994,0.458004043219721,6.95537117577619,3.51634977714732e-12,8.83863819400788e-09,"ENSG00000141576","RNF157"
"ENSG00000145555",7.48649893473885,5.46026932261442,0.820628187061334,6.65376769736319,2.85683468684886e-11,6.62851574303247e-08,"ENSG00000145555","MYO10"
"ENSG00000135919",183.503424073489,3.73188141017343,0.562013070496581,6.64020394912885,3.13249409123478e-11,6.74895851956534e-08,"ENSG00000135919","SERPINE2"
"ENSG00000091656",5.85076018060422,2.73459450536531,0.415845356247232,6.57598904083833,4.83308148547243e-11,9.71868245642032e-08,"ENSG00000091656","ZFHX4"
"ENSG00000187678",4.83969648412096,4.74225507754522,0.748302564864616,6.3373497569171,2.33750960969334e-10,4.40664389732377e-07,"ENSG00000187678","SPRY4"
"ENSG00000118193",16.0486136264883,2.1307102073214,0.337823549502883,6.30716896574204,2.84185538870762e-10,5.04228729938753e-07,"ENSG00000118193","KIF14"
"ENSG00000223551",106.866184704378,1.87685408669065,0.30027838849491,6.25038017586958,4.0945476754512e-10,6.86132452970192e-07,"ENSG00000223551","TMSB4XP4"
"ENSG00000241644",5.36516319741422,3.31022232697891,0.532309526348556,6.21860433286962,5.015963736232e-10,7.962974430314e-07,"ENSG00000241644","INMT"
"ENSG00000226434",13.4201324711494,5.06994441716284,0.833412252398121,6.08335718916325,1.17691749750626e-09,1.75827798358525e-06,"ENSG00000226434",""
"ENSG00000224566",7.84057143318889,2.55538837633927,0.420498232407057,6.07704903231451,1.22414340931904e-09,1.75827798358525e-06,"ENSG00000224566","FAM96AP2"
"ENSG00000183111",12.8328529733619,1.95590489984303,0.324153150072267,6.03389138562119,1.60057666059657e-09,2.19446335516246e-06,"ENSG00000183111","ARHGEF37"
"ENSG00000211970",210.949776808519,7.62466112810856,1.27002297004516,6.00356159529732,1.93035486609274e-09,2.48328851437903e-06,"ENSG00000211970","IGHV4-61"
"ENSG00000226995",5.76682762866274,2.21578609387603,0.376195387849438,5.88998739868348,3.86225068362523e-09,4.48065643731492e-06,"ENSG00000226995","LINC00658"
"ENSG00000166813",15.5601482749448,3.18252840229331,0.546173174076619,5.82695846912257,5.64466521965734e-09,6.30592729705646e-06,"ENSG00000166813","KIF7"
"ENSG00000196917",24.6685557382029,2.07357082370719,0.357145913818281,5.80594861505888,6.40025899786405e-09,6.89467900544904e-06,"ENSG00000196917","HCAR1"
"ENSG00000198729",4.07653207207573,3.46676304917885,0.599016017425197,5.78742963181577,7.14716118094024e-09,7.43378698967933e-06,"ENSG00000198729","PPP1R14C"
"ENSG00000178999",47.4913973478496,1.59850244028666,0.278474113694938,5.74021915027186,9.4554109613956e-09,9.50678536095252e-06,"ENSG00000178999","AURKB"
"ENSG00000207973",18.7020244178356,1.53753660061077,0.271425384757748,5.66467503392527,1.47303430802771e-08,1.43326238171096e-05,"ENSG00000207973","MIR589"
"ENSG00000211965",15.119115408796,6.18779064574742,1.09463069688709,5.65285686153721,1.57802715980919e-08,1.48743853816639e-05,"ENSG00000211965","IGHV3-49"
"ENSG00000131187",53.9946947607448,2.24058146672485,0.399202061906779,5.6126500349792,1.9925131703189e-08,1.82121741685845e-05,"ENSG00000131187","F12"
"ENSG00000111879",13.8962894745844,2.62743405755379,0.4723076448015,5.56297169116973,2.65218927900897e-08,2.35288191831611e-05,"ENSG00000111879","FAM184A"
"ENSG00000127329",698.279867096001,-7.36343786604475,1.32569600027667,-5.55439396702412,2.78576550300564e-08,2.40077271049026e-05,"ENSG00000127329","PTPRB"
"ENSG00000226985",19.8435009618321,4.70735239221272,0.850583629870997,5.53426168444678,3.12542059719244e-08,2.61866837425321e-05,"ENSG00000226985","LINC01203"
"ENSG00000175063",19.8080892340413,1.51541799392234,0.275961510196256,5.49141071464862,3.9873588691995e-08,3.1104564244314e-05,"ENSG00000175063","UBE2C"
"ENSG00000158477",15.0647172266808,3.85567485981863,0.702322230752198,5.48989436898379,4.02174188750538e-08,3.1104564244314e-05,"ENSG00000158477","CD1A"
"ENSG00000178233",23.47609391563,2.65270980728757,0.486701125209178,5.45038766069725,5.02601426950342e-08,3.78999171027579e-05,"ENSG00000178233","TMEM151B"
"ENSG00000211896",26096.1450297464,3.16934974666539,0.582456547643567,5.44134967576134,5.28784033066331e-08,3.83235100660841e-05,"ENSG00000211896","IGHG1"
"ENSG00000100167",6.71383951417086,2.5478820081856,0.468384369104136,5.4397246711261,5.33629752602703e-08,3.83235100660841e-05,"ENSG00000100167","SEPT3"
"ENSG00000211967",9.01130793036395,-7.46028005249782,1.37507924558797,-5.42534554021857,5.7842531107709e-08,4.05745178093448e-05,"ENSG00000211967","IGHV3-53"
"ENSG00000177570",513.950742422911,-4.8747557588849,0.899974043715288,-5.41655150270873,6.07594945948132e-08,4.16520144423489e-05,"ENSG00000177570","SAMD12"
"ENSG00000115616",8.37065010516806,1.8400587984772,0.341034657937054,5.39551847782235,6.83259602375538e-08,4.57981319698963e-05,"ENSG00000115616","SLC9A2"
"ENSG00000211947",79.2805726224219,-6.51870538902276,1.21283848765069,-5.37475142436295,7.66884050721556e-08,4.92160077062006e-05,"ENSG00000211947","IGHV3-21"
"ENSG00000137648",14.9026043830257,4.57818686787777,0.854287163665235,5.35907252572485,8.36502719858142e-08,5.21974932709466e-05,"ENSG00000137648","TMPRSS4"
"ENSG00000143494",93.356357499358,1.83069534421544,0.341763424787821,5.35661575065265,8.47951851697903e-08,5.21974932709466e-05,"ENSG00000143494","VASH2"
"ENSG00000127564",13.2480285682169,1.93331360533467,0.363138573296649,5.32390042672593,1.01565517551033e-07,6.12704141178361e-05,"ENSG00000127564","PKMYT1"
"ENSG00000154269",203.312413974025,4.35404313422305,0.819383872939472,5.31380135491717,1.07361652431133e-07,6.34970494564757e-05,"ENSG00000154269","ENPP3"
"ENSG00000124657",4.08307638304338,3.46453247479803,0.657827375809094,5.26662860531889,1.38951915855395e-07,7.90793705272881e-05,"ENSG00000124657","OR2B6"
"ENSG00000101194",3078.11022740411,1.17073008292768,0.224110407065286,5.22389878389999,1.75194568113921e-07,9.78591436670404e-05,"ENSG00000101194","SLC17A9"
"ENSG00000217555",205.493388378832,0.988032466726253,0.189403660615658,5.21654366929683,1.8229261375057e-07,9.99725837919715e-05,"ENSG00000217555","CKLF"
"ENSG00000134909",126.525217842157,4.50827220091068,0.867128448982912,5.19908233457062,2.00274804880872e-07,0.00010787301677896,"ENSG00000134909","ARHGAP32"
"ENSG00000105967",2823.71203809541,-5.73623160000967,1.11189514909582,-5.15896809575462,2.48314615861602e-07,0.000131401995758482,"ENSG00000105967","TFEC"
"ENSG00000160584",13117.6956086612,-0.624373557597338,0.121528119453587,-5.1376879721717,2.78139202049752e-07,0.000144646771576322,"ENSG00000160584","SIK3"
"ENSG00000196562",3019.91007093063,1.70889910026369,0.33374970541409,5.12030144908569,3.05047640335623e-07,0.000155951728397346,"ENSG00000196562","SULF2"
"ENSG00000182463",1038.97223945732,-4.49173954257339,0.879906040604874,-5.1047945295223,3.31154130112714e-07,0.000166407434533656,"ENSG00000182463","TSHZ2"
"ENSG00000170085",2877.4919681866,-0.938690398628489,0.183993931156482,-5.10174652353156,3.36533286030999e-07,0.000166407434533656,"ENSG00000170085","SIMC1"
"ENSG00000213934",12.9884014060901,8.78324969232016,1.73787229004293,5.05402482256231,4.32595347524173e-07,0.000207117039164629,"ENSG00000213934","HBG1"
"ENSG00000183856",11.7770945560614,2.12400675686374,0.423140501399696,5.01962527774532,5.17723724611282e-07,0.000239250106356361,"ENSG00000183856","IQGAP3"
"ENSG00000184661",23.0394089802775,1.46324540845604,0.291628890958399,5.01749124940018,5.23505852187112e-07,0.000239250106356361,"ENSG00000184661","CDCA2"
"ENSG00000105711",74.5883929253206,1.43882346348613,0.287222951173664,5.00943067957051,5.45912851362047e-07,0.000245766706501991,"ENSG00000105711","SCN1B"
"ENSG00000089685",5.41288247360757,2.07373631896992,0.415080087582319,4.9959908485339,5.85344363583103e-07,0.00025964326527584,"ENSG00000089685","BIRC5"
"ENSG00000105427",13.2788581571239,2.69844792518071,0.544950567150716,4.95172973080769,7.35567163362394e-07,0.000321549454326086,"ENSG00000105427","CNFN"
"ENSG00000073734",1.56648557191392,4.41229345263293,0.896221931300997,4.92321521994875,8.5133733672379e-07,0.000358369786007003,"ENSG00000073734","ABCB11"
"ENSG00000165304",13.8283958033576,1.8265711828871,0.371082729402278,4.92227484105566,8.55439597934695e-07,0.000358369786007003,"ENSG00000165304","MELK"
"ENSG00000118257",20.6383113346885,2.94656002785838,0.600504298599611,4.90680921806859,9.25699969985952e-07,0.000377322813441706,"ENSG00000118257","NRP2"
"ENSG00000146670",85.6362263540033,1.1080370809003,0.227692957249848,4.86636518882072,1.1366939631748e-06,0.000448489431556971,"ENSG00000146670","CDCA5"
"ENSG00000240280",2.14469833853649,4.44910397330284,0.9148605003868,4.86315014302375,1.15532142614461e-06,0.000448489431556971,"ENSG00000240280","TCAM1P"
"ENSG00000185304",1390.47049187069,-5.05808815584805,1.04024741948158,-4.86238952495438,1.15977109907648e-06,0.000448489431556971,"ENSG00000185304","RGPD2"
"ENSG00000130707",2.02931121826969,3.81326016393578,0.786815390377785,4.8464483671384,1.2569128028207e-06,0.000479902036347858,"ENSG00000130707","ASS1"
"ENSG00000162512",553.485603499038,3.02234457614017,0.625434579888617,4.83239122575924,1.3490282229706e-06,0.000508634228618279,"ENSG00000162512","SDC3"
"ENSG00000115183",13.5010138728807,2.2813338162787,0.473046827809978,4.82263844118854,1.41671634467465e-06,0.000527560680301499,"ENSG00000115183","TANC1"
"ENSG00000165698",62.3188148635554,1.46308417671768,0.30365942795306,4.81817471165047,1.44877484986771e-06,0.000530549096824356,"ENSG00000165698","SPACA9"
"ENSG00000197181",135.519243817906,1.17585168999471,0.244328566786604,4.81258374924981,1.48991403078088e-06,0.000530549096824356,"ENSG00000197181","PIWIL2"
"ENSG00000128591",7.98346278178807,2.51643517439214,0.526425527724387,4.78023014056727,1.75094642417875e-06,0.000608437513880737,"ENSG00000128591","FLNC"
"ENSG00000119938",2.85498239218346,2.2700029272848,0.474918579364435,4.77977284089971,1.75493365075172e-06,0.000608437513880737,"ENSG00000119938","PPP1R3C"
"ENSG00000138180",15.3507060417884,1.47369377597596,0.309346458235932,4.76389412822049,1.89892163983822e-06,0.000650876970709549,"ENSG00000138180","CEP55"
"ENSG00000133401",141.631930149935,1.23861153575748,0.260363344713112,4.75724237266298,1.96255481282584e-06,0.000665129672126581,"ENSG00000133401","PDZD2"
"ENSG00000143126",152.941430366439,1.87759861229943,0.39523990119505,4.75052899927944,2.02885195375376e-06,0.000679958460900828,"ENSG00000143126","CELSR2"
