"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000166342",223.821752364336,6.31300150968213,0.500606363242732,12.6107096777376,1.84325692173413e-36,5.58562144993094e-32,"ENSG00000166342","NETO1"
"ENSG00000186522",621.286425818546,5.61972343424498,0.485823800018702,11.5674107238646,6.02742905611208e-31,6.46526154030557e-27,"ENSG00000186522","SEPT10"
"ENSG00000075651",194.341155176207,3.63809984459693,0.314653161562962,11.5622542183449,6.40061532551784e-31,6.46526154030557e-27,"ENSG00000075651","PLD1"
"ENSG00000114541",271.551995829649,3.59752617218861,0.313469497054011,11.476479230031,1.73190255943332e-30,1.3120460814627e-26,"ENSG00000114541","FRMD4B"
"ENSG00000198142",383.543924094054,5.43512587242719,0.475998204515625,11.4183747351694,3.38504981951187e-30,2.05154329361337e-26,"ENSG00000198142","SOWAHC"
"ENSG00000065534",1194.01320611297,3.67556820930946,0.32658411051913,11.2545837072932,2.19861785754744e-29,1.11041194895434e-25,"ENSG00000065534","MYLK"
"ENSG00000165449",106.109380364124,5.52507267556084,0.492192190589203,11.2254375042944,3.05868813747693e-29,1.32410609471376e-25,"ENSG00000165449","SLC16A9"
"ENSG00000237916",5.01240936314331,5.4513204454261,0.498121869134499,10.9437484744404,7.1194139193651e-28,2.69674499998151e-24,"ENSG00000237916",""
"ENSG00000136378",67.1457162982188,3.6221136829276,0.332339690098836,10.8988296939508,1.16749219016173e-27,3.93094620427453e-24,"ENSG00000136378","ADAMTS7"
"ENSG00000189233",891.137374406544,-2.32470993889143,0.213840007781226,-10.8712582037959,1.5800663157351e-27,4.78807495657207e-24,"ENSG00000189233","NUGGC"
"ENSG00000211973",13207.7600921525,7.36553257198473,0.682670355124326,10.789296058774,3.86740448573174e-27,1.0653996193739e-23,"ENSG00000211973","IGHV1-69"
"ENSG00000176381",28.1395394442772,3.83846322329846,0.361963430617388,10.604560844037,2.83794089328809e-26,6.17940506222485e-23,"ENSG00000176381","PRR18"
"ENSG00000182195",332.254748834358,4.15009353909343,0.391370414488719,10.6040042513562,2.85488799363587e-26,6.17940506222485e-23,"ENSG00000182195","LDOC1"
"ENSG00000197256",1553.22754530998,3.65196147966881,0.353607975918306,10.3277124057646,5.28048614964168e-25,1.0000910737037e-21,"ENSG00000197256","KANK2"
"ENSG00000153404",88.5660163571987,4.28752835917935,0.41539967437277,10.3214533464747,5.63634439073635e-25,1.00469496513226e-21,"ENSG00000153404","PLEKHG4B"
"ENSG00000198185",52.5062481367052,4.62327350598294,0.45442932317026,10.1738010076668,2.59577000777228e-24,4.36997880808464e-21,"ENSG00000198185","ZNF334"
"ENSG00000176871",5454.6731457125,0.904631927456716,0.0895095582845004,10.1065399583517,5.16772057485196e-24,7.82987182898694e-21,"ENSG00000176871","WSB2"
"ENSG00000141639",56.3011602984639,4.93182906794694,0.492140530378842,10.0211804627237,1.23024666683084e-23,1.69455294295341e-20,"ENSG00000141639","MAPK4"
"ENSG00000222037",1936.3566812746,4.76288951390026,0.487598513164118,9.76805586012347,1.54386101490685e-22,2.03407044933574e-19,"ENSG00000222037","IGLC6"
"ENSG00000176834",1603.08848535447,1.72402570553903,0.176850878178177,9.7484712730806,1.8726693494512e-22,2.36447913735082e-19,"ENSG00000176834","VSIG10"
"ENSG00000073282",148.296492081949,4.3110265773539,0.450098564250257,9.57796118397959,9.89794596874446e-22,1.19974982676345e-18,"ENSG00000073282","TP63"
"ENSG00000158528",1456.02651211045,5.10666684171551,0.534408148477199,9.55574284611303,1.22700466129966e-21,1.43007393274475e-18,"ENSG00000158528","PPP1R9A"
"ENSG00000139117",139.292828194482,2.93255661486835,0.311446363891139,9.41592824597361,4.68920494077619e-21,5.26285101186448e-18,"ENSG00000139117","CPNE8"
"ENSG00000077782",1035.70914248399,2.5402233919611,0.270247256319334,9.39962694370326,5.4756867920412e-21,5.92606203068659e-18,"ENSG00000077782","FGFR1"
"ENSG00000153944",20192.9810706639,0.998487722076902,0.106487915846058,9.37653548896895,6.81760972617702e-21,7.12393198387387e-18,"ENSG00000153944","MSI2"
"ENSG00000074211",9.83798476331892,4.75557812575531,0.508818298109825,9.34631899721667,9.07511821731567e-21,9.16677691131056e-18,"ENSG00000074211","PPP2R2C"
"ENSG00000152767",1710.87275491031,2.23386550860855,0.239594524156084,9.32352488637551,1.12538060833387e-20,1.10007769594649e-17,"ENSG00000152767","FARP1"
"ENSG00000171659",155.619207524658,-2.5657000674268,0.275964165340969,-9.29722184855681,1.44163202268134e-20,1.36518047447852e-17,"ENSG00000171659","GPR34"
"ENSG00000102780",891.564700221348,2.50809721687532,0.270125989357602,9.28491635640069,1.61834236933481e-20,1.48607966115009e-17,"ENSG00000102780","DGKH"
"ENSG00000180712",886.502973284487,3.01009571165438,0.325699095644385,9.24195293112193,2.42038581809982e-20,2.15720445429055e-17,"ENSG00000180712","LINC02363"
"ENSG00000005421",17.2569245449307,5.58165803263798,0.606807542629018,9.19839922960618,3.6332166730416e-20,3.14563899551942e-17,"ENSG00000005421","PON1"
"ENSG00000203709",6872.53915996483,-1.26660210923586,0.13807181168264,-9.17350249699888,4.57894273567635e-20,3.85432504775557e-17,"ENSG00000203709","C1orf132"
"ENSG00000173404",40.6514976544636,3.32186353722977,0.362742502294941,9.15763528181434,5.30469566092334e-20,4.34454574629621e-17,"ENSG00000173404","INSM1"
"ENSG00000227765",41.5897444521634,2.52048518222125,0.276501950182979,9.11561448500917,7.82259007684506e-20,6.23810387101673e-17,"ENSG00000227765","MYL12BP2"
"ENSG00000235098",11.9476942840678,2.8762764429065,0.318046156710232,9.04358182679455,1.51620419673639e-19,1.17809066086418e-16,"ENSG00000235098","ANKRD65"
"ENSG00000163362",22.8253350424959,3.90290563231359,0.433764802796325,8.99774626053791,2.30398575860916e-19,1.74544201107833e-16,"ENSG00000163362","C1orf106"
"ENSG00000224124",57.8613323462932,2.12341198245208,0.236706033001486,8.97067115496271,2.94713104105184e-19,2.17821736431693e-16,"ENSG00000224124","POM121L10P"
"ENSG00000074803",46.1557620944972,2.4162333657929,0.274674645907757,8.7967105875667,1.40885045597372e-18,9.70281712894808e-16,"ENSG00000074803","SLC12A1"
"ENSG00000177556",1910.54272407522,0.788260632635207,0.0896605507694817,8.79161042253503,1.47431223589555e-18,9.92801859652064e-16,"ENSG00000177556","ATOX1"
"ENSG00000164484",21.428731458277,-2.41567442553195,0.274931799542767,-8.78644969243065,1.54360762155875e-18,1.01686829904554e-15,"ENSG00000164484","TMEM200A"
"ENSG00000197421",16.4321464291469,3.12469521182009,0.355811067698194,8.78189436892535,1.60744019333294e-18,1.01902868825381e-15,"ENSG00000197421","GGT3P"
"ENSG00000026652",743.025295816803,1.90696483913808,0.217781075980473,8.75633858705458,2.01695228789004e-18,1.22239410359863e-15,"ENSG00000026652","AGPAT4"
