"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000197561",4.30682422084293,-18.3162444360677,1.9574095573784,-9.35738990699475,8.17307072990796e-21,2.46352697940886e-16,"ENSG00000197561","ELANE"
"ENSG00000133048",2.63643539426494,-17.8216799494627,2.17643951618629,-8.1884563374824,2.64597889098799e-16,3.987754786608e-12,"ENSG00000133048","CHI3L1"
"ENSG00000064692",93.540740345206,-20.9689753058364,2.72705115864126,-7.68924896747594,1.48001215691153e-14,1.48701754778758e-10,"ENSG00000064692","SNCAIP"
"ENSG00000196415",2.12337933914763,-16.8567308575901,2.34460957105496,-7.18956838942078,6.49964576573969e-13,4.89780806677314e-09,"ENSG00000196415","PRTN3"
"ENSG00000256377",1.65221980410688,-18.1814954888831,2.61112919833467,-6.96307769852175,3.32918080010153e-12,2.0069633535332e-08,"ENSG00000256377",""
"ENSG00000105143",11.0734906440437,-20.5684806835507,3.12275266576277,-6.58665058845656,4.49859268284937e-11,2.25994301077409e-07,"ENSG00000105143","SLC1A6"
"ENSG00000185306",3.79998884455327,-14.1569028743566,2.17775598017665,-6.50068373280655,7.99557690129743e-11,3.44289541369867e-07,"ENSG00000185306","C12orf56"
"ENSG00000156535",18.753724629952,4.62134887022381,0.726955436865705,6.35712814825201,2.05560502052265e-10,7.7450058160742e-07,"ENSG00000156535","CD109"
"ENSG00000239839",17.8085379775468,-19.5899337641189,3.20360122732304,-6.1149726117718,9.65735481875427e-10,3.13794174358924e-06,"ENSG00000239839","DEFA3"
"ENSG00000096006",4.89779160395323,-18.0767569939284,2.96195313062354,-6.10298549529138,1.04105293065796e-09,3.13794174358924e-06,"ENSG00000096006","CRISP3"
"ENSG00000224607",7.74457121866653,9.11537354639936,1.54621785594637,5.89527116851217,3.74066568427347e-09,1.02501040959428e-05,"ENSG00000224607","IGKV1D-27"
"ENSG00000086548",1.03891287779737,-16.4332139572042,2.87589138116524,-5.71412886621116,1.10267417308171e-08,2.7697337437524e-05,"ENSG00000086548","CEACAM6"
"ENSG00000233797",12.9657312326009,3.0214569283205,0.53265996827241,5.67239347480922,1.40816083801779e-08,3.26498338304094e-05,"ENSG00000233797","UFL1-AS1"
"ENSG00000066651",2650.05823228803,1.33151315058699,0.237747238503948,5.60054097353848,2.13683890599323e-08,4.60061416460343e-05,"ENSG00000066651","TRMT11"
"ENSG00000239908",36.8619069717869,2.34628843255521,0.449918926155147,5.21491383482307,1.8390269937086e-07,0.000346449697777279,"ENSG00000239908","RN7SL75P"
"ENSG00000118113",5.05565032915855,-17.4571419286456,3.35610030538412,-5.2016150711108,1.97564087800088e-07,0.000350292749086485,"ENSG00000118113","MMP8"
"ENSG00000074966",311.258169662624,1.82024974887911,0.3541525811537,5.13973311432434,2.751289677724e-07,0.000460718741477538,"ENSG00000074966","TXK"
"ENSG00000108239",1879.64679998016,-1.61126196844298,0.315892378804614,-5.1006674315482,3.38457820370399e-07,0.000536936611663398,"ENSG00000108239","TBC1D12"
"ENSG00000185515",1235.66562651162,0.820434776873189,0.165041370351181,4.97108558373843,6.65790494358741e-07,0.00100341285404806,"ENSG00000185515","BRCC3"
"ENSG00000129048",80.5423201675194,1.63393125473773,0.336037227259685,4.86235191279879,1.15999156033646e-06,0.00158929389143916,"ENSG00000129048","ACKR4"
"ENSG00000182022",10292.6253250303,1.80820494525875,0.375095270802497,4.82065514019996,1.43087528977701e-06,0.00187519317323733,"ENSG00000182022","CHST15"
"ENSG00000255733",289.525523185654,-4.39423300717738,0.947196547998449,-4.63919871378646,3.49762627529728e-06,0.00439272713291711,"ENSG00000255733","IFNG-AS1"
"ENSG00000139974",377.275196307886,1.03227903160033,0.226715632096803,4.55318860042064,5.28388625494704e-06,0.00604103752785372,"ENSG00000139974","SLC38A6"
"ENSG00000146166",37.4892421749832,-22.4465796359522,4.93529404980339,-4.54817472058153,5.41132019282233e-06,0.00604103752785372,"ENSG00000146166","LGSN"
"ENSG00000197928",704.977302354148,-4.26410413957565,0.968202801999184,-4.40414356452073,1.0620259779607e-05,0.0114327096527469,"ENSG00000197928","ZNF677"
"ENSG00000247627",56.7620120370072,2.02474373137693,0.460757941174409,4.39437620156071,1.11091289548785e-05,0.0115465987916534,"ENSG00000247627","MTND4P12"
"ENSG00000170801",476.720300636403,-6.41777687238503,1.47868540941984,-4.34019084215014,1.42359025643215e-05,0.0143032858364592,"ENSG00000170801","HTRA3"
"ENSG00000262497",5.50837378039252,2.19559042978225,0.517817609724915,4.24008451730452,2.23435642934344e-05,0.0210462410916469,"ENSG00000262497","FAM187B2P"
"ENSG00000232216",4.6363981149131,6.39264083638225,1.53314106150771,4.1696364391256,3.05085928334231e-05,0.0278663637934861,"ENSG00000232216","IGHV3-43"
"ENSG00000128271",188.166290223935,-1.34182483245261,0.322441514388657,-4.1614518372322,3.16230697409163e-05,0.0280347814156088,"ENSG00000128271","ADORA2A"
"ENSG00000146350",826.146598731235,1.05933520621527,0.255557831599034,4.14518780186453,3.39535316885202e-05,0.0292407814901536,"ENSG00000146350","TBC1D32"
"ENSG00000187627",48.7589741393412,4.36094783358114,1.07797539281589,4.04549849898655,5.22119002647301e-05,0.0437158638272082,"ENSG00000187627","RGPD1"
"ENSG00000165476",818.425798451747,0.968297610350118,0.240306376358574,4.02942953500854,5.59123723595254e-05,0.0455489385854274,"ENSG00000165476","REEP3"
