"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000090530",100.237094558705,-24.4508312173189,2.07173065562568,-11.8021284045414,3.8056224008895e-32,1.06363340482461e-27,"ENSG00000090530","P3H2"
"ENSG00000157152",5.91078059813863,-20.374596947472,1.85353537053573,-10.9922892604866,4.16232650011703e-28,5.81664316758854e-24,"ENSG00000157152","SYN2"
"ENSG00000175161",19.7326351227281,-25.3761511060981,2.32953683976962,-10.8932173438423,1.24174428134492e-27,1.15685036397697e-23,"ENSG00000175161","CADM2"
"ENSG00000214652",18.7158440914319,-21.3568202668678,2.23875360020771,-9.5396028687062,1.4338031323553e-21,1.00183409365496e-17,"ENSG00000214652","ZNF727"
"ENSG00000211891",167.759662377565,7.16176128113932,0.794370662703785,9.01564171159464,1.95721201283897e-19,1.09404237093673e-15,"ENSG00000211891","IGHE"
"ENSG00000240671",432.908849730911,11.97926543411,1.34432166387238,8.91101122301571,5.0569196832865e-19,2.35559747046957e-15,"ENSG00000240671","IGKV1-8"
"ENSG00000211945",1190.75835954823,10.9220599842546,1.23657314777718,8.83252236544815,1.02341251866741e-18,4.08619378346222e-15,"ENSG00000211945","IGHV1-18"
"ENSG00000211670",73.4760877562331,9.11488159763133,1.13806765125458,8.00908591645086,1.15564156507815e-15,4.03737826279616e-12,"ENSG00000211670","IGLV3-9"
"ENSG00000211658",2002.44012994391,13.8677800375113,1.77862559846296,7.7969079324482,6.34424919121703e-15,1.86358561147445e-11,"ENSG00000211658","IGLV3-27"
"ENSG00000244586",1.99354071040615,-19.1100073726318,2.45294892754976,-7.7906258699486,6.66780783382036e-15,1.86358561147445e-11,"ENSG00000244586","WNT5A-AS1"
"ENSG00000176887",40.8330500430271,-22.9696011152324,3.13472694741121,-7.32746472039666,2.34547385894459e-13,5.95942262578566e-10,"ENSG00000176887","SOX11"
"ENSG00000211964",337.046436633904,9.11903008671807,1.25470890822782,7.26784517661392,3.65267077832131e-13,8.50737463194187e-10,"ENSG00000211964","IGHV3-48"
"ENSG00000267251",14.2483822013517,6.48071540224615,0.954518319112208,6.78951390715459,1.12511985768047e-11,2.41892114633166e-08,"ENSG00000267251",""
"ENSG00000101198",5.55877373012363,4.97103895052325,0.753946503852667,6.59335765219579,4.29989026812537e-11,8.58411665027399e-08,"ENSG00000101198","NKAIN4"
"ENSG00000196433",89.606276140428,3.33799795763459,0.509403744142996,6.55275505139903,5.6485128723102e-11,1.05246857512132e-07,"ENSG00000196433","ASMT"
"ENSG00000175175",7.70746556342898,3.39066518548833,0.536260400014216,6.32279613672471,2.56872099290209e-10,4.48707393941378e-07,"ENSG00000175175","PPM1E"
"ENSG00000135919",146.444337549305,3.66678901777452,0.600129081610574,6.11000054843853,9.96307977074684e-10,1.63798892066237e-06,"ENSG00000135919","SERPINE2"
"ENSG00000204583",16.6064451857089,4.59758867431031,0.762268671629983,6.03145432237054,1.6249065616508e-09,2.39023755218833e-06,"ENSG00000204583","LRCOL1"
"ENSG00000211934",119.832529125662,6.58729596983374,1.09631211087505,6.00859545789013,1.87137421269756e-09,2.6151518935342e-06,"ENSG00000211934","IGHV1-2"
"ENSG00000037280",24.124668484798,4.31148307645882,0.720830799120096,5.9812692267336,2.21405572532526e-09,2.94669730795789e-06,"ENSG00000037280","FLT4"
"ENSG00000211714",17.8074486748528,4.23232802036427,0.711475028121862,5.94866699894821,2.70334983948335e-09,3.43436021198727e-06,"ENSG00000211714","TRBV7-3"
"ENSG00000211890",4914.41134030403,5.01037083512019,0.845491121955355,5.92598870054694,3.10423933044839e-09,3.77219065420444e-06,"ENSG00000211890","IGHA2"
"ENSG00000182621",22.0327840006878,4.03824880853407,0.683378889109297,5.90923845159667,3.43692896851644e-09,3.84234910964264e-06,"ENSG00000182621","PLCB1"
"ENSG00000180287",249.138331642868,-8.4268169207422,1.43458550059226,-5.87404300215167,4.25292973853785e-09,4.57173589470748e-06,"ENSG00000180287","PLD5"
"ENSG00000198722",25.9989332025607,4.7557638884093,0.813510439279763,5.84597770204374,5.03601506428367e-09,5.21302166783941e-06,"ENSG00000198722","UNC13B"
"ENSG00000259781",387.23899837836,1.21607762596762,0.211637043158284,5.74605280729664,9.13507879376674e-09,9.11843990024953e-06,"ENSG00000259781","HMGB1P6"
"ENSG00000104059",10.6734102709477,4.4222396344319,0.785805207195103,5.62765376704093,1.82677296435951e-08,1.70608766884657e-05,"ENSG00000104059","FAM189A1"
