"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000211653",1757.18957033647,10.3937739280273,0.877900224749206,11.8393567230223,2.44319673846423e-32,5.95382613196348e-28,"ENSG00000211653","IGLV1-40"
"ENSG00000211640",395.262385803032,6.91065417921884,0.596535249989129,11.5846535126714,4.92955836545548e-31,6.00642039038923e-27,"ENSG00000211640","IGLV6-57"
"ENSG00000176406",9.65960706286778,-19.9910494650294,1.9872188424306,-10.0598127585073,8.3156351781615e-24,6.75479045522058e-20,"ENSG00000176406","RIMS2"
"ENSG00000211933",108.68338761775,6.89593818486478,0.823869218308871,8.37018549985379,5.75276013088871e-17,3.50472529074067e-13,"ENSG00000211933","IGHV6-1"
"ENSG00000266903",6.84391141881694,6.1993371871808,0.855602454260069,7.24558135184644,4.30588230032005e-13,2.09860091552998e-09,"ENSG00000266903",""
"ENSG00000137726",74.5601452003614,5.31047946504841,0.83222789837512,6.38103994761151,1.75889413930552e-10,6.12321304010516e-07,"ENSG00000137726","FXYD6"
"ENSG00000244116",29.3418955900326,8.08829794310638,1.36195286945813,5.93875024935659,2.87202997648677e-09,8.74856231212577e-06,"ENSG00000244116","IGKV2-28"
"ENSG00000214688",5.7366036336656,3.16572096327292,0.537986305137096,5.88438949661775,3.99525963364366e-09,9.97807798816984e-06,"ENSG00000214688","C10orf105"
"ENSG00000237547",26.6180582893964,-22.566325250693,3.83759728246126,-5.88032656626751,4.09457835289501e-09,9.97807798816984e-06,"ENSG00000237547","IGHJ2P"
"ENSG00000064692",38.8410814437254,9.67898664038497,1.71188494228278,5.65399367756465,1.56761979390214e-08,3.18344389646676e-05,"ENSG00000064692","SNCAIP"
"ENSG00000128833",892.293805542547,2.45803652243662,0.451390417076117,5.44547786007191,5.16664898411106e-08,9.68508223798479e-05,"ENSG00000128833","MYO5C"
"ENSG00000114646",28.6573261267924,1.73779034579752,0.319985297368834,5.43084435468434,5.60880376198327e-08,9.76292420541216e-05,"ENSG00000114646","CSPG5"
"ENSG00000204388",15739.4383178294,-5.9823016158257,1.12724121930135,-5.30702880039594,1.11426577809065e-07,0.000181023618308608,"ENSG00000204388","HSPA1B"
"ENSG00000116285",166.237954485263,-2.24600126770231,0.429898458171177,-5.22449249354599,1.74633411551461e-07,0.000250331859182209,"ENSG00000116285","ERRFI1"
"ENSG00000211961",11.2911353296176,9.54524598285649,1.84653003427127,5.16928823560863,2.34987235852758e-07,0.000318133552805325,"ENSG00000211961","IGHV1-45"
"ENSG00000166341",135.928220513681,2.70304258175248,0.5263542382169,5.13540575052539,2.81535945825253e-07,0.000361092077042926,"ENSG00000166341","DCHS1"
"ENSG00000080007",322.747653047333,-5.45240650347453,1.12393022047106,-4.85119663495598,1.22718804156553e-06,0.00149526726924552,"ENSG00000080007","DDX43"
"ENSG00000186510",53.7185919156858,-2.60225310298911,0.538519428453798,-4.83223624904439,1.35007908499109e-06,0.0015666703439118,"ENSG00000186510","CLCNKA"
"ENSG00000108448",122.090613388844,0.933073458577927,0.194566595869233,4.79565083826125,1.62147502856967e-06,0.00179607840778247,"ENSG00000108448","TRIM16L"
"ENSG00000163518",21.2366193440378,4.34620537918467,0.919386130161011,4.72729056552498,2.27535553665708e-06,0.00241078865533897,"ENSG00000163518","FCRL4"
"ENSG00000166897",261.365218528784,3.03297980810811,0.648947939216052,4.67368740206193,2.95839508709136e-06,0.00288372519509318,"ENSG00000166897","ELFN2"
"ENSG00000049323",14.4866020633777,4.81134305399543,1.04087127702302,4.6224188909855,3.7929113066802e-06,0.00355497906278807,"ENSG00000049323","LTBP1"
"ENSG00000253497",3.3620420305458,-16.8129122147084,3.70481211679149,-4.53812816539507,5.67557639432773e-06,0.00503183158803842,"ENSG00000253497","IGKV1-13"
"ENSG00000082438",9667.23084235984,-3.15937598108728,0.69706860131636,-4.53237453978138,5.83243173424944e-06,0.00503183158803842,"ENSG00000082438","COBLL1"
"ENSG00000108821",120.616191283459,-3.36709222493187,0.744644603067143,-4.52174394477987,6.13322237269076e-06,0.00503183158803842,"ENSG00000108821","COL1A1"
"ENSG00000068028",8548.03170204068,-0.699571611431216,0.154784879709384,-4.51963791776494,6.19454830486079e-06,0.00503183158803842,"ENSG00000068028","RASSF1"
"ENSG00000163393",2771.79548953731,-0.886528599897941,0.196462715670083,-4.51245213054408,6.40824008135215e-06,0.00503749685620872,"ENSG00000163393","SLC22A15"
"ENSG00000182979",6918.00878591335,0.699583337116949,0.155842709518013,4.48903474073703,7.15466296866572e-06,0.00544849943385672,"ENSG00000182979","MTA1"
"ENSG00000144820",23.0645425555942,10.6166263742145,2.37366826498087,4.47266643399305,7.72502318811073e-06,0.00558157207138589,"ENSG00000144820","ADGRG7"
"ENSG00000204389",7739.59616042677,-5.62364183986508,1.25967546075979,-4.46435769771454,8.03093022283448e-06,0.00558157207138589,"ENSG00000204389","HSPA1A"
"ENSG00000164136",890.451857735718,-3.83980353780763,0.861341244099691,-4.45793530045243,8.27528693688241e-06,0.00558157207138589,"ENSG00000164136","IL15"
"ENSG00000091129",601.557290335758,-5.63626142012515,1.26577092337298,-4.45282895668503,8.47462623174024e-06,0.00558157207138589,"ENSG00000091129","NRCAM"
"ENSG00000197217",22972.5852306613,-0.918359174264143,0.207628062928103,-4.42309753947929,9.72957882126177e-06,0.0060274094000685,"ENSG00000197217","ENTPD4"
"ENSG00000158050",16436.1303022114,-1.798637539588,0.406978848573057,-4.41948653079725,9.89356871446264e-06,0.0060274094000685,"ENSG00000158050","DUSP2"
"ENSG00000204852",5170.10524289615,1.60350240059945,0.363276759328038,4.41399665523743,1.014795270151e-05,0.00603159657031944,"ENSG00000204852","TCTN1"
"ENSG00000103723",84.635266723384,-2.58123765928242,0.594196857151861,-4.34407827677675,1.39861642461459e-05,0.00792625201196115,"ENSG00000103723","AP3B2"
"ENSG00000087128",11.5097225560745,6.91391871137874,1.5957720089617,4.33264819319479,1.47326430530208e-05,0.00815954042179692,"ENSG00000087128","TMPRSS11E"
"ENSG00000079931",45.9695814808126,-3.45905838600111,0.813517832336894,-4.2519761073518,2.11892471129365e-05,0.0114746836198922,"ENSG00000079931","MOXD1"
"ENSG00000130066",47917.9955584308,-1.26468232726105,0.2985369932847,-4.2362667130334,2.272668062982e-05,0.0120397060927844,"ENSG00000130066","SAT1"
"ENSG00000136826",13630.7676196528,-2.87465794689237,0.679378527271721,-4.23130527606834,2.32339083475429e-05,0.0120465343089633,"ENSG00000136826","KLF4"
"ENSG00000168398",406.817916866523,-12.5669587593447,2.97545168553443,-4.2235465695648,2.40487649808149e-05,0.0122092573711975,"ENSG00000168398","BDKRB2"
"ENSG00000148408",23.2452973678872,3.07327575866137,0.731644115883582,4.20050635540187,2.66318691814336e-05,0.0131703317951742,"ENSG00000148408","CACNA1B"
"ENSG00000173110",2438.60083944214,-5.70932317376745,1.36316213962644,-4.18829353295567,2.81059844886991e-05,0.0131703317951742,"ENSG00000173110","HSPA6"
"ENSG00000166800",30.93610448289,2.11077530320117,0.50428802849591,4.1856541974569,2.84345959584614e-05,0.0131703317951742,"ENSG00000166800","LDHAL6A"
"ENSG00000253818",10.389220525336,5.33444534813539,1.27459620240046,4.18520417532155,2.8490989356737e-05,0.0131703317951742,"ENSG00000253818","IGLV1-41"
"ENSG00000156886",131.073859430801,-3.60336217593743,0.861667691881169,-4.18184667928151,2.89150938731214e-05,0.0131703317951742,"ENSG00000156886","ITGAD"
"ENSG00000176490",636.77787704705,-2.75859529140634,0.659992419666029,-4.17973784123498,2.91845343239119e-05,0.0131703317951742,"ENSG00000176490","DIRAS1"
"ENSG00000136052",152.988190850081,-1.39282403808774,0.334032778137618,-4.16972264175198,3.04970559305628e-05,0.0135124137449433,"ENSG00000136052","SLC41A2"
"ENSG00000224660",8096.99722227871,0.846006357519199,0.20426674026092,4.14167454005754,3.44779352177162e-05,0.0147402246196583,"ENSG00000224660","SH3BP5-AS1"
"ENSG00000107159",4.08624858635633,2.79948757806624,0.678064297315886,4.12864619055744,3.64905401634533e-05,0.0153316891938482,"ENSG00000107159","CA9"
"ENSG00000165899",57.1564262709806,3.54114455315586,0.864773162633977,4.09488257287037,4.22382413267947e-05,0.0174458254727569,"ENSG00000165899","OTOGL"
"ENSG00000161513",465.133331742876,1.10058663377377,0.269524838945271,4.08343304491225,4.43752189512332e-05,0.0180229951770434,"ENSG00000161513","FDXR"
"ENSG00000186281",477.022315562408,-4.24285521540178,1.04088360999351,-4.07620523050435,4.57766201298977e-05,0.0182873845236963,"ENSG00000186281","GPAT2"
"ENSG00000143367",489.816643308806,-2.64898130908418,0.650623654558791,-4.07144943243808,4.67215057269807e-05,0.0182943513361548,"ENSG00000143367","TUFT1"
"ENSG00000100302",69.959083839879,-3.06356114353956,0.752975861324159,-4.06860472014612,4.72955038851718e-05,0.0182943513361548,"ENSG00000100302","RASD2"
"ENSG00000162772",2367.28608173523,-3.2259069753223,0.793785946987071,-4.0639507257173,4.82490157160781e-05,0.0183715666247673,"ENSG00000162772","ATF3"
"ENSG00000064300",377.818765985115,-2.3575723035622,0.581550360505139,-4.05394349943209,5.03613848438513e-05,0.0188808705732279,"ENSG00000064300","NGFR"
"ENSG00000129422",13.0029871822125,3.4405757501299,0.850275340435511,4.04642541834465,5.2005683687865e-05,0.0192019167543876,"ENSG00000129422","MTUS1"
"ENSG00000105376",28.038536013708,2.53105310391261,0.627409382757657,4.03413333219191,5.48041942546272e-05,0.0199331852207614,"ENSG00000105376","ICAM5"
"ENSG00000123066",13319.2421220023,-0.889813852037147,0.221380593594426,-4.01938506709086,5.83502376373496e-05,0.0207546751033943,"ENSG00000123066","MED13L"
"ENSG00000183833",26.9540666005849,-3.70280850532113,0.921621374471475,-4.01771118583766,5.87661611939024e-05,0.0207546751033943,"ENSG00000183833","MAATS1"
"ENSG00000175161",3.4256872053729,6.14242814529614,1.5340139671636,4.00415398867164,6.22398146855351e-05,0.0216674577724543,"ENSG00000175161","CADM2"
"ENSG00000206869",24.4112558344162,-3.48837718718881,0.875837893836341,-3.98290278570733,6.80786083035485e-05,0.0230690505502796,"ENSG00000206869","SNORA70F"
"ENSG00000138435",128.136934201612,-3.11105320888705,0.781979505745775,-3.97843317635291,6.93709017537519e-05,0.0230690505502796,"ENSG00000138435","CHRNA1"
"ENSG00000177103",62.5400526446737,3.20967620163152,0.807240832949682,3.97610734073408,7.00525151102093e-05,0.0230690505502796,"ENSG00000177103","DSCAML1"
"ENSG00000253649",61.2129977636458,-1.27407395280932,0.322423298658652,-3.95155672096197,7.76444636020493e-05,0.0250870317695852,"ENSG00000253649","PRSS51"
"ENSG00000105967",2596.53540020118,-5.4115328894814,1.3709935241429,-3.94716152497109,7.90832055133207e-05,0.0250870317695852,"ENSG00000105967","TFEC"
"ENSG00000163600",679.064257498694,3.0541569441074,0.773895889342361,3.94647004353875,7.93118396566978e-05,0.0250870317695852,"ENSG00000163600","ICOS"
"ENSG00000176845",2408.22050969346,-2.33947076885462,0.594143132406547,-3.93755417045504,8.23163527965374e-05,0.0253919898898585,"ENSG00000176845","METRNL"
"ENSG00000232810",2440.82210583484,-3.39343074758229,0.863793560837157,-3.92852054175248,8.54700511276584e-05,0.0260352459491238,"ENSG00000232810","TNF"
"ENSG00000188735",1184.88177027626,0.685782074828068,0.175585032461555,3.90569779903206,9.395386929745e-05,0.0279231348403099,"ENSG00000188735","TMEM120B"
"ENSG00000162746",208.87072196925,1.13323651603876,0.291913841723471,3.88209243298667,0.000103561495517235,0.0304059046296326,"ENSG00000162746","FCRLB"
"ENSG00000184545",2475.2576817369,-2.07018935689082,0.537915222146127,-3.84854205953005,0.000118822897949245,0.0344713714300613,"ENSG00000184545","DUSP8"
"ENSG00000070087",574.45182585035,1.23319014881144,0.321013300085706,3.84155469098069,0.00012225748771151,0.0345703261238318,"ENSG00000070087","PFN2"
"ENSG00000166793",38.8858834612768,-2.2396038991953,0.583180682573284,-3.8403259334878,0.000122871068733046,0.0345703261238318,"ENSG00000166793","YPEL4"
"ENSG00000183010",75.2735228443274,1.81808276665812,0.473743150918428,3.83769720603554,0.000124193487998681,0.0345703261238318,"ENSG00000183010","PYCR1"
"ENSG00000173641",15.5631649607101,-2.36369955084205,0.616120414767094,-3.83642465691642,0.000124838470962994,0.0345703261238318,"ENSG00000173641","HSPB7"
"ENSG00000137731",7.70550290862541,2.85472107895521,0.745224803719262,3.83068446555709,0.000127787290668393,0.0347805871400205,"ENSG00000137731","FXYD2"
"ENSG00000133246",273.835333793549,1.50584434449543,0.393231698663487,3.82940731790821,0.00012845224845508,0.0347805871400205,"ENSG00000133246","PRAM1"
"ENSG00000203761",901.28607304348,0.710836731049655,0.185864513617488,3.82448869455827,0.000131043758784921,0.0350301678154125,"ENSG00000203761","MSTO2P"
"ENSG00000227196",35.2628353427641,9.07339342353152,2.37520505651416,3.82004635711225,0.000133426594576107,0.0350301678154125,"ENSG00000227196","IGHD4-23"
