"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000134138",2.34283170919765,-17.724244762839,1.86139017185026,-9.52204703284791,1.69800759863486e-21,5.11524789088752e-17,"ENSG00000134138","MEIS2"
"ENSG00000187079",23.9735281304308,-21.0152922276546,2.35319516493482,-8.93053518926327,4.23952783556074e-19,6.38578880231336e-15,"ENSG00000187079","TEAD1"
"ENSG00000233922",4.22525373841134,-18.5827237736464,2.21781695825323,-8.37883564037776,5.34538572671191e-17,5.36765816723988e-13,"ENSG00000233922","LINC01694"
"ENSG00000211933",108.68338761775,7.28701023926815,0.881099895336374,8.27035649174174,1.33559050718739e-16,1.0058666007255e-12,"ENSG00000211933","IGHV6-1"
"ENSG00000211644",95.6576378288004,4.60069021427367,0.637579329560102,7.21587103121413,5.35898294002736e-13,3.22878722136648e-09,"ENSG00000211644","IGLV1-51"
"ENSG00000086548",1.03891287779737,-18.1271889436322,2.54980115680203,-7.10925591012258,1.16670240796432e-12,5.85781833998752e-09,"ENSG00000086548","CEACAM6"
"ENSG00000211967",41.4036688838009,8.14301500996217,1.31887201895341,6.17422683394563,6.64880269081176e-10,2.5036897632588e-06,"ENSG00000211967","IGHV3-53"
"ENSG00000236106",1.14820370578739,-18.7384957691018,3.15674427890497,-5.93601955480599,2.92024985626853e-09,9.77472521334329e-06,"ENSG00000236106",""
"ENSG00000237350",26.2590309126388,1.75808371275518,0.310303893886328,5.66568369715404,1.46439443397125e-08,4.4114882323384e-05,"ENSG00000237350","CDC42P6"
"ENSG00000103184",4.35977023666237,6.1066133669521,1.10961056048738,5.50338432636208,3.72569011753123e-08,9.35303456588568e-05,"ENSG00000103184","SEC14L5"
"ENSG00000159788",712.550610336191,3.08761973755105,0.565171961111166,5.46315095228819,4.67756513029946e-08,0.000108393576577132,"ENSG00000159788","RGS12"
"ENSG00000211973",16550.2187558809,-9.12627144190727,1.8126368130139,-5.03480420147314,4.78337502565368e-07,0.00102927980462727,"ENSG00000211973","IGHV1-69"
"ENSG00000270505",413.766454339387,-5.03929510928386,1.02374657422466,-4.92240485698367,8.54871291146409e-07,0.00171686650971904,"ENSG00000270505","IGHV1OR15-1"
"ENSG00000019102",39.8135624733767,4.44421814770307,0.960983258744591,4.6246572011139,3.75218425216885e-06,0.00664909121156392,"ENSG00000019102","VSIG2"
"ENSG00000085276",3.60989082711402,5.95727829295342,1.30934732852771,4.54980749810064,5.36950148058396e-06,0.00898645733903288,"ENSG00000085276","MECOM"
"ENSG00000211956",4154.2401224319,8.3232182699533,1.83401590071995,4.53824760553385,5.67236339583424e-06,0.00899368143681614,"ENSG00000211956","IGHV4-34"
"ENSG00000186086",11.5158175783258,-20.2954311603949,4.62146036453282,-4.39156231137483,1.12539072729626e-05,0.0169511978298999,"ENSG00000186086","NBPF6"
"ENSG00000174197",6677.59054316158,0.684656647045826,0.159170087913252,4.30141527231527,1.69710666108403e-05,0.023238790075071,"ENSG00000174197","MGA"
"ENSG00000117707",261.175883438971,-8.30843092032416,2.02521958014183,-4.10248399817579,4.08738131865228e-05,0.0495667517191829,"ENSG00000117707","PROX1"
"ENSG00000154165",13.0522445998151,4.12543878055896,1.00595560680808,4.10101474919861,4.1134233791853e-05,0.0495667517191829,"ENSG00000154165","GPR15"
