"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000211928",35.9993492691526,-22.9560188504559,2.12079506316385,-10.8242513617556,2.64229575061094e-27,7.95991594871546e-23,"ENSG00000211928","IGHD5-5"
"ENSG00000211920",20.2500526959463,-22.2978521635906,2.3625621786001,-9.43799590358416,3.79977216018562e-21,5.72340681627959e-17,"ENSG00000211920","IGHD6-13"
"ENSG00000227108",16.4191631315168,-22.5062278499656,2.46404458206574,-9.1338557807657,6.61020707980059e-20,5.57036486045759e-16,"ENSG00000227108","IGHD1-14"
"ENSG00000211918",25.930479190814,-22.4423276284748,2.46032622319017,-9.12168777332913,7.39633508442502e-20,5.57036486045759e-16,"ENSG00000211918","IGHD2-15"
"ENSG00000054598",243.108650960035,6.65728368884421,0.758802078734668,8.77341256094802,1.7333154917263e-18,1.0443225837651e-14,"ENSG00000054598","FOXC1"
"ENSG00000211921",15.1071113790697,-21.8754109552486,2.52080208144981,-8.67795655844079,4.02942882329184e-18,2.02310905502778e-14,"ENSG00000211921","IGHD5-12"
"ENSG00000237020",22.8077255404638,-20.8611705962842,2.53258933926895,-8.23709168826632,1.76447261932277e-16,7.59353395101408e-13,"ENSG00000237020","IGHD1-20"
"ENSG00000232543",12.6383371857148,-21.7671646944985,2.69411608877984,-8.07951995281569,6.50222226318061e-16,2.44849307097895e-12,"ENSG00000232543","IGHD4-11"
"ENSG00000258168",57.268397120896,-23.1218752785583,2.98794623686323,-7.73838397535285,1.00688373866961e-14,3.37026362526911e-11,"ENSG00000258168",""
"ENSG00000211644",95.6576378288004,4.68001839202623,0.674115225785513,6.94246059577253,3.85328452767312e-12,1.0974544378684e-08,"ENSG00000211644","IGLV1-51"
"ENSG00000102837",4.25251521489896,-20.2859298223089,2.92434093860265,-6.93692365159113,4.00730251171866e-12,1.0974544378684e-08,"ENSG00000102837","OLFM4"
"ENSG00000171246",948.04679682861,6.97916333182846,1.04705726256666,6.66550300670314,2.6376040984309e-11,6.62148528876925e-08,"ENSG00000171246","NPTX1"
"ENSG00000112699",1396.19057147113,1.79912073911156,0.282432163453801,6.37009863575915,1.88906672328226e-10,4.37754884914448e-07,"ENSG00000112699","GMDS"
"ENSG00000185269",4.0724439314775,4.45755667932593,0.721494735137385,6.17822481889231,6.48263589840422e-10,1.30192937626285e-06,"ENSG00000185269","NOTUM"
"ENSG00000211625",198.044448987148,10.1471678106662,1.78169410916467,5.69523565154719,1.23201635862787e-08,2.18320545903909e-05,"ENSG00000211625","IGKV3D-20"
"ENSG00000132204",13.2537732453805,8.90062722068112,1.59382021456369,5.58446124559768,2.34425783322912e-08,3.92337595700152e-05,"ENSG00000132204","LINC00470"
"ENSG00000211909",9.92817334012072,-19.7891950815901,3.56343505490287,-5.55340416667968,2.80159287995278e-08,4.44199923729355e-05,"ENSG00000211909","IGHD5-24"
"ENSG00000183066",139.08589818313,-2.71657158247964,0.517706411522518,-5.24732072467579,1.54327102009184e-07,0.000221385902286985,"ENSG00000183066","WBP2NL"
"ENSG00000224041",19.8502294433558,8.63588538959619,1.72997348558654,4.99191777304506,5.97827071086042e-07,0.000818615478021228,"ENSG00000224041","IGKV3D-15"
"ENSG00000211662",9456.01986863414,-9.59908000482085,1.94890075463726,-4.92538164500197,8.41958604524714e-07,0.00110278273744813,"ENSG00000211662","IGLV3-21"
"ENSG00000186086",11.5158175783258,-21.0485262878682,4.77787199277084,-4.40541862982425,1.05579779582843e-05,0.0132524619163881,"ENSG00000186086","NBPF6"
"ENSG00000213740",10.0393714797979,1.26303114551913,0.2939545107312,4.29668911144583,1.73368070205347e-05,0.0208908524597444,"ENSG00000213740","SERBP1P1"
"ENSG00000219507",20.591809608482,1.22616054072368,0.287310372606414,4.26772110453316,1.97480002280722e-05,0.0228810964181029,"ENSG00000219507","FTH1P8"
"ENSG00000116771",404.840811181797,1.5836872797298,0.375189002236418,4.22103865062621,2.4317923224688e-05,0.0271324976719898,"ENSG00000116771","AGMAT"
"ENSG00000130147",141.691194433225,5.92217758873088,1.41013811704417,4.19971456494242,2.67251670448662e-05,0.0277441489240217,"ENSG00000130147","SH3BP4"
"ENSG00000197928",704.977302354148,-3.72589383795367,0.888773023389895,-4.19217701246448,2.76290279741295e-05,0.0277441489240217,"ENSG00000197928","ZNF677"
"ENSG00000165185",620.652637020814,-0.960915685891575,0.236579026328792,-4.06171122099437,4.87143143497277e-05,0.0458599599932984,"ENSG00000165185","KIAA1958"
