"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000174059",2.99675841314352,-18.8729916380483,1.55658572181743,-12.124607963134,7.82336772033546e-34,2.3600753401936e-29,"ENSG00000174059","CD34"
"ENSG00000211637",280.62803944897,9.94150620696623,0.924329471638699,10.7553707979704,5.59087077137299e-27,8.43298992800046e-23,"ENSG00000211637","IGLV4-69"
"ENSG00000234068",63.5477698726763,6.30616925152445,0.618405160531564,10.1974719067736,2.03500618790669e-24,2.04633438901937e-20,"ENSG00000234068","PAGE2"
"ENSG00000241351",1522.20416564416,10.5796797004771,1.06171121717187,9.96474326480105,2.17434905121019e-23,1.63983969569645e-19,"ENSG00000241351","IGKV3-11"
"ENSG00000267320",100.815090868649,-23.6514512080724,2.46487212951197,-9.59540696853726,8.35865762976346e-22,5.04311249434148e-18,"ENSG00000267320",""
"ENSG00000211934",1479.65516901514,11.6077139940518,1.21373119541554,9.5636612438537,1.13662954059808e-21,5.7147838918704e-18,"ENSG00000211934","IGHV1-2"
"ENSG00000196415",2.12337933914763,-18.3819423844294,2.0753656383167,-8.85720667483864,8.20443395655177e-19,3.09378948959121e-15,"ENSG00000196415","PRTN3"
"ENSG00000226278",90.4621550813995,-23.662121579937,2.67955077406282,-8.83063004775977,1.04087727682252e-18,3.48890497887833e-15,"ENSG00000226278","PSPHP1"
"ENSG00000076706",122.955237957444,5.06066767803316,0.603385171638889,8.38712635958154,4.98169453995525e-17,1.5028277918683e-13,"ENSG00000076706","MCAM"
"ENSG00000187950",40.2503543173069,-22.8628150578133,2.96096664324645,-7.721402437937,1.15056652442399e-14,3.1553763947544e-11,"ENSG00000187950","OVCH1"
"ENSG00000096006",4.89779160395323,-19.6622536288536,2.61877608998352,-7.50818434002784,5.99530445727747e-14,1.50716957968908e-10,"ENSG00000096006","CRISP3"
"ENSG00000218819",102.89430775576,-23.7280935758286,3.39799332534121,-6.98297239104962,2.88999223364336e-12,6.70633813171687e-09,"ENSG00000218819","TDRD15"
"ENSG00000211644",95.6576378288004,4.49271608569928,0.657546080921147,6.83254940764836,8.3418661017246e-12,1.79749339064804e-08,"ENSG00000211644","IGLV1-51"
"ENSG00000118113",5.05565032915855,-20.1080022596046,2.95677619637071,-6.80065075073525,1.0414762478849e-11,2.05948721601051e-08,"ENSG00000118113","MMP8"
"ENSG00000086548",1.03891287779737,-17.4947519279317,2.57511227816542,-6.79378218816752,1.09231264150125e-11,2.05948721601051e-08,"ENSG00000086548","CEACAM6"
"ENSG00000132698",19.3377265051238,3.09599598679985,0.466091885719348,6.64245845434877,3.08493636471683e-11,5.47431031261251e-08,"ENSG00000132698","RAB25"
"ENSG00000238269",62.7833947544276,2.52993412619827,0.382599206671404,6.61249182456123,3.77903993876665e-11,6.33346099070963e-08,"ENSG00000238269","PAGE2B"
"ENSG00000102837",4.25251521489896,-18.6857388101019,2.85983365472844,-6.53385513496807,6.40979472968345e-11,1.01770672426506e-07,"ENSG00000102837","OLFM4"
"ENSG00000140534",10.4134593188082,3.03762855659746,0.466597439315563,6.51016979658795,7.50659051579577e-11,1.13225658045005e-07,"ENSG00000140534","TICRR"
"ENSG00000091656",6.38678061866207,3.42621027222022,0.541920593764101,6.32234742810246,2.57619343138195e-10,3.70076320211901e-07,"ENSG00000091656","ZFHX4"
"ENSG00000102854",14.4906178018799,5.66360970557565,0.932056038894768,6.07646908472537,1.22857676646167e-09,1.61141197016735e-06,"ENSG00000102854","MSLN"
"ENSG00000017427",13.7575347947313,4.74700621221967,0.782466925014332,6.06671804323579,1.30550450045795e-09,1.64096476105479e-06,"ENSG00000017427","IGF1"
"ENSG00000122641",17.7095991167676,5.34439834701276,0.901605998010531,5.92764284932179,3.07313981305528e-09,3.65274011453735e-06,"ENSG00000122641","INHBA"
"ENSG00000115112",62.3446188152985,5.66243402511063,0.955898240859173,5.92367867527527,3.14818321271492e-09,3.65274011453735e-06,"ENSG00000115112","TFCP2L1"
"ENSG00000141576",98.7216946643469,3.52132794878778,0.614627221553475,5.72920922683444,1.00899882666793e-08,1.04390983917705e-05,"ENSG00000141576","RNF157"
"ENSG00000211904",26.384095668429,-21.5698222470934,3.76512284876177,-5.72884952590244,1.01114035217309e-08,1.04390983917705e-05,"ENSG00000211904","IGHJ2"
"ENSG00000105976",2.18290120810293,4.92172535959896,0.859783361213082,5.72437846744885,1.03813091044225e-08,1.04390983917705e-05,"ENSG00000105976","MET"
"ENSG00000143344",80.3241501611786,2.3996516719149,0.420099716732828,5.7121001903484,1.1159035423962e-08,1.0807422061393e-05,"ENSG00000143344","RGL1"
"ENSG00000173988",2.31762043015815,4.34974639522246,0.762109312643183,5.70750983233162,1.14641000419192e-08,1.0807422061393e-05,"ENSG00000173988","LRRC63"
"ENSG00000119888",38.1769728446116,8.73063296963553,1.56906000616936,5.56424415593267,2.63291096907151e-08,2.33608897658765e-05,"ENSG00000119888","EPCAM"
"ENSG00000196739",11.1192266334292,4.60063297120501,0.828313404010234,5.55421770181588,2.78857770337274e-08,2.4035149593613e-05,"ENSG00000196739","COL27A1"
"ENSG00000166813",18.8963723695406,4.00686017095161,0.722873950362398,5.54295831097919,2.97403688557363e-08,2.49216029797499e-05,"ENSG00000166813","KIF7"
"ENSG00000145555",9.44007733028447,6.19410286810519,1.11968748123995,5.53199260676362,3.16613252768279e-08,2.58142486385424e-05,"ENSG00000145555","MYO10"
"ENSG00000069011",6.88499340707732,5.13054082396888,0.928778189045746,5.52396781543734,3.31428200715298e-08,2.63110382394168e-05,"ENSG00000069011","PITX1"
"ENSG00000253755",810.961053370103,2.91177243518678,0.53455919558075,5.44705330907909,5.12111184386343e-08,3.96124566650842e-05,"ENSG00000253755","IGHGP"
"ENSG00000167601",28.8287354003344,3.6717143723985,0.675745239210409,5.43357786240389,5.52351649528629e-08,4.16569805283254e-05,"ENSG00000167601","AXL"
"ENSG00000118193",17.405469497937,2.44009445988877,0.45334113966918,5.38246862323017,7.34711868718897e-08,5.40586657162024e-05,"ENSG00000118193","KIF14"
"ENSG00000102024",5.46762913972334,6.04318533545732,1.1308310289512,5.34402150342666,9.09067766499063e-08,6.52948745523268e-05,"ENSG00000102024","PLS3"
"ENSG00000123191",14.995905145254,2.57013518500406,0.482719491257473,5.32428300814811,1.01352007360298e-07,7.11043257218163e-05,"ENSG00000123191","ATP7B"
