"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000196431",24.7298153959313,4.52892139945916,0.480399619062275,9.42740422712965,4.20362880767494e-21,1.24364358275063e-16,"ENSG00000196431","CRYBA4"
"ENSG00000113108",3644.04956295059,-0.687223172696579,0.0892019883844785,-7.70412392305101,1.31743955914527e-14,1.94882246786564e-10,"ENSG00000113108","APBB3"
"ENSG00000215174",9.27530055452502,1.81528686457465,0.24031887388455,7.55365916639038,4.23196767441768e-14,4.17342545492157e-10,"ENSG00000215174","NLRP2B"
"ENSG00000260773",121.466700578773,-1.12451663657056,0.150380697335376,-7.47779905596982,7.55776396181021e-14,5.58991117025388e-10,"ENSG00000260773",""
"ENSG00000146005",85.0565611531727,2.04570904895952,0.279278513480232,7.32497829305553,2.38937386769291e-13,1.4137925175139e-09,"ENSG00000146005","PSD2"
"ENSG00000163520",80.1231457757334,4.99327216324371,0.701802452527537,7.11492549685524,1.11973305565733e-12,5.52121707527035e-09,"ENSG00000163520","FBLN2"
"ENSG00000100122",19.4230184786602,2.19017698086983,0.311943131249615,7.02107775893697,2.20163275222842e-12,9.30504356781113e-09,"ENSG00000100122","CRYBB1"
"ENSG00000240382",563.827499701983,5.10368367183925,0.730524262000017,6.98633014304888,2.82169650322764e-12,1.04349863809987e-08,"ENSG00000240382","IGKV1-17"
"ENSG00000154269",239.472679013211,-4.06799199444039,0.591484118737254,-6.87760138535088,6.08687020775118e-12,1.80080055096319e-08,"ENSG00000154269","ENPP3"
"ENSG00000242076",9.73581220856403,7.0021654694318,1.02713638504133,6.81717206342569,9.28500355077871e-12,2.49724390954353e-08,"ENSG00000242076","IGKV1-33"
"ENSG00000073670",169.083407677976,0.950308895667937,0.141692865429285,6.70682248389008,1.9890798586699e-11,4.87255592766347e-08,"ENSG00000073670","ADAM11"
"ENSG00000226763",141.191817491244,1.26583428339813,0.189041504538353,6.69606543012526,2.14105888320518e-11,4.87255592766347e-08,"ENSG00000226763","SRRM5"
"ENSG00000116983",45.5433318048246,2.51480118320349,0.38867092430346,6.47025806653862,9.78356811716385e-11,2.06747759104495e-07,"ENSG00000116983","HPCAL4"
"ENSG00000156076",3.89466666966971,4.20792320531835,0.660365219230007,6.37211513081327,1.86438838889075e-10,3.67719536568886e-07,"ENSG00000156076","WIF1"
"ENSG00000099957",54.4106046105635,1.13020040987039,0.181488801939258,6.22738371620666,4.74288515754217e-10,8.76989108661783e-07,"ENSG00000099957","P2RX6"
"ENSG00000070404",83.0303588271303,1.59070596776906,0.256307766081462,6.20623398224885,5.42693607196031e-10,9.44446492287916e-07,"ENSG00000070404","FSTL3"
