"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000198028",23.521961918222,6.20995522190912,0.739330402348777,8.39943170493292,4.48644555441667e-17,1.09101382992305e-12,"ENSG00000198028","ZNF560"
"ENSG00000228536",4.64603511037896,5.07330805935048,0.610317249582193,8.31257524316006,9.36472353465909e-17,1.1386567345792e-12,"ENSG00000228536",""
"ENSG00000161513",538.525444931683,2.11521515765117,0.285522984516165,7.40821325202775,1.28012343826174e-13,1.03766805905497e-09,"ENSG00000161513","FDXR"
"ENSG00000204301",205.272421797787,3.46906521772529,0.502914920057632,6.89791668405412,5.2770678545435e-12,3.20819340216972e-08,"ENSG00000204301","NOTCH4"
"ENSG00000204859",3861.60723074234,1.14729749056598,0.191737503195012,5.98368848789635,2.18140332015526e-09,1.06094731879071e-05,"ENSG00000204859","ZBTB48"
"ENSG00000211904",26.384095668429,-20.4012308568179,3.51032759321926,-5.81177406240547,6.18142322566201e-09,2.50533083336081e-05,"ENSG00000211904","IGHJ2"
"ENSG00000114646",28.6573261267924,1.77714092405958,0.316169746944383,5.62084431301454,1.90026462103574e-08,6.30007699647401e-05,"ENSG00000114646","CSPG5"
"ENSG00000188693",8.89475222818228,2.44305989802977,0.4358068015606,5.60583242225984,2.07256418997418e-08,6.30007699647401e-05,"ENSG00000188693","CYP51A1-AS1"
"ENSG00000137726",74.5601452003614,4.88427620236621,0.878184524513488,5.56178805937407,2.67024465908149e-08,7.21500106883818e-05,"ENSG00000137726","FXYD6"
"ENSG00000237547",26.6180582893964,-20.70989238005,3.87813455727223,-5.34016859760965,9.28601818290862e-08,0.000225817390171972,"ENSG00000237547","IGHJ2P"
"ENSG00000239951",16594.378690974,-8.98423597195151,1.70695404747599,-5.26331449006268,1.41481258466249e-07,0.000310711491613373,"ENSG00000239951","IGKV3-20"
"ENSG00000189334",11.9677529233407,3.11019156098767,0.597706788877801,5.2035406303935,1.95526978999801e-07,0.000365755775024396,"ENSG00000189334","S100A14"
"ENSG00000241458",18.1045744781354,4.70633491981208,0.937088342094917,5.02229588012032,5.10574471524747e-07,0.000886867857038485,"ENSG00000241458","RPL7P19"
"ENSG00000132517",36.4238578029283,4.06286829185366,0.81416570472069,4.99022283583841,6.03096786549972e-07,0.000977740510354815,"ENSG00000132517","SLC52A1"
"ENSG00000187079",34.1339440087492,8.693959511359,1.74989573711703,4.96827286732087,6.75518626684864e-07,0.00102670387273266,"ENSG00000187079","TEAD1"
