"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000211670",704.800719319536,7.86045763243844,0.675680661933624,11.6333914455149,2.7879636901393e-31,8.11158035646029e-27,"ENSG00000211670","IGLV3-9"
"ENSG00000048028",6629.49919234692,-0.964710867518375,0.092056948451886,-10.4795008279314,1.0730862553172e-25,1.56107222992269e-21,"ENSG00000048028","USP28"
"ENSG00000076043",854.304083783107,-0.737093297847828,0.0738856289313219,-9.97613891238538,1.93864383301856e-23,1.8801614107225e-19,"ENSG00000076043","REXO2"
"ENSG00000166266",3780.05898506006,-0.74589402255834,0.0761612535482664,-9.79361535962165,1.1992926483793e-22,8.72335490114895e-19,"ENSG00000166266","CUL5"
"ENSG00000211638",270.52815388061,4.62497701821249,0.474672672383965,9.74350807891323,1.96646038598095e-22,1.14428329860231e-18,"ENSG00000211638","IGLV8-61"
"ENSG00000149311",26207.6139864496,-0.88856019456065,0.0958526134693395,-9.27006747546716,1.86028201944771e-20,9.02081755930519e-17,"ENSG00000149311","ATM"
"ENSG00000137760",1392.35881295052,-0.706114720801264,0.0829364764175002,-8.51392235723519,1.68146625525401e-17,6.98889438523077e-14,"ENSG00000137760","ALKBH8"
"ENSG00000166682",194.408754417849,-0.757337443289848,0.089635325535712,-8.44909569707664,2.93567771488422e-17,1.06766928893196e-13,"ENSG00000166682","TMPRSS5"
"ENSG00000149308",2859.48898110517,-0.947210379308046,0.116945571399923,-8.09958314769218,5.51478241113341e-16,1.78280660279918e-12,"ENSG00000149308","NPAT"
"ENSG00000170145",1835.10396211836,-0.713717383903192,0.0902448298434293,-7.90867892533522,2.60134563352252e-15,7.56861512073376e-12,"ENSG00000170145","SIK2"
"ENSG00000075239",1121.7929748534,-0.65627291998272,0.0848992061636883,-7.73002422092623,1.07526123369848e-14,2.84406596313248e-11,"ENSG00000075239","ACAT1"
"ENSG00000086848",694.025214633418,-0.6248075699211,0.0833400133190382,-7.49708987361499,6.52502425098363e-14,1.58204650485307e-10,"ENSG00000086848","ALG9"
"ENSG00000261098",476.702036617068,-0.757220079305418,0.103932742224605,-7.28567401472983,3.20066047429616e-13,7.16332434612667e-10,"ENSG00000261098",""
"ENSG00000211941",872.953769622306,-5.76385537404992,0.79756504360221,-7.2268154431862,4.94451316978571e-13,1.02757579053511e-09,"ENSG00000211941","IGHV3-11"
"ENSG00000160224",139.85927040044,-3.46100854490351,0.483330626434537,-7.16074743790785,8.0238358623056e-13,1.55635669609188e-09,"ENSG00000160224","AIRE"
"ENSG00000086827",492.820172565959,-0.756926835024183,0.106913728277585,-7.07979084836458,1.44372189313711e-12,2.62531803005151e-09,"ENSG00000086827","ZW10"
"ENSG00000076053",2172.01637722098,-0.605853946682905,0.0869616313078599,-6.96691101088102,3.23975448895248e-12,5.54474452094544e-09,"ENSG00000076053","RBM7"
"ENSG00000150776",1753.24796483632,-0.544506936958793,0.0783039715264464,-6.95375887511519,3.55679342879618e-12,5.74916137837916e-09,"ENSG00000150776","C11orf57"
"ENSG00000164220",18.576272524535,4.83695743575175,0.699136424922181,6.91847436827531,4.56533371051909e-12,6.99096759513437e-09,"ENSG00000164220","F2RL2"
"ENSG00000137713",2193.41834194392,-0.736156824136873,0.109250482455432,-6.73824780990955,1.60307997137334e-11,2.33208058835537e-08,"ENSG00000137713","PPP2R1B"
"ENSG00000135318",445.619026011665,-3.31672208265773,0.511301961702274,-6.48681665842898,8.76689123132845e-11,1.21463190655001e-07,"ENSG00000135318","NT5E"
"ENSG00000178105",1547.25297674658,-0.517264270787933,0.0804451258952596,-6.43002624498862,1.27581915110416e-10,1.68727082733525e-07,"ENSG00000178105","DDX10"
"ENSG00000152404",1235.70801086559,-0.709125064490572,0.111577802674026,-6.35543134472975,2.0784256378575e-10,2.62920843188973e-07,"ENSG00000152404","CWF19L2"
"ENSG00000149292",1668.82296717028,-0.763331473631278,0.120306453633829,-6.34489215312252,2.22581315536403e-10,2.69833473980486e-07,"ENSG00000149292","TTC12"
