"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000154269",255.80766844685,-3.78463889513441,0.360791460311502,-10.4898239328248,9.620750045326e-26,2.73335129537757e-21,"ENSG00000154269","ENPP3"
"ENSG00000205517",57.2541618528362,-4.52378254243699,0.446657004830199,-10.128090444158,4.14668118238475e-24,5.89056795363666e-20,"ENSG00000205517","RGL3"
"ENSG00000137648",36.4015813489854,-4.54926733502066,0.452031567114093,-10.0640478806924,7.96543073952405e-24,7.54352842468726e-20,"ENSG00000137648","TMPRSS4"
"ENSG00000163814",30.8572652562643,-4.18798252099824,0.502739755768337,-8.33031896313382,8.06248366621324e-17,5.72658058601961e-13,"ENSG00000163814","CDCP1"
"ENSG00000106537",700.397406699356,-2.74808597911907,0.331090992357203,-8.30009285228228,1.04030057200031e-16,5.91119591022016e-13,"ENSG00000106537","TSPAN13"
"ENSG00000105143",8.21729095182565,-4.90241250661865,0.663202442418665,-7.39203023550366,1.44603632158755e-13,6.38952393507587e-10,"ENSG00000105143","SLC1A6"
"ENSG00000006747",6.90626496910475,-3.78739885663856,0.513147113961476,-7.38072719029829,1.57427290646338e-13,6.38952393507587e-10,"ENSG00000006747","SCIN"
"ENSG00000135919",185.780786196203,-2.08326489939319,0.287885775636728,-7.23642873561764,4.60653540167436e-13,1.63595346621213e-09,"ENSG00000135919","SERPINE2"
"ENSG00000129422",27.3942320765927,-2.74305459705956,0.384566130787389,-7.13285538547876,9.83078311232772e-13,3.10335976671492e-09,"ENSG00000129422","MTUS1"
"ENSG00000039560",8.17430997372523,-3.27697748710198,0.465800083526626,-7.03515865066318,1.99034404895694e-12,5.65476647749155e-09,"ENSG00000039560","RAI14"
"ENSG00000260807",158.49447790254,-2.41712873354286,0.345206493434165,-7.0019793356055,2.52371311754739e-12,6.51829212569445e-09,"ENSG00000260807",""
"ENSG00000122641",12.9923755947065,-2.47273982269124,0.363895821565648,-6.79518608389724,1.08172812656255e-11,2.56108148364738e-08,"ENSG00000122641","INHBA"
"ENSG00000096696",29.2263590222514,-2.38323608516438,0.354234594644151,-6.72784680321376,1.72192068803539e-11,3.76319143598258e-08,"ENSG00000096696","DSP"
"ENSG00000133424",194.371317871551,-2.61992467652092,0.394983390090054,-6.63299962037286,3.2893265655416e-11,6.6752183609716e-08,"ENSG00000133424","LARGE1"
"ENSG00000175262",15.1970410519332,-1.75742711075003,0.277302726101208,-6.33757603273117,2.33408036139678e-10,4.42090380984293e-07,"ENSG00000175262","C1orf127"
"ENSG00000166813",14.7238187632685,-1.7209627876749,0.280227775645741,-6.14129981836816,8.18489277000188e-10,1.45338117805327e-06,"ENSG00000166813","KIF7"
"ENSG00000178573",321.511594496888,-1.5767029533639,0.260518417611466,-6.05217461329498,1.42903445477251e-09,2.38825281732598e-06,"ENSG00000178573","MAF"
"ENSG00000165507",238.287319859937,2.43935966839737,0.404754760627697,6.02675967199099,1.67279456391975e-09,2.64032035308466e-06,"ENSG00000165507","C10orf10"
"ENSG00000241294",46.7942749989248,-3.02759713007961,0.509794681966689,-5.93885585153562,2.8701808610341e-09,4.29182676014946e-06,"ENSG00000241294","IGKV2-24"
"ENSG00000135318",445.619026011665,-2.25907965096953,0.381854679154983,-5.91607167409526,3.29721573577963e-09,4.68385981346175e-06,"ENSG00000135318","NT5E"
"ENSG00000131187",52.7200222257815,-1.16139011749105,0.201178659347017,-5.77292900380523,7.79052726868467e-09,1.05398414395524e-05,"ENSG00000131187","F12"
"ENSG00000065534",1194.01320611297,-1.76085824196771,0.306394562141723,-5.74702837302062,9.08254936132372e-09,1.1729286813844e-05,"ENSG00000065534","MYLK"
"ENSG00000242371",188.0732810598,-4.14474720769757,0.724165281988799,-5.72348234689561,1.04362416267359e-08,1.28914809068345e-05,"ENSG00000242371","IGKV1-39"
"ENSG00000005513",29.3970951843914,-2.12576274406294,0.373590075648005,-5.69009425739088,1.26969265374331e-08,1.44292951942005e-05,"ENSG00000005513","SOX8"
"ENSG00000132204",4.18798018855801,-3.60848794213788,0.635278697097728,-5.6801651914715,1.34564715252204e-08,1.4503636134156e-05,"ENSG00000132204","LINC00470"
"ENSG00000137831",316.661009477786,-2.35806941694178,0.41556585171342,-5.6743580041989,1.39209731603653e-08,1.4503636134156e-05,"ENSG00000137831","UACA"
"ENSG00000147408",316.170357967489,-1.76468777705162,0.311241675038236,-5.66983125519688,1.42938232289031e-08,1.4503636134156e-05,"ENSG00000147408","CSGALNACT1"
"ENSG00000187510",212.191374811931,-0.900556978667794,0.159694656914799,-5.63924301580272,1.70799346377484e-08,1.62955627105555e-05,"ENSG00000187510","PLEKHG7"
"ENSG00000240671",195.145707886376,-4.02109019126505,0.71321635402059,-5.63796689265059,1.72069579147747e-08,1.62955627105555e-05,"ENSG00000240671","IGKV1-8"
"ENSG00000184182",620.924292792724,-0.371822758142136,0.0660486810447601,-5.62952586275202,1.8070567625627e-08,1.6561383768119e-05,"ENSG00000184182","UBE2F"
"ENSG00000236761",3.11470407694535,-3.13424449027698,0.558521276846148,-5.61168324325154,2.00367959187579e-08,1.77895440264947e-05,"ENSG00000236761","CTAGE9"
"ENSG00000132329",12.7806346661023,-2.09950882253476,0.377599297632049,-5.5601502325373,2.69542526466221e-08,2.26004051791707e-05,"ENSG00000132329","RAMP1"
"ENSG00000148346",11.3675310770952,-3.68262088423303,0.662394910049464,-5.5595549246567,2.70463474038859e-08,2.26004051791707e-05,"ENSG00000148346","LCN2"
"ENSG00000012223",30.9238596437545,-4.23644834481611,0.765242584437472,-5.53608545965893,3.09306688039636e-08,2.51077494682688e-05,"ENSG00000012223","LTF"
"ENSG00000109265",5.60394374301703,-2.05025287876825,0.37343530277216,-5.49024921733003,4.0136700542738e-08,3.09448720570614e-05,"ENSG00000109265","KIAA1211"
"ENSG00000245164",216.298651891596,-1.47540507433675,0.268766979826595,-5.48953251358728,4.02998932142928e-08,3.09448720570614e-05,"ENSG00000245164","LINC00861"
"ENSG00000151150",80.1485886770234,-1.36006966458437,0.248895638903362,-5.46441741838812,4.64429523540171e-08,3.47234399823679e-05,"ENSG00000151150","ANK3"
"ENSG00000198003",13.04416245219,-1.31578500987173,0.241755974647158,-5.44261630676186,5.25036576380509e-08,3.82482414655042e-05,"ENSG00000198003","CCDC151"
"ENSG00000173638",260.413351453138,-1.39914554970784,0.258356380446839,-5.41556414162467,6.10957647943971e-08,4.27400087029101e-05,"ENSG00000173638","SLC19A1"
"ENSG00000158477",13.8268397102604,-1.95839786066173,0.3621820196448,-5.40722000109883,6.4010499303166e-08,4.27400087029101e-05,"ENSG00000158477","CD1A"
"ENSG00000211955",651.791820237632,3.49980853139885,0.647621289703498,5.4040974054469,6.51355434295914e-08,4.27400087029101e-05,"ENSG00000211955","IGHV3-33"
"ENSG00000172164",320.736820577437,-1.34585875540799,0.249177068257741,-5.40121434455546,6.61912774252241e-08,4.27400087029101e-05,"ENSG00000172164","SNTB1"
"ENSG00000143195",7.89984907501023,-1.62177538774538,0.30235252783613,-5.3638558915054,8.14639058583805e-08,5.14326895409433e-05,"ENSG00000143195","ILDR2"
"ENSG00000166391",27.9119463419442,2.41658623666244,0.451534933548226,5.3519363777074,8.70179958730606e-08,5.28664608670912e-05,"ENSG00000166391","MOGAT2"
"ENSG00000111729",130.122636426933,-0.549446009377842,0.10268047487893,-5.35102715512071,8.74563957887187e-08,5.28664608670912e-05,"ENSG00000111729","CLEC4A"
"ENSG00000211669",604.415238190729,-3.19667439522383,0.607408888461906,-5.26280476948324,1.41874209046205e-07,8.25282817311935e-05,"ENSG00000211669","IGLV3-10"
"ENSG00000151491",15.2594764784717,-1.34726443546955,0.256553564999139,-5.25139627459114,1.50950530185446e-07,8.5773110261974e-05,"ENSG00000151491","EPS8"
"ENSG00000251546",100.514471649901,-3.63641119082216,0.694642710200494,-5.23493752604499,1.65040677451624e-07,9.19406017074136e-05,"ENSG00000251546","IGKV1D-39"
"ENSG00000136404",30.2941720110883,-1.73414320418107,0.333692858212421,-5.19682444949768,2.02721635509158e-07,0.000110760084354821,"ENSG00000136404","TM6SF1"
"ENSG00000078081",10.3444049446289,-1.35987737126283,0.263274889894747,-5.16523764118366,2.40133635022787e-07,0.000124044303720589,"ENSG00000078081","LAMP3"
"ENSG00000136156",10610.6344699029,-0.446623219243865,0.0874591454766183,-5.10664970266908,3.27920835345563e-07,0.000157907777169539,"ENSG00000136156","ITM2B"
"ENSG00000100253",31.5456460199384,-1.54605388899946,0.303735440600344,-5.09013332768685,3.57811839187878e-07,0.000169429869386113,"ENSG00000100253","MIOX"
"ENSG00000211949",5628.1622047973,3.32946217674957,0.654550836419247,5.08663650170179,3.64469425897396e-07,0.000169753128838867,"ENSG00000211949","IGHV3-23"
"ENSG00000004468",871.234653934489,-1.80882090845922,0.357099468907574,-5.06531391377506,4.07727899137185e-07,0.000186838021651396,"ENSG00000004468","CD38"
"ENSG00000112378",22.1856460475464,-1.20158804907576,0.237405833940658,-5.06132485933816,4.16353099168899e-07,0.00018776203016647,"ENSG00000112378","PERP"
"ENSG00000211653",3397.90488483086,-3.18572050242801,0.630593556874816,-5.05193950635375,4.37346227104617e-07,0.000194147557160457,"ENSG00000211653","IGLV1-40"
"ENSG00000159556",5.79071626090241,-1.68368883919033,0.334499298394411,-5.03346000207474,4.81705359514418e-07,0.00021054970721791,"ENSG00000159556","ISL2"
"ENSG00000198553",38.6508411631788,-0.858487862290281,0.170842613958321,-5.02502181627657,5.03375310386831e-07,0.000216687817324246,"ENSG00000198553","KCNRG"
"ENSG00000166949",1850.38951958355,-1.08204524538406,0.216022383718518,-5.00894965955929,5.47278842063193e-07,0.000232070734057573,"ENSG00000166949","SMAD3"
"ENSG00000227039",1327.18577041618,-1.3090226853545,0.261694912747,-5.00209450620858,5.67107759093666e-07,0.000233508674545074,"ENSG00000227039","ITGB2-AS1"
"ENSG00000107719",27.7149834391953,-1.8181922649399,0.366938515652176,-4.95503248468848,7.23182060936405e-07,0.000293518936189489,"ENSG00000107719","PALD1"
"ENSG00000123094",5.031937091652,-2.07357084966036,0.418901441538638,-4.95002080213442,7.42055497273926e-07,0.000296937165254218,"ENSG00000123094","RASSF8"
"ENSG00000105810",279.398595198091,-1.39325453172763,0.281786226479975,-4.94436704423748,7.63916559028383e-07,0.000301439352202158,"ENSG00000105810","CDK6"
"ENSG00000164530",74.4918273960533,-1.36698108525454,0.277307600899605,-4.92947571873242,8.24505819214139e-07,0.000320890888077985,"ENSG00000164530","PI16"
"ENSG00000036530",26.448489539907,-1.96608363422836,0.400829370123267,-4.90503885387375,9.34088473839936e-07,0.000358626859868465,"ENSG00000036530","CYP46A1"
"ENSG00000197444",9.2871027613655,-2.54910451146303,0.523613258319296,-4.86829634460594,1.12564444292089e-06,0.000421843243172114,"ENSG00000197444","OGDHL"
