"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000169169",21.2279950466377,4.03773309120283,0.409161358267547,9.86831480934372,5.71160796587859e-23,1.65716593522001e-18,"ENSG00000169169","CPT1C"
"ENSG00000138823",12.3506384136686,3.43045763505767,0.426596895250269,8.04145007442012,8.87815183351708e-16,1.28795348648832e-11,"ENSG00000138823","MTTP"
"ENSG00000215041",3188.08713612892,-0.593677134205658,0.0743773119325595,-7.981965451292,1.44021345414716e-15,1.39287843862086e-11,"ENSG00000215041","NEURL4"
"ENSG00000037280",37.0766871225644,3.28040060378364,0.446401457668889,7.34854366496451,2.00378009904583e-13,1.45344189484289e-09,"ENSG00000037280","FLT4"
"ENSG00000135324",9.93276473862586,4.16155343683875,0.57573825673125,7.22820376826432,4.89424010403702e-13,2.8400296475706e-09,"ENSG00000135324","MRAP2"
"ENSG00000171246",697.783594632537,3.86104339353837,0.54476583872806,7.08752847379946,1.36528219186228e-12,6.60204958578202e-09,"ENSG00000171246","NPTX1"
"ENSG00000198920",1212.61581227087,-0.524925242349797,0.0744882526899846,-7.04708760634381,1.82701301772532e-12,7.57270795661176e-09,"ENSG00000198920","KIAA0753"
"ENSG00000196371",624.269154687013,1.55485917402989,0.222231319787672,6.9965798498405,2.62286316870599e-12,9.51246899710444e-09,"ENSG00000196371","FUT4"
"ENSG00000174282",10516.9884566717,-0.633888884976246,0.0919200495626653,-6.89608946026623,5.34535409658947e-12,1.72322337509385e-08,"ENSG00000174282","ZBTB4"
"ENSG00000111110",4.90795296390422,2.68654594472565,0.399083375376521,6.73179117569352,1.67587051867075e-11,4.8623707228713e-08,"ENSG00000111110","PPM1H"
"ENSG00000029725",11609.2642826323,-0.452408463930719,0.067825338748436,-6.67019836950171,2.55457894824328e-11,6.73805032766642e-08,"ENSG00000029725","RABEP1"
"ENSG00000148600",334.0123000664,2.85181110147533,0.429141521617096,6.6453860971763,3.02423257815364e-11,7.31209033521247e-08,"ENSG00000148600","CDHR1"
"ENSG00000115112",58.6807362113218,3.51046006284756,0.532088436602405,6.59751240839443,4.18113707066046e-11,9.33165468985712e-08,"ENSG00000115112","TFCP2L1"
"ENSG00000211941",786.2071949522,5.25693978047436,0.819958684854258,6.41122519655822,1.44354775952979e-10,2.99164962107123e-07,"ENSG00000211941","IGHV3-11"
"ENSG00000072315",23.5241246781104,1.70784397093911,0.267207779874504,6.39144553254105,1.64324816682244e-10,3.13472447248015e-07,"ENSG00000072315","TRPC5"
"ENSG00000103184",3.45655536103707,3.9832303825547,0.624118738997218,6.3821675807309,1.74598740477287e-10,3.13472447248015e-07,"ENSG00000103184","SEC14L5"
"ENSG00000129245",1616.77285376972,-0.497359172921737,0.0780243708303447,-6.37440799110306,1.83671041676992e-10,3.13472447248015e-07,"ENSG00000129245","FXR2"
