"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000173809",32.0629795295277,7.13485476312541,0.665794733985195,10.7162979803383,8.53515273335816e-27,2.52606380296468e-22,"ENSG00000173809","TDRD12"
"ENSG00000134138",2.32113882300138,-17.5986882758058,1.8754303522996,-9.38381329609322,6.36288995162695e-21,9.41580455041756e-17,"ENSG00000134138","MEIS2"
"ENSG00000211934",744.754995597486,10.1415190074426,1.09675286018162,9.24685895577534,2.3118653767061e-20,2.28073225629979e-16,"ENSG00000211934","IGHV1-2"
"ENSG00000233922",4.20000781260938,-18.8575480501659,2.17892351273169,-8.65452501658695,4.94968611989831e-18,3.66227276011276e-14,"ENSG00000233922","LINC01694"
"ENSG00000211658",1872.79027372203,-19.2989102610772,2.30716370194381,-8.36477716982876,6.0228643162534e-17,3.5094965086626e-13,"ENSG00000211658","IGLV3-27"
"ENSG00000211947",1346.76737612345,10.7149886627436,1.28398422218224,8.34510929155539,7.11480573455049e-17,3.5094965086626e-13,"ENSG00000211947","IGHV3-21"
"ENSG00000129538",31.1757157868195,7.66623018402979,0.93171794746706,8.22805893658158,1.9027146569211e-16,8.0446775694624e-13,"ENSG00000129538","RNASE1"
"ENSG00000124615",80.1135486412824,9.52965495724571,1.18011556548185,8.07518791886678,6.73728071931812e-16,2.49245700211174e-12,"ENSG00000124615","MOCS1"
"ENSG00000198028",21.972275275757,6.35151041962129,0.794656260725113,7.99277717113261,1.3193246235526e-15,4.33852572874032e-12,"ENSG00000198028","ZNF560"
"ENSG00000232111",10.8754387579857,8.50809121132999,1.08325461458626,7.85419336946888,4.02353126340817e-15,1.19080431271828e-11,"ENSG00000232111",""
"ENSG00000105538",20.3338555164287,4.42414048916162,0.580383775300039,7.62278457366332,2.4826101472872e-14,6.45591354156603e-11,"ENSG00000105538","RASIP1"
"ENSG00000213265",8.98664598770635,7.941132505678,1.04269773800378,7.61594872247548,2.6176159784698e-14,6.45591354156603e-11,"ENSG00000213265","TSGA13"
"ENSG00000227196",16.7499175074876,-21.0818703215143,2.78203453447949,-7.57786075630389,3.51299128906367e-14,7.99773001470218e-11,"ENSG00000227196","IGHD4-23"
"ENSG00000211945",1885.28772531812,10.2976884199721,1.38834569106493,7.41723656164719,1.19589237428843e-13,2.52811647924573e-10,"ENSG00000211945","IGHV1-18"
"ENSG00000102837",4.21314007402026,-19.0634027232063,2.87104899675976,-6.63987369937645,3.1395205369303e-11,5.80732811318682e-08,"ENSG00000102837","OLFM4"
"ENSG00000188693",8.88177738124542,2.79630117292029,0.43202243020082,6.47258331383505,9.63413672048828e-11,1.67724653164454e-07,"ENSG00000188693","CYP51A1-AS1"
"ENSG00000231419",2.00897468908783,5.68587393531625,0.935624115152535,6.07709211769224,1.2238146701043e-09,1.90631678823194e-06,"ENSG00000231419","LINC00689"
"ENSG00000211595",700.001585164114,-9.90199607028315,1.63203267185173,-6.06727808889277,1.30096187464756e-09,1.92516338210346e-06,"ENSG00000211595","IGKJ3"
"ENSG00000211904",26.1397984863139,-21.724411457482,3.7695335381533,-5.76315643238045,8.2555210919169e-09,1.16347810588749e-05,"ENSG00000211904","IGHJ2"
"ENSG00000211909",9.83624580919368,-19.4081328841409,3.45235507906443,-5.6217082077781,1.89078435265629e-08,2.54362062278252e-05,"ENSG00000211909","IGHD5-24"
"ENSG00000133454",5.70453639448717,4.60613883233642,0.823475262904165,5.59353636937662,2.22490592590466e-08,2.86297025143802e-05,"ENSG00000133454","MYO18B"
"ENSG00000239951",16440.8796811619,-10.1173281919921,1.84458637511841,-5.48487635410549,4.13758714277647e-08,5.10233454490052e-05,"ENSG00000239951","IGKV3-20"
