"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000144820",15.8891593184698,9.64162472206911,1.08727824771078,8.86767002133001,7.46922796548791e-19,2.08189791082045e-14,"ENSG00000144820","ADGRG7"
"ENSG00000241351",264.969329228023,6.53720338187016,0.784236779590753,8.33575209936155,7.70071123785515e-17,1.07320962166368e-12,"ENSG00000241351","IGKV3-11"
"ENSG00000211644",74.7541104459484,3.71471616205658,0.48131098474362,7.71791270052833,1.1825014315906e-14,1.09866208009083e-10,"ENSG00000211644","IGLV1-51"
"ENSG00000244437",3726.55511072885,11.3189798569209,1.48149175944237,7.6402583981846,2.16786225358385e-14,1.51062061485356e-10,"ENSG00000244437","IGKV3-15"
"ENSG00000253998",156.35475456956,8.04760559664443,1.0601831572706,7.59076914347771,3.18012097320428e-14,1.77279023772246e-10,"ENSG00000253998","IGKV2-29"
"ENSG00000073712",48.5821028348049,3.33268646181617,0.455304289051036,7.31969046187176,2.48543588209281e-13,1.15460923902621e-09,"ENSG00000073712","FERMT2"
"ENSG00000160200",19.4905503991272,2.68322631896085,0.376762845923616,7.12179119568718,1.0653336963565e-12,4.24200658836353e-09,"ENSG00000160200","CBS"
"ENSG00000266289",12.5746137438751,1.7266758243857,0.265399109110581,6.5059593838586,7.71990841550186e-11,2.68971259081604e-07,"ENSG00000266289",""
"ENSG00000147789",2193.36183347164,0.502518273229287,0.0795043471583902,6.32063894856165,2.60483989691005e-10,8.06718916073042e-07,"ENSG00000147789","ZNF7"
"ENSG00000164754",15536.6514139037,0.670150269856174,0.107054278118573,6.25991115566554,3.8519685964837e-10,1.0736592068979e-06,"ENSG00000164754","RAD21"
"ENSG00000170631",635.849963938564,0.806489776788617,0.130598800367609,6.17532300846954,6.60283378600886e-10,1.67309805561296e-06,"ENSG00000170631","ZNF16"
"ENSG00000133740",4130.62281898113,0.74685255414085,0.127762816060958,5.84561750567951,5.04692521823653e-09,1.17227455506589e-05,"ENSG00000133740","E2F5"
"ENSG00000172164",323.549055759935,2.86434825962966,0.50024581836001,5.7258814656763,1.02898050904619e-08,2.20621336374189e-05,"ENSG00000172164","SNTB1"
"ENSG00000172167",521.538762017286,0.699272591982584,0.122425776359029,5.71180851597687,1.11781824243398e-08,2.22549627652588e-05,"ENSG00000172167","MTBP"
"ENSG00000171016",1.6325638659769,7.58307315779011,1.34191697685955,5.65092571936644,1.5958604731875e-08,2.96542793127701e-05,"ENSG00000171016","PYGO1"
"ENSG00000182983",3.47404221011015,3.55472133918229,0.631217208715373,5.63153426443602,1.78613480148292e-08,3.11155845760833e-05,"ENSG00000182983","ZNF662"
"ENSG00000253981",93.0376465652776,-1.25450771362484,0.223757946306046,-5.6065392730633,2.06412155481484e-08,3.38430941749142e-05,"ENSG00000253981","ALG1L13P"
"ENSG00000129292",5583.23585487067,0.641588614336902,0.114896226853093,5.58407035556741,2.34953583886895e-08,3.63825624648857e-05,"ENSG00000129292","PHF20L1"
"ENSG00000151967",6.10247244901183,6.41789066872271,1.17146893971567,5.478498363158,4.28950555688681e-08,6.29270465195295e-05,"ENSG00000151967","SCHIP1"
"ENSG00000239951",13425.829326259,-7.75405788407629,1.44155048430868,-5.37897074606781,7.49128790570829e-08,0.000104402333897904,"ENSG00000239951","IGKV3-20"
"ENSG00000084674",2.2856820778551,4.0478645564088,0.755339882464718,5.35899751936888,8.36850040701934e-08,0.000108248011268205,"ENSG00000084674","APOB"
"ENSG00000139304",808.736035147215,3.62684406809288,0.679344450688895,5.3387409942262,9.35942377000786e-08,0.000113424008148447,"ENSG00000139304","PTPRQ"
"ENSG00000136404",30.5998143280513,3.48726830210695,0.657036087444957,5.30757498521586,1.11093308710045e-07,0.000128197526102341,"ENSG00000136404","TM6SF1"
"ENSG00000070756",101584.608875109,0.535042210118047,0.100926684768581,5.30129580046016,1.1498360967813e-07,0.000128197526102341,"ENSG00000070756","PABPC1"
"ENSG00000137968",590.051144536627,-5.86407824549083,1.13039128892604,-5.18765342845324,2.12960453720841e-07,0.000228301797175423,"ENSG00000137968","SLC44A5"
"ENSG00000120963",12816.843208368,0.66317213924623,0.130558774835875,5.07949113401151,3.78447184927653e-07,0.00039068364390698,"ENSG00000120963","ZNF706"
"ENSG00000147654",2275.07748769858,0.729330353494778,0.145487453183292,5.01301203325026,5.35845444103709e-07,0.000533415002267953,"ENSG00000147654","EBAG9"
"ENSG00000147679",1361.87525968455,0.663631550745701,0.132593661788099,5.00500206266471,5.58614328638982e-07,0.000536905420074287,"ENSG00000147679","UTP23"
"ENSG00000198169",4109.73763741052,0.474875134113377,0.0950113887202004,4.99808644531909,5.79020284993559e-07,0.000537967746787515,"ENSG00000198169","ZNF251"
"ENSG00000181135",1502.91920852501,0.640349974935366,0.129364147580946,4.94998024498776,7.42210149458292e-07,0.000667342693414548,"ENSG00000181135","ZNF707"
"ENSG00000182307",2382.37046782866,0.669537784495081,0.136981136225373,4.88781012440648,1.01963798240454e-06,0.000888136546361302,"ENSG00000182307","C8orf33"
"ENSG00000158258",2.20508606472073,3.46160607999561,0.709717004377719,4.87744559964539,1.07468473708011e-06,0.000907717808382849,"ENSG00000158258","CLSTN2"
"ENSG00000148143",5.03682820118616,3.0553230993812,0.627524752967426,4.86884873454513,1.12250288403596e-06,0.00092022126137454,"ENSG00000148143","ZNF462"
"ENSG00000048392",5794.00680017986,0.810886825111611,0.167043173760288,4.85435475666465,1.20779353121943e-06,0.000961852259876552,"ENSG00000048392","RRM2B"
"ENSG00000175262",15.1738160096068,2.78041578997679,0.574604849191532,4.83883105735852,1.30605003558554e-06,0.0010112092400521,"ENSG00000175262","C1orf127"
"ENSG00000156469",1361.55108129717,0.684791390665938,0.142650240209782,4.80049237673124,1.58276000719662e-06,0.00119121887923529,"ENSG00000156469","MTERF3"
"ENSG00000111962",131.222261018583,-3.27087477215201,0.682394807519637,-4.79322928033547,1.64117875822149e-06,0.00119121887923529,"ENSG00000111962","UST"
"ENSG00000189376",233.511802274715,0.785637632048371,0.164011857742102,4.790127024131,1.66675766118381e-06,0.00119121887923529,"ENSG00000189376","C8orf76"
"ENSG00000211632",12.4517746201625,6.04049360330035,1.26476402944513,4.77598466011907,1.7883002533801e-06,0.00124445329044594,"ENSG00000211632","IGKV3D-11"
"ENSG00000153310",5881.03392590199,0.441606785312819,0.0925800900371916,4.76999736266637,1.84228331239561e-06,0.00124445329044594,"ENSG00000153310","FAM49B"
"ENSG00000104472",3930.25034229942,0.738129833173272,0.155012003512184,4.76175919573387,1.91912602042202e-06,0.00124445329044594,"ENSG00000104472","CHRAC1"
"ENSG00000104299",1604.43080847596,-0.560866233685318,0.11778734657193,-4.76168493483133,1.91983250777366e-06,0.00124445329044594,"ENSG00000104299","INTS9"
"ENSG00000187954",4604.59975297664,0.610544008520424,0.129810200113215,4.7033592736775,2.55915508818917e-06,0.0016211665857522,"ENSG00000187954","CYHR1"
"ENSG00000176909",27.942810237584,-1.30931473228408,0.281178051818562,-4.65653248472237,3.21579559184891e-06,0.00197551267873771,"ENSG00000176909","MAMSTR"
"ENSG00000165156",1890.95030043891,0.657499926557308,0.14128534040118,4.6537023918429,3.26027278089674e-06,0.00197551267873771,"ENSG00000165156","ZHX1"
"ENSG00000136986",9890.0434677808,0.670911258673724,0.14450511583971,4.64282011591839,3.43685559052617e-06,0.00203820161435609,"ENSG00000136986","DERL1"
"ENSG00000215712",700.175115278269,-0.48975721729613,0.105852002153272,-4.62681108843805,3.71338933542055e-06,0.00214262516068683,"ENSG00000215712","TMEM242"
"ENSG00000147669",2876.37060077305,0.646179193727479,0.139748928401933,4.62385795094614,3.76667860917931e-06,0.00214262516068683,"ENSG00000147669","POLR2K"
"ENSG00000239975",3.65079250651103,6.1791323167837,1.35603007455087,4.55678117524811,5.19434895223209e-06,0.0028956417669113,"ENSG00000239975","IGKV1D-33"
"ENSG00000112715",193.916401076554,2.18274606125836,0.482154247220911,4.52707006904842,5.98071138312947e-06,0.00324155959221906,"ENSG00000112715","VEGFA"
"ENSG00000147687",869.765526453216,0.487173285672532,0.107761522972501,4.52084633025137,6.15928885898897e-06,0.00324155959221906,"ENSG00000147687","TATDN1"
"ENSG00000089199",23.4967653033197,3.28172823791233,0.725934849321686,4.52069251252889,6.16376631103973e-06,0.00324155959221906,"ENSG00000089199","CHGB"
"ENSG00000104324",838.460267654425,0.673199210341513,0.149072440892413,4.51591995349004,6.3042476513491e-06,0.00325404249603803,"ENSG00000104324","CPQ"
"ENSG00000173295",445.983330858151,-1.13081288885296,0.252002746055594,-4.48730383518715,7.21301735491132e-06,0.00365542604969897,"ENSG00000173295","FAM86B3P"
"ENSG00000253893",18.878135193736,-1.87067102757073,0.417299603107066,-4.4828008788946,7.36696647635534e-06,0.00366677601063308,"ENSG00000253893","FAM85B"
"ENSG00000222036",4.4072635106251,5.68224486538685,1.27027397134055,4.47324356287504,7.70419376440462e-06,0.00376735075079386,"ENSG00000222036","POTEM"
"ENSG00000158863",5273.12038445294,-0.499650878534722,0.111820759003573,-4.46831950513551,7.88364931710612e-06,0.00378863719682239,"ENSG00000158863","FAM160B2"
