"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","Symbol"
"ENSG00000145721",47.2720019946891,4.78341695672244,0.300175191688389,15.9354173468409,3.59790546513245e-57,5.45136646549543e-53,"ENSG00000145721","LIX1"
"ENSG00000139436",5452.44207080877,0.807216076690214,0.054293698376522,14.8675831786636,5.35104241944403e-50,5.40508794788042e-46,"ENSG00000139436","GIT2"
"ENSG00000089053",15663.5858566063,0.847896913441034,0.0579605672801703,14.6288580879904,1.83846874556263e-48,1.25378468947965e-44,"ENSG00000089053","ANAPC5"
"ENSG00000211891",211.930684067211,6.65291700353513,0.455030169635821,14.6208261506258,2.06874680638822e-48,1.25378468947965e-44,"ENSG00000211891","IGHE"
"ENSG00000111203",4152.77002562423,0.751625210116392,0.0516637682906755,14.5484008422988,5.97843241733105e-48,3.01940729237305e-44,"ENSG00000111203","ITFG2"
"ENSG00000075340",131.765552099074,6.08462870611236,0.431812852030723,14.0908930280737,4.32063086217023e-45,1.87040110023349e-41,"ENSG00000075340","ADD2"
"ENSG00000137831",307.63983432536,7.1641722138265,0.513775379130305,13.9441719179959,3.4138728933502e-44,1.29313237858989e-40,"ENSG00000137831","UACA"
"ENSG00000072609",6518.71853437308,0.815563102893746,0.0588467062130087,13.8591121810902,1.12051597590428e-43,3.7727772908697e-40,"ENSG00000072609","CHFR"
"ENSG00000103647",175.691244106179,8.22127482315804,0.611910242146956,13.4354260754204,3.74904244293005e-41,1.13607233148109e-37,"ENSG00000103647","CORO2B"
"ENSG00000073060",59.239943011537,3.17017438753304,0.237856572915581,13.328092424245,1.58909106887286e-40,4.37765696909585e-37,"ENSG00000073060","SCARB1"
"ENSG00000123338",12710.0275665007,0.921304243989216,0.0712471221630627,12.931108176982,3.00456695301978e-38,7.58728269811319e-35,"ENSG00000123338","NCKAP1L"
"ENSG00000089022",3561.71754013057,0.655955755097565,0.0517954430098337,12.6643526337448,9.31859124727364e-37,2.17216361973949e-33,"ENSG00000089022","MAPKAPK5"
"ENSG00000120798",4806.92104292344,0.738449129946372,0.0620587006582555,11.8992038523794,1.1948156874275e-32,2.58617855543682e-29,"ENSG00000120798","NR2C1"
"ENSG00000157734",559.501629634788,2.97553502423817,0.253156295881933,11.7537468853862,6.75555200516664e-32,1.36475661608376e-28,"ENSG00000157734","SNX22"
"ENSG00000089094",8376.49288570716,0.755336193326913,0.0648099426579429,11.6546344951031,2.17310868964206e-31,4.11573203888895e-28,"ENSG00000089094","KDM2B"
"ENSG00000167641",60.5332141508199,5.29846918014778,0.455308121520037,11.6371066750555,2.66917408199108e-31,4.75788130626915e-28,"ENSG00000167641","PPP1R14A"
"ENSG00000135473",15334.8400542861,0.759965185394432,0.0653969150475976,11.6208109333798,3.2305516447547e-31,5.43863369394453e-28,"ENSG00000135473","PAN2"
"ENSG00000127720",611.108722157766,0.694341176650542,0.0601863890076514,11.5365149512836,8.63534119782384e-31,1.3772460227245e-27,"ENSG00000127720","METTL25"
"ENSG00000136051",13139.4209339364,1.16093827374464,0.102135437049261,11.3666549758309,6.12916885801713e-30,9.28661019522465e-27,"ENSG00000136051","WASHC4"
"ENSG00000179912",4715.95863451716,0.763259804038493,0.0672176820466616,11.3550449940932,7.00038459686425e-30,1.01015549732751e-26,"ENSG00000179912","R3HDM2"
"ENSG00000164849",38.9173140974228,2.54794892891638,0.226325033033844,11.2579191738607,2.11698360487439e-29,2.91595246265948e-26,"ENSG00000164849","GPR146"
"ENSG00000211945",756.256807072347,7.36739745018245,0.656643697460098,11.219779430884,3.26082723157846e-29,4.29621076515313e-26,"ENSG00000211945","IGHV1-18"
"ENSG00000211937",131.082407516781,7.17304528738483,0.640353659421338,11.2016932859677,4.00013655132517e-29,5.05067241311694e-26,"ENSG00000211937","IGHV2-5"
"ENSG00000123106",2709.62442017723,0.680537881427868,0.0608316804122043,11.1872280498655,4.70926266029759e-29,5.70819145579991e-26,"ENSG00000123106","CCDC91"
"ENSG00000139546",1877.77428712967,0.912852412633651,0.0826320899018981,11.0471901862509,2.26183643205776e-28,2.63617036156332e-25,"ENSG00000139546","TARBP2"
"ENSG00000135090",6464.8556595826,0.735191377085212,0.0673494538613035,10.9160703604105,9.65848006726071e-28,1.08400341288223e-24,"ENSG00000135090","TAOK3"
"ENSG00000176915",15875.3285528999,0.752922724204277,0.0690793692968758,10.8993861968906,1.16037404023756e-27,1.2558148050471e-24,"ENSG00000176915","ANKLE2"
"ENSG00000133424",194.371317871551,6.09034421628444,0.559127794642459,10.8925799694486,1.25046751086257e-27,1.30665230971271e-24,"ENSG00000133424","LARGE1"
"ENSG00000111224",1989.26509337729,1.02225655504256,0.0940541605912783,10.868807383066,1.6230857500482e-27,1.63947891612368e-24,"ENSG00000111224","PARP11"
"ENSG00000111361",4285.04297072744,0.498395778429318,0.0459132877460296,10.855153331345,1.88490185762916e-27,1.84252196747537e-24,"ENSG00000111361","EIF2B1"
"ENSG00000177981",2898.94377276079,0.61278832857684,0.0565970975400828,10.8272041360929,2.55848151197184e-27,2.42280203929008e-24,"ENSG00000177981","ASB8"
"ENSG00000170581",15184.9866502577,0.954380249653725,0.0882611672019559,10.8131387778948,2.98285864379878e-27,2.73907774191013e-24,"ENSG00000170581","STAT2"
"ENSG00000173064",10436.7476725665,0.783385566272612,0.0725725188801934,10.7945208235898,3.6536339083585e-27,3.25635495073493e-24,"ENSG00000173064","HECTD4"
"ENSG00000231160",209.052842977856,3.90902579552985,0.363269659211042,10.7606723997252,5.27836118174109e-27,4.57000511115144e-24,"ENSG00000231160","KLF3-AS1"
"ENSG00000062485",10165.0930296213,0.719475767000967,0.0669146872383219,10.7521352440683,5.79053843079376e-27,4.87418572412065e-24,"ENSG00000062485","CS"
"ENSG00000170545",119.40626125779,1.32769091806901,0.125288073514262,10.5971053814462,3.07346061566085e-26,2.4509230799045e-23,"ENSG00000170545","SMAGP"
"ENSG00000070961",27886.734846873,1.07254442143431,0.101698567789204,10.546308023309,5.2832508333517e-26,4.10508589751427e-23,"ENSG00000070961","ATP2B1"
"ENSG00000061987",5348.34233039255,0.750453920587753,0.0712645458467487,10.5305367721219,6.24771901284889e-26,4.73311573115899e-23,"ENSG00000061987","MON2"
"ENSG00000064115",1416.47106066482,0.681519313606886,0.0650149119872124,10.4825076705623,1.03950249891753e-25,7.68293761577995e-23,"ENSG00000064115","TM7SF3"
