"","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic"
"1","GO:0001228","transcriptional activator activity, RNA ...",82,7,2.03,1,"0.0039","0.0039"
"2","GO:0005031","tumor necrosis factor-activated receptor...",5,2,0.12,2,"0.0058","0.0058"
"3","GO:0005035","death receptor activity",5,2,0.12,3,"1.0000","0.0058"
"4","GO:0003714","transcription corepressor activity",68,6,1.68,4,"0.0063","0.0063"
"5","GO:0001664","G-protein coupled receptor binding",53,5,1.31,5,"0.0095","0.0095"
"6","GO:0005516","calmodulin binding",53,5,1.31,6,"0.0095","0.0095"
"7","GO:0005102","receptor binding",323,15,7.99,7,"0.1099","0.0126"
"8","GO:0046332","SMAD binding",21,3,0.52,8,"0.0142","0.0142"
"9","GO:0017016","Ras GTPase binding",158,9,3.91,9,"0.0156","0.0156"
"10","GO:0003700","DNA binding transcription factor activit...",273,13,6.75,10,"0.2965","0.0164"
"11","GO:0031267","small GTPase binding",162,9,4.01,11,"0.0181","0.0181"
"12","GO:0042803","protein homodimerization activity",191,10,4.73,12,"0.0190","0.0190"
"13","GO:0046872","metal ion binding",1058,36,26.18,13,"0.0202","0.0202"
"14","GO:0046982","protein heterodimerization activity",140,8,3.46,14,"0.0218","0.0218"
"15","GO:0000982","transcription factor activity, RNA polym...",89,6,2.2,15,"0.0221","0.0221"
"16","GO:0046983","protein dimerization activity",315,14,7.79,16,"0.0223","0.0223"
"17","GO:0044212","transcription regulatory region DNA bind...",228,11,5.64,17,"0.0244","0.0244"
"18","GO:0043565","sequence-specific DNA binding",258,12,6.38,18,"0.0246","0.0246"
"19","GO:0000975","regulatory region DNA binding",229,11,5.67,19,"0.0252","0.0252"
"20","GO:0001067","regulatory region nucleic acid binding",229,11,5.67,20,"0.0252","0.0252"
"21","GO:0000978","RNA polymerase II core promoter proximal...",92,6,2.28,21,"0.0256","0.0256"
"22","GO:0140110","transcription regulator activity",416,17,10.29,22,"0.7458","0.0257"
"23","GO:0017048","Rho GTPase binding",46,4,1.14,23,"0.0261","0.0261"
"24","GO:0043169","cation binding",1080,36,26.72,24,"0.0273","0.0273"
"25","GO:0000987","core promoter proximal region sequence-s...",96,6,2.38,25,"0.0307","0.0307"
"26","GO:0001159","core promoter proximal region DNA bindin...",96,6,2.38,26,"0.0307","0.0307"
"27","GO:0004497","monooxygenase activity",12,2,0.3,27,"0.0341","0.0341"
"28","GO:0004888","transmembrane signaling receptor activit...",126,7,3.12,28,"0.1708","0.0356"
"29","GO:0019904","protein domain specific binding",213,10,5.27,29,"0.0368","0.0368"
"30","GO:0005509","calcium ion binding",101,6,2.5,30,"0.0381","0.0381"
"31","GO:0005506","iron ion binding",31,3,0.77,31,"0.0401","0.0401"
"32","GO:0042802","identical protein binding",441,17,10.91,32,"0.0419","0.0419"
"33","GO:0008134","transcription factor binding",189,9,4.68,33,"0.0432","0.0432"
"34","GO:0003677","DNA binding",718,25,17.77,34,"0.0434","0.0434"
"35","GO:0000981","RNA polymerase II transcription factor a...",160,8,3.96,35,"0.8477","0.0435"
"36","GO:0017137","Rab GTPase binding",54,4,1.34,36,"0.0436","0.0436"
"37","GO:0099600","transmembrane receptor activity",135,7,3.34,37,"0.2088","0.0487"
"38","GO:0038023","signaling receptor activity",137,7,3.39,38,"0.2176","0.0520"
"39","GO:0005125","cytokine activity",35,3,0.87,39,"0.0544","0.0544"
"40","GO:0048018","receptor ligand activity",59,4,1.46,40,"0.0572","0.0572"
"41","GO:0005080","protein kinase C binding",16,2,0.4,41,"0.0581","0.0581"
"42","GO:0001105","RNA polymerase II transcription coactiva...",16,2,0.4,42,"0.0581","0.0581"
"43","GO:0019208","phosphatase regulator activity",36,3,0.89,43,"0.0583","0.0583"
"44","GO:0001077","transcriptional activator activity, RNA ...",60,4,1.48,44,"0.0601","0.0601"
"45","GO:0030545","receptor regulator activity",61,4,1.51,45,"0.0632","0.0632"
"46","GO:0004872","receptor activity",174,8,4.31,46,"0.2280","0.0651"
"47","GO:0004553","hydrolase activity, hydrolyzing O-glycos...",39,3,0.96,47,"0.0709","0.0709"
"48","GO:0017112","Rab guanyl-nucleotide exchange factor ac...",18,2,0.45,48,"0.0718","0.0718"
"49","GO:0015297","antiporter activity",18,2,0.45,49,"0.0718","0.0718"
"50","GO:0051020","GTPase binding",210,9,5.2,50,"0.0743","0.0743"
"51","GO:0005089","Rho guanyl-nucleotide exchange factor ac...",19,2,0.47,51,"0.0789","0.0789"
"52","GO:0008013","beta-catenin binding",19,2,0.47,52,"0.0789","0.0789"
"53","GO:0046914","transition metal ion binding",281,11,6.95,53,"0.0858","0.0858"
"54","GO:0005088","Ras guanyl-nucleotide exchange factor ac...",68,4,1.68,54,"0.0867","0.0867"
"55","GO:0004930","G-protein coupled receptor activity",69,4,1.71,55,"0.0903","0.0903"
"56","GO:0030165","PDZ domain binding",21,2,0.52,56,"0.0939","0.0939"
"57","GO:0016798","hydrolase activity, acting on glycosyl b...",44,3,1.09,57,"0.0941","0.0941"
"58","GO:0043167","ion binding",1653,48,40.9,58,"0.0963","0.0963"
"59","GO:0060089","molecular transducer activity",190,8,4.7,59,"0.2943","0.0969"
"60","GO:0001227","transcriptional repressor activity, RNA ...",45,3,1.11,60,"0.0991","0.0991"
