"","GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.elim","Fisher.classic"
"1","GO:0005344","oxygen carrier activity",11,6,0.55,1,"5.7e-06","5.7e-06"
"2","GO:0019825","oxygen binding",25,7,1.25,2,"0.00017","0.00017"
"3","GO:0140104","molecular carrier activity",18,6,0.9,3,"1.00000","0.00017"
"4","GO:0008510","sodium:bicarbonate symporter activity",8,4,0.4,4,"0.00037","0.00037"
"5","GO:0060089","molecular transducer activity",681,54,34.11,5,"0.21149","0.00048"
"6","GO:0005452","inorganic anion exchanger activity",15,5,0.75,6,"0.00061","0.00061"
"7","GO:0004872","receptor activity",648,51,32.46,7,"0.00399","0.00081"
"8","GO:0015291","secondary active transmembrane transport...",127,15,6.36,8,"0.15899","0.00168"
"9","GO:0005516","calmodulin binding",127,15,6.36,9,"0.00168","0.00168"
"10","GO:0000981","RNA polymerase II transcription factor a...",416,35,20.84,10,"0.08043","0.00178"
"11","GO:0005031","tumor necrosis factor-activated receptor...",12,4,0.6,11,"0.00223","0.00223"
"12","GO:0005035","death receptor activity",12,4,0.6,12,"1.00000","0.00223"
"13","GO:0015297","antiporter activity",48,8,2.4,13,"0.00241","0.00241"
"14","GO:0015081","sodium ion transmembrane transporter act...",83,11,4.16,14,"0.07867","0.00274"
"15","GO:0008514","organic anion transmembrane transporter ...",110,13,5.51,15,"0.06705","0.00332"
"16","GO:0030911","TPR domain binding",7,3,0.35,16,"0.00376","0.00376"
"17","GO:0045295","gamma-catenin binding",7,3,0.35,17,"0.00376","0.00376"
"18","GO:0001135","transcription factor activity, RNA polym...",7,3,0.35,18,"0.00376","0.00376"
"19","GO:0044212","transcription regulatory region DNA bind...",518,40,25.95,19,"0.08692","0.00410"
"20","GO:0000975","regulatory region DNA binding",519,40,26,20,"0.08921","0.00423"
"21","GO:0001067","regulatory region nucleic acid binding",520,40,26.05,21,"0.09153","0.00438"
"22","GO:0020037","heme binding",76,10,3.81,22,"0.00444","0.00444"
"23","GO:0001228","transcriptional activator activity, RNA ...",211,20,10.57,23,"0.00456","0.00456"
"24","GO:0015106","bicarbonate transmembrane transporter ac...",15,4,0.75,24,"1.00000","0.00546"
"25","GO:0030545","receptor regulator activity",234,21,11.72,25,"0.16593","0.00692"
"26","GO:0004601","peroxidase activity",25,5,1.25,26,"0.00714","0.00714"
"27","GO:0048018","receptor ligand activity",221,20,11.07,27,"0.18981","0.00757"
"28","GO:0046906","tetrapyrrole binding",82,10,4.11,28,"1.00000","0.00762"
"29","GO:0015293","symporter activity",82,10,4.11,29,"0.16177","0.00762"
"30","GO:0005125","cytokine activity",109,12,5.46,30,"0.00825","0.00825"
"31","GO:0050811","GABA receptor binding",9,3,0.45,31,"0.00837","0.00837"
"32","GO:0001159","core promoter proximal region DNA bindin...",225,20,11.27,32,"1.00000","0.00916"
"33","GO:0000987","core promoter proximal region sequence-s...",225,20,11.27,33,"0.00916","0.00916"
"34","GO:0016684","oxidoreductase activity, acting on perox...",27,5,1.35,34,"1.00000","0.01000"
"35","GO:0038023","signaling receptor activity",514,38,25.75,35,"0.04117","0.01012"
"36","GO:0001134","transcription factor activity, transcrip...",10,3,0.5,36,"1.00000","0.01152"
"37","GO:0000978","RNA polymerase II core promoter proximal...",215,19,10.77,37,"0.01156","0.01156"
"38","GO:0043565","sequence-specific DNA binding",586,42,29.36,38,"0.17675","0.01172"
"39","GO:0099516","ion antiporter activity",39,6,1.95,39,"0.01225","0.01225"
"40","GO:0004888","transmembrane signaling receptor activit...",455,34,22.79,40,"0.05287","0.01254"
"41","GO:0005112","Notch binding",11,3,0.55,41,"0.01525","0.01525"
"42","GO:0015301","anion:anion antiporter activity",20,4,1,42,"0.01590","0.01590"
"43","GO:0022804","active transmembrane transporter activit...",208,18,10.42,43,"0.36002","0.01673"
"44","GO:0015296","anion:cation symporter activity",31,5,1.55,44,"0.69119","0.01786"
"45","GO:0016709","oxidoreductase activity, acting on paire...",21,4,1.05,45,"0.01888","0.01888"
"46","GO:0000977","RNA polymerase II regulatory region sequ...",354,27,17.73,46,"0.01931","0.01931"
"47","GO:0038024","cargo receptor activity",43,6,2.15,47,"0.01935","0.01935"
"48","GO:0001871","pattern binding",12,3,0.6,48,"0.01960","0.01960"
"49","GO:0030247","polysaccharide binding",12,3,0.6,49,"0.01960","0.01960"
"50","GO:0005102","receptor binding",869,57,43.53,50,"0.21116","0.02046"
"51","GO:0001012","RNA polymerase II regulatory region DNA ...",356,27,17.83,51,"0.02060","0.02060"
"52","GO:0004871","signal transducer activity",712,48,35.67,52,"0.06318","0.02083"
"53","GO:0008083","growth factor activity",83,9,4.16,53,"0.02263","0.02263"
"54","GO:0043208","glycosphingolipid binding",5,2,0.25,54,"0.02264","0.02264"
"55","GO:0004499","N,N-dimethylaniline monooxygenase activi...",5,2,0.25,55,"0.02264","0.02264"
"56","GO:0032552","deoxyribonucleotide binding",5,2,0.25,56,"0.02264","0.02264"
"57","GO:0005044","scavenger receptor activity",33,5,1.65,57,"0.02299","0.02299"
"58","GO:0046943","carboxylic acid transmembrane transporte...",70,8,3.51,58,"0.02318","0.02318"
"59","GO:0004622","lysophospholipase activity",13,3,0.65,59,"0.02454","0.02454"
"60","GO:0004672","protein kinase activity",428,31,21.44,60,"0.02460","0.02460"
"61","GO:0099600","transmembrane receptor activity",479,34,24,61,"0.09003","0.02497"
"62","GO:0019210","kinase inhibitor activity",58,7,2.91,62,"0.02504","0.02504"
"63","GO:0004860","protein kinase inhibitor activity",58,7,2.91,63,"0.02504","0.02504"
"64","GO:0000976","transcription regulatory region sequence...",413,30,20.69,64,"0.44774","0.02584"
"65","GO:0005506","iron ion binding",99,10,4.96,65,"0.02620","0.02620"
"66","GO:0005342","organic acid transmembrane transporter a...",73,8,3.66,66,"0.02901","0.02901"
"67","GO:0003700","DNA binding transcription factor activit...",710,47,35.57,67,"0.33025","0.02926"
"68","GO:0016773","phosphotransferase activity, alcohol gro...",520,36,26.05,68,"0.02988","0.02988"
"69","GO:0016301","kinase activity",572,39,28.65,69,"0.03016","0.03016"
"70","GO:0015294","solute:cation symporter activity",61,7,3.06,70,"0.49522","0.03200"
"71","GO:0004551","nucleotide diphosphatase activity",6,2,0.3,71,"0.03285","0.03285"
"72","GO:0048406","nerve growth factor binding",6,2,0.3,72,"0.03285","0.03285"
"73","GO:0035256","G-protein coupled glutamate receptor bin...",6,2,0.3,73,"0.03285","0.03285"
"74","GO:0015171","amino acid transmembrane transporter act...",37,5,1.85,74,"0.03590","0.03590"
"75","GO:1990837","sequence-specific double-stranded DNA bi...",442,31,22.14,75,"0.50523","0.03603"
"76","GO:0015179","L-amino acid transmembrane transporter a...",26,4,1.3,76,"0.03877","0.03877"
"77","GO:0004497","monooxygenase activity",51,6,2.55,77,"0.04099","0.04099"
"78","GO:0019904","protein domain specific binding",484,33,24.25,78,"0.11117","0.04371"
"79","GO:0070008","serine-type exopeptidase activity",7,2,0.35,79,"0.04448","0.04448"
"80","GO:0001094","TFIID-class transcription factor binding",7,2,0.35,80,"0.04448","0.04448"
